time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,43,43,52,0,4
1,40,40,50,3,4
2,38,38,49,5,4
3,35,35,47,7,4
4,34,34,46,8,4
5,33,33,45,9,4
6,33,33,44,9,4
7,33,33,44,9,4
8,32,32,43,9,4
9,32,32,42,9,4
10,32,32,42,9,4
11,31,31,42,9,4
12,31,31,41,9,4
13,30,30,41,9,4
14,30,30,40,9,4
15,29,29,40,9,4
16,28,28,40,10,4
17,27,27,39,10,4
18,25,25,39,11,4
19,24,24,38,11,4
20,23,23,38,12,4
21,21,21,37,13,4
22,20,20,37,14,4
23,20,20,36,15,4
24,17,17,35,16,4
25,15,15,35,18,4
26,13,13,34,19,4
27,11,11,33,21,4
28,10,10,32,22,4
29,10,10,32,23,4
30,10,10,30,23,4
31,8,8,29,24,4
32,7,7,27,24,4
33,6,6,26,25,4
34,6,6,25,25,4
35,6,6,24,26,4
36,6,6,23,26,4
37,5,5,22,26,4
38,6,6,20,26,4
39,5,5,19,26,4
40,5,5,18,25,4
41,5,5,17,25,4
42,4,4,16,24,4
43,5,5,15,23,4
44,5,5,14,22,4
45,4,4,13,21,4
46,5,5,12,19,4
47,3,3,11,18,4
48,3,3,10,17,4
49,3,3,9,15,4
50,3,3,8,14,4
51,3,3,7,13,4
52,4,4,7,11,4
53,4,4,6,9,4
54,6,6,5,8,4
55,10,10,5,7,4
56,14,14,5,7,4
57,17,17,6,8,4
58,24,24,6,12,4
59,33,33,7,17,4
60,41,41,8,23,5
61,48,48,10,30,6
62,54,54,12,37,6
63,58,58,14,43,6
64,61,61,17,49,8
65,62,62,19,54,8
66,62,62,21,58,9
67,62,62,24,61,10
68,62,62,26,64,11
69,62,62,29,66,11
70,61,61,31,67,12
71,61,61,33,69,13
72,60,60,36,69,13
73,58,58,38,69,13
74,57,57,40,69,15
75,55,55,42,68,16
76,53,53,44,67,16
77,51,51,46,65,17
78,47,47,48,63,18
79,44,44,50,60,19
80,40,40,52,57,19
81,36,36,53,54,20
82,34,34,54,50,21
83,32,32,55,46,21
84,31,31,57,42,22
85,29,29,57,39,23
86,29,29,58,37,24
87,29,29,58,35,24
88,29,29,59,34,24
89,28,28,59,34,26
90,28,28,58,36,24
91,26,26,57,37,24
92,26,26,56,38,24
93,25,25,54,39,24
94,24,24,53,39,24
95,24,24,51,39,23
96,24,24,50,39,23
97,22,22,48,39,22
98,23,23,46,38,22
99,22,22,45,37,21
100,21,21,43,35,21
101,20,20,41,34,20
102,19,19,39,32,20
103,18,18,38,30,20
104,16,16,36,28,19
105,13,13,34,26,19
106,12,12,32,24,18
107,10,10,31,23,18
108,11,11,29,21,17
109,10,10,28,20,17
110,8,8,26,20,16
111,7,7,25,20,16
112,6,6,24,20,16
113,5,5,23,21,15
114,5,5,22,21,15
115,5,5,21,22,13
116,5,5,20,22,13
117,5,5,19,22,13
118,4,4,18,22,13
119,4,4,17,22,12
120,3,3,16,21,12
121,3,3,15,21,12
122,1,1,13,21,11
123,1,1,12,21,11
124,0,0,11,21,11
125,0,0,10,20,11
126,0,0,9,19,10
127,1,1,8,19,10
128,1,1,8,18,10
129,1,1,7,17,9
130,1,1,6,15,9
131,1,1,5,14,9
132,2,2,4,13,8
133,3,3,4,11,8
134,3,3,3,10,8
135,3,3,3,9,6
136,4,4,2,8,6
137,3,3,2,7,6
138,2,2,2,6,6
139,1,1,1,5,6
140,1,1,1,5,6
141,1,1,1,4,5
142,1,1,1,4,5
143,2,2,0,4,5
144,1,1,0,4,4
145,2,2,0,3,4
146,2,2,0,3,4
147,3,3,0,3,3
148,3,3,0,2,3
149,2,2,0,2,3
150,2,2,0,2,6
151,1,1,0,2,9
152,1,1,0,2,12
153,1,1,0,2,15
154,1,1,0,2,19
155,2,2,0,2,22
156,3,3,0,2,24
157,4,4,0,2,27
158,4,4,0,2,32
159,3,3,0,2,35
160,2,2,0,2,38
161,3,3,0,2,41
162,4,4,0,2,44
163,4,4,0,3,48
164,4,4,0,3,51
165,5,5,1,3,54
166,5,5,1,3,57
167,5,5,1,3,60
168,5,5,1,3,64
169,5,5,1,4,67
170,6,6,1,4,70
171,7,7,1,4,73
172,7,7,2,4,77
173,8,8,2,5,80
174,9,9,2,5,83
175,9,9,3,6,86
176,8,8,3,6,89
177,7,7,3,6,93
178,8,8,3,6,96
179,8,8,3,6,99
180,8,8,4,6,97
181,10,10,4,6,95
182,11,11,5,6,93
183,11,11,5,7,91
184,11,11,5,6,89
185,12,12,6,7,87
186,13,13,6,7,85
187,13,13,7,8,83
188,13,13,7,8,81
189,13,13,7,8,79
190,12,12,8,8,77
191,11,11,8,8,75
192,11,11,9,8,73
193,11,11,9,7,71
194,11,11,9,7,69
195,11,11,9,7,67
196,10,10,10,6,65
197,9,9,10,6,63
198,10,10,10,6,61
199,9,9,10,5,59
200,10,10,10,5,57
201,10,10,10,4,55
202,12,12,11,4,53
203,12,12,11,4,51
204,12,12,11,4,49
205,13,13,11,4,47
206,13,13,11,4,45
207,13,13,12,4,44
208,12,12,12,4,42
209,13,13,12,3,40
210,14,14,12,3,39
211,14,14,12,3,38
212,13,13,13,3,37
213,13,13,13,3,36
214,13,13,13,3,35
215,14,14,13,4,34
216,16,16,13,4,33
217,21,21,13,6,32
218,27,27,14,9,32
219,36,36,15,14,30
220,45,45,16,21,30
221,54,54,18,28,29
222,63,63,20,36,27
223,71,71,23,44,27
224,79,79,26,52,26
225,86,86,29,60,24
226,89,89,32,68,24
227,93,93,36,74,24
228,95,95,39,80,23
229,97,97,43,85,22
230,98,98,47,89,21
231,99,99,51,92,20
232,98,98,54,95,19
233,98,98,58,97,18
234,97,97,62,98,17
235,95,95,65,99,16
236,91,91,68,98,16
237,89,89,72,97,15
238,85,85,75,95,13
239,83,83,78,93,13
240,79,79,80,89,13
241,77,77,83,86,12
242,73,73,86,81,12
243,70,70,88,76,11
244,68,68,90,71,11
245,64,64,92,65,10
246,61,61,94,58,10
247,58,58,96,52,9
248,57,57,97,46,9
249,55,55,98,43,9
250,55,55,99,41,8
251,53,53,98,41,8
252,51,51,98,43,6
253,48,48,97,45,6
254,46,46,96,48,6
255,45,45,94,50,6
256,42,42,92,52,6
257,40,40,90,54,5
258,40,40,87,55,5
259,39,39,85,55,4
260,37,37,82,55,4
261,35,35,79,55,3
262,34,34,77,54,3
263,33,33,74,52,3
264,31,31,71,51,2
265,30,30,68,49,2
266,29,29,66,47,1
267,27,27,63,46,1
268,25,25,61,44,0
269,23,23,58,43,0
270,22,22,56,41,0
271,22,22,53,40,0
272,21,21,51,38,0
273,20,20,49,37,0
274,18,18,47,36,0
275,16,16,45,35,0
276,14,14,43,35,0
277,13,13,41,35,0
278,12,12,39,35,0
279,12,12,37,34,1
280,11,11,35,33,1
281,11,11,34,32,1
282,11,11,32,31,1
283,11,11,30,30,1
284,11,11,29,29,1
285,11,11,27,28,1
286,10,10,26,27,1
287,11,11,25,26,1
288,10,10,23,25,1
289,10,10,22,24,1
290,10,10,21,23,1
291,10,10,20,21,1
292,9,9,19,20,1
293,9,9,18,19,1
294,10,10,17,17,1
295,10,10,16,16,1
296,11,11,15,14,1
297,12,12,15,13,1
298,13,13,14,11,2
299,14,14,14,10,2
