time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,21,21,0,0,99
1,22,22,0,1,99
2,27,27,4,10,99
3,34,34,9,20,99
4,45,45,17,34,99
5,50,50,24,42,99
6,53,53,29,47,99
7,54,54,34,50,99
8,57,57,38,52,99
9,56,56,41,52,99
10,49,49,42,50,99
11,21,21,39,54,99
12,20,20,35,56,99
13,20,20,33,57,99
14,21,21,30,57,99
15,20,20,28,58,99
16,18,18,26,58,99
17,18,18,24,58,99
18,16,16,22,59,99
19,13,13,20,60,99
20,9,9,18,61,99
21,6,6,16,63,99
22,4,4,14,65,99
23,1,1,11,67,99
24,0,0,9,69,99
25,0,0,7,70,99
26,13,13,6,69,99
27,22,22,6,68,99
28,29,29,6,67,99
29,34,34,7,66,99
30,38,38,8,67,99
31,40,40,9,67,99
32,43,43,10,68,99
33,44,44,11,69,99
34,47,47,11,70,99
35,44,44,11,69,99
36,35,35,10,66,99
37,28,28,8,63,99
38,23,23,5,59,99
39,22,22,3,55,99
40,18,18,1,52,99
41,19,19,1,52,99
42,20,20,1,52,99
43,23,23,1,52,99
44,22,22,1,52,99
45,21,21,1,52,99
46,16,16,1,52,99
47,12,12,1,52,99
48,8,8,0,53,99
49,8,8,0,53,99
50,17,17,1,53,99
51,24,24,2,52,99
52,29,29,4,50,99
53,34,34,6,48,99
54,39,39,8,46,99
55,42,42,11,43,99
56,44,44,13,43,99
57,44,44,15,44,99
58,45,45,16,46,99
59,44,44,17,47,99
60,38,38,17,47,99
61,36,36,16,46,99
62,32,32,16,45,99
63,32,32,15,44,99
64,30,30,14,42,99
65,29,29,13,41,99
66,29,29,12,40,99
67,31,31,12,40,99
68,30,30,13,40,99
69,30,30,13,40,99
70,30,30,14,39,99
71,29,29,15,39,99
72,29,29,15,38,99
73,29,29,16,38,99
74,31,31,16,38,99
75,35,35,17,37,99
76,37,37,19,36,99
77,40,40,21,34,99
78,47,47,23,31,99
79,52,52,26,28,99
80,53,53,29,28,99
81,55,55,31,30,98
82,57,57,33,33,98
83,55,55,34,35,98
84,51,51,35,36,98
85,46,46,35,36,98
86,43,43,35,36,98
87,40,40,35,36,98
88,34,34,34,36,98
89,32,32,33,36,98
90,29,29,33,36,98
91,26,26,32,37,97
92,24,24,31,38,96
93,21,21,31,40,96
94,20,20,30,41,95
95,19,19,29,42,94
96,20,20,29,44,94
97,19,19,28,45,93
98,26,26,28,45,92
99,41,41,28,45,92
100,55,55,30,47,91
101,65,65,33,51,90
102,77,77,36,57,90
103,84,84,39,64,89
104,91,91,44,73,89
105,93,93,47,80,88
106,93,93,51,86,87
107,89,89,54,91,87
108,80,80,57,94,86
109,67,67,58,94,85
110,57,57,58,94,85
111,51,51,58,94,84
112,46,46,57,94,83
113,41,41,56,94,83
114,37,37,55,95,82
115,34,34,54,95,81
116,33,33,54,96,81
117,41,41,54,96,80
118,33,33,54,96,79
119,31,31,54,96,79
120,30,30,54,96,79
121,36,36,54,95,79
122,52,52,56,93,79
123,74,74,60,92,79
124,81,81,64,92,79
125,85,85,68,91,80
126,91,91,73,91,80
127,96,96,78,90,80
128,98,98,83,90,80
129,99,99,87,92,80
130,98,98,90,94,80
131,96,96,92,97,80
132,87,87,92,97,80
133,76,76,92,97,81
134,69,69,90,95,81
135,60,60,88,93,81
136,53,53,86,92,81
137,49,49,83,90,81
138,44,44,80,90,81
139,40,40,79,91,81
140,38,38,77,93,82
141,33,33,76,94,82
142,30,30,75,96,82
143,31,31,74,97,82
144,30,30,74,98,82
145,32,32,74,99,82
146,44,44,74,97,82
147,58,58,76,97,82
148,70,70,78,95,83
149,76,76,81,93,83
150,80,80,84,91,83
151,85,85,88,90,83
152,86,86,90,91,83
153,87,87,91,92,83
154,85,85,91,92,83
155,80,80,91,92,83
156,73,73,90,90,84
157,61,61,87,88,84
158,56,56,84,85,84
159,48,48,81,82,84
160,43,43,77,78,84
161,38,38,74,75,84
162,35,35,70,74,84
163,31,31,67,75,84
164,28,28,64,76,85
165,23,23,62,79,85
166,22,22,60,82,85
167,19,19,58,84,85
168,19,19,56,87,85
169,19,19,55,89,85
170,29,29,54,90,85
171,37,37,54,90,86
172,49,49,56,89,86
173,57,57,57,88,86
174,65,65,60,88,86
175,71,71,62,88,86
176,75,75,64,89,86
177,77,77,66,90,86
178,77,77,66,91,86
179,72,72,66,90,87
180,64,64,65,89,86
181,56,56,63,86,86
182,49,49,60,83,86
183,45,45,58,79,85
184,41,41,55,75,85
185,37,37,52,72,85
186,34,34,49,70,85
187,29,29,47,70,84
188,26,26,45,71,84
189,23,23,43,72,84
190,21,21,42,74,83
191,23,23,41,75,83
192,21,21,40,76,83
193,21,21,39,77,83
194,23,23,39,78,82
195,29,29,39,77,82
196,40,40,40,76,82
197,55,55,43,75,81
198,63,63,46,74,81
199,68,68,49,74,81
200,74,74,52,75,80
201,78,78,55,78,80
202,76,76,56,80,80
203,74,74,58,81,80
204,68,68,58,82,79
205,58,58,57,81,79
206,50,50,55,78,79
207,44,44,53,76,78
208,40,40,50,73,78
209,36,36,48,71,78
210,34,34,46,70,78
211,32,32,44,70,79
212,30,30,43,71,79
213,27,27,42,72,79
214,25,25,41,72,80
215,24,24,40,73,80
216,22,22,39,74,81
217,23,23,39,75,81
218,31,31,39,75,81
219,38,38,40,74,82
220,46,46,42,72,82
221,56,56,44,71,83
222,68,68,47,71,83
223,74,74,51,72,83
224,79,79,55,73,84
225,81,81,58,75,84
226,80,80,61,77,85
227,75,75,62,79,85
228,67,67,63,79,85
229,58,58,62,79,86
230,52,52,60,77,86
231,46,46,58,75,87
232,41,41,56,73,87
233,37,37,53,71,87
234,33,33,51,70,88
235,31,31,49,71,88
236,29,29,48,72,89
237,27,27,47,73,89
238,25,25,46,74,89
239,23,23,45,75,90
240,26,26,44,76,88
241,28,28,44,76,86
242,30,30,44,76,85
243,32,32,44,76,83
244,34,34,45,75,81
245,44,44,46,74,79
246,54,54,48,72,78
247,61,61,51,71,76
248,68,68,53,72,74
249,69,69,55,73,72
250,71,71,57,74,70
251,73,73,58,76,69
252,75,75,59,77,67
253,76,76,59,77,65
254,77,77,59,77,63
255,77,77,59,76,61
256,77,77,58,76,60
257,77,77,59,76,58
258,77,77,59,78,55
259,76,76,60,79,55
260,76,76,62,81,53
261,76,76,64,83,51
262,75,75,66,84,49
263,75,75,69,84,48
264,75,75,72,83,46
265,74,74,75,82,44
266,73,73,78,79,42
267,72,72,81,76,40
268,70,70,84,72,39
269,70,70,87,66,37
270,67,67,90,59,36
271,64,64,92,53,34
272,62,62,94,46,33
273,59,59,96,39,32
274,60,60,98,30,30
275,56,56,99,26,30
276,51,51,98,27,27
277,46,46,97,31,27
278,41,41,95,37,26
279,36,36,93,44,24
280,31,31,91,50,23
281,30,30,88,56,22
282,28,28,84,61,21
283,27,27,81,65,20
284,22,22,78,70,18
285,17,17,74,75,17
286,14,14,69,79,16
287,17,17,65,82,15
288,29,29,62,82,13
289,40,40,60,81,12
290,43,43,57,79,11
291,49,49,56,77,10
292,57,57,54,74,9
293,62,62,53,73,6
294,68,68,53,71,6
295,72,72,53,71,5
296,74,74,53,71,4
297,74,74,53,72,2
298,76,76,53,73,1
299,74,74,54,73,0
