time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,29,29,41,0,23
1,28,28,38,2,23
2,28,28,37,2,23
3,30,30,39,3,23
4,31,31,41,4,23
5,33,33,43,6,23
6,34,34,46,8,23
7,33,33,47,8,23
8,30,30,47,8,23
9,28,28,46,8,23
10,27,27,45,8,23
11,27,27,43,9,23
12,27,27,43,9,23
13,27,27,42,9,23
14,27,27,42,9,23
15,27,27,41,9,23
16,26,26,40,9,23
17,26,26,39,9,23
18,27,27,39,9,23
19,28,28,39,9,23
20,28,28,39,8,23
21,30,30,39,8,23
22,34,34,40,9,23
23,37,37,41,11,23
24,37,37,42,12,23
25,44,44,45,15,23
26,44,44,47,18,23
27,41,41,48,19,23
28,42,42,50,20,23
29,53,53,53,25,23
30,64,64,57,33,23
31,76,76,64,44,23
32,87,87,72,56,23
33,93,93,80,68,23
34,99,99,90,79,23
35,83,83,96,84,23
36,51,51,99,84,23
37,32,32,98,84,23
38,26,26,98,84,23
39,22,22,97,85,23
40,20,20,96,85,23
41,19,19,95,86,23
42,20,20,94,87,23
43,19,19,93,88,23
44,18,18,92,89,23
45,19,19,91,90,23
46,19,19,90,90,23
47,20,20,89,91,23
48,21,21,88,92,23
49,20,20,87,92,23
50,20,20,86,93,23
51,20,20,85,94,23
52,20,20,83,95,23
53,20,20,81,96,23
54,20,20,78,97,23
55,21,21,75,97,23
56,21,21,72,98,23
57,23,23,70,98,23
58,22,22,67,99,23
59,21,21,63,98,23
60,21,21,57,96,22
61,21,21,50,92,21
62,23,23,41,83,21
63,24,24,32,69,20
64,21,21,21,47,19
65,21,21,13,22,18
66,22,22,9,9,18
67,21,21,8,6,17
68,20,20,7,5,16
69,21,21,7,5,15
70,20,20,7,5,15
71,20,20,7,4,13
72,19,19,7,4,13
73,18,18,7,5,12
74,17,17,6,5,12
75,16,16,6,5,11
76,16,16,6,6,10
77,15,15,5,7,9
78,15,15,4,8,8
79,12,12,3,10,8
80,12,12,2,11,6
81,14,14,1,12,6
82,15,15,1,12,5
83,16,16,0,12,5
84,18,18,0,12,4
85,20,20,0,12,3
86,21,21,0,12,2
87,21,21,0,12,2
88,24,24,0,12,1
89,26,26,0,13,0
90,28,28,1,14,0
91,30,30,2,16,1
92,31,31,3,17,1
93,31,31,4,19,1
94,32,32,6,20,2
95,33,33,7,22,2
96,33,33,9,24,2
97,33,33,11,25,2
98,33,33,12,26,3
99,33,33,14,27,3
100,33,33,16,28,3
101,32,32,17,29,4
102,34,34,19,29,4
103,33,33,21,30,4
104,33,33,23,30,5
105,32,32,26,30,5
106,30,30,27,29,5
107,30,30,29,28,6
108,31,31,32,27,6
109,30,30,34,25,6
110,30,30,36,23,6
111,30,30,38,21,6
112,30,30,41,19,6
113,30,30,42,16,6
114,31,31,44,14,8
115,30,30,45,12,8
116,29,29,47,10,8
117,29,29,48,8,9
118,30,30,49,6,9
119,29,29,49,6,9
120,28,28,49,6,10
121,29,29,49,6,11
122,29,29,49,6,12
123,28,28,48,6,13
124,27,27,47,7,13
125,27,27,47,7,13
126,28,28,46,7,15
127,29,29,45,7,16
128,29,29,45,7,17
129,28,28,44,6,17
130,28,28,43,6,18
131,28,28,43,6,19
132,27,27,42,5,20
133,28,28,41,5,21
134,29,29,41,4,21
135,29,29,40,3,22
136,28,28,40,3,23
137,28,28,40,3,24
138,28,28,39,3,24
139,27,27,39,3,24
140,27,27,39,3,26
141,26,26,38,4,27
142,27,27,38,3,27
143,27,27,37,3,29
144,28,28,37,3,29
145,27,27,37,3,30
146,27,27,36,3,30
147,27,27,36,3,32
148,29,29,36,2,33
149,27,27,36,2,33
150,27,27,36,2,36
151,27,27,35,2,38
152,27,27,35,2,40
153,28,28,35,2,42
154,28,28,35,2,44
155,28,28,35,2,47
156,28,28,35,2,49
157,28,28,35,2,51
158,28,28,35,2,53
159,28,28,35,2,55
160,29,29,35,2,57
161,28,28,35,2,60
162,27,27,35,2,61
163,28,28,35,2,64
164,27,27,35,2,66
165,28,28,35,2,68
166,28,28,35,2,71
167,29,29,35,2,73
168,28,28,35,2,75
169,28,28,35,2,77
170,29,29,35,2,79
171,27,27,36,2,82
172,27,27,36,2,84
173,27,27,36,2,86
174,27,27,35,2,88
175,27,27,35,2,90
176,26,26,35,3,92
177,26,26,35,3,95
178,26,26,35,3,97
179,26,26,35,3,99
180,26,26,34,3,97
181,26,26,34,3,96
182,26,26,34,3,94
183,26,26,34,3,92
184,25,25,34,4,90
185,25,25,33,4,89
186,25,25,33,4,87
187,24,24,32,4,85
188,23,23,31,5,83
189,16,16,30,9,82
190,4,4,26,17,80
191,0,0,23,25,78
192,17,17,21,25,76
193,33,33,22,26,75
194,33,33,23,26,73
195,34,34,24,27,71
196,37,37,25,28,69
197,43,43,27,31,68
198,50,50,30,35,66
199,51,51,33,39,64
200,46,46,35,41,61
201,36,36,36,41,61
202,29,29,36,41,59
203,26,26,36,41,57
204,26,26,36,41,55
205,25,25,36,41,54
206,24,24,36,41,52
207,24,24,35,41,49
208,24,24,35,41,48
209,24,24,35,41,47
210,25,25,35,41,46
211,25,25,35,41,46
212,26,26,35,41,45
213,25,25,34,41,45
214,25,25,34,41,44
215,26,26,35,41,44
216,25,25,35,41,43
217,25,25,35,41,43
218,25,25,35,41,42
219,25,25,36,40,42
220,25,25,39,37,41
221,25,25,42,31,41
222,25,25,43,30,40
223,25,25,42,30,40
224,24,24,41,30,39
225,24,24,40,30,39
226,24,24,38,30,38
227,24,24,35,28,38
228,24,24,32,23,37
229,25,25,28,16,37
230,24,24,26,8,36
231,24,24,24,3,36
232,25,25,23,2,35
233,24,24,23,2,35
234,24,24,23,1,34
235,24,24,23,1,34
236,25,25,23,1,33
237,26,26,23,2,33
238,26,26,23,2,32
239,26,26,24,2,32
240,26,26,24,2,30
241,26,26,24,2,30
242,26,26,24,2,30
243,27,27,24,3,29
244,27,27,25,3,29
245,28,28,25,4,27
246,28,28,25,4,27
247,29,29,26,5,27
248,29,29,27,5,26
249,29,29,27,6,24
250,29,29,28,6,24
251,29,29,28,6,24
252,29,29,29,7,23
253,29,29,29,7,23
254,29,29,30,7,22
255,28,28,31,7,21
256,27,27,31,6,21
257,26,26,31,6,20
258,25,25,31,6,19
259,26,26,31,6,19
260,26,26,32,6,18
261,25,25,32,6,17
262,25,25,32,6,17
263,24,24,32,6,16
264,25,25,32,6,15
265,24,24,32,6,15
266,24,24,32,6,13
267,25,25,32,6,13
268,25,25,31,6,13
269,25,25,31,6,12
270,26,26,31,6,12
271,27,27,31,6,12
272,31,31,32,7,13
273,31,31,33,7,13
274,31,31,33,8,13
275,32,32,34,9,13
276,32,32,34,9,13
277,31,31,34,9,13
278,32,32,35,10,13
279,33,33,35,10,13
280,31,31,36,10,15
281,31,31,36,11,15
282,31,31,36,11,15
283,31,31,36,11,15
284,31,31,37,11,16
285,30,30,37,11,16
286,30,30,37,11,16
287,32,32,38,12,16
288,32,32,39,12,17
289,31,31,40,11,17
290,30,30,40,11,17
291,30,30,41,11,18
292,31,31,42,11,18
293,32,32,43,10,18
294,33,33,44,10,18
295,32,32,45,9,19
296,32,32,46,8,19
297,30,30,47,7,19
298,30,30,48,6,19
299,30,30,48,5,20
