time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,12,12,6,0,40
1,11,11,6,0,40
2,11,11,6,0,40
3,12,12,6,0,40
4,14,14,6,3,40
5,15,15,7,4,40
6,15,15,8,5,40
7,17,17,8,6,40
8,19,19,9,8,40
9,21,21,10,10,40
10,24,24,11,13,40
11,28,28,12,16,40
12,29,29,13,19,40
13,33,33,15,22,40
14,35,35,16,25,40
15,38,38,17,27,40
16,41,41,19,31,40
17,44,44,20,34,40
18,46,46,22,36,40
19,48,48,23,39,40
20,50,50,25,42,40
21,52,52,26,44,40
22,53,53,27,46,40
23,52,52,29,47,40
24,50,50,30,48,40
25,50,50,31,48,40
26,50,50,31,48,40
27,48,48,32,48,40
28,47,47,33,48,40
29,45,45,33,48,40
30,43,43,34,46,40
31,41,41,36,44,40
32,38,38,37,42,40
33,35,35,38,39,40
34,33,33,38,37,40
35,29,29,39,35,40
36,26,26,39,33,40
37,24,24,40,32,40
38,21,21,40,31,40
39,18,18,40,32,40
40,15,15,39,34,40
41,13,13,39,36,40
42,11,11,38,39,40
43,9,9,37,42,40
44,7,7,36,45,40
45,7,7,35,48,40
46,4,4,33,51,40
47,5,5,32,53,40
48,5,5,30,55,40
49,4,4,28,56,40
50,6,6,26,56,40
51,7,7,24,55,40
52,8,8,23,54,40
53,10,10,21,52,40
54,13,13,19,50,40
55,15,15,18,48,40
56,17,17,17,45,40
57,22,22,15,42,40
58,26,26,15,39,40
59,30,30,14,36,40
60,34,34,14,35,40
61,39,39,14,34,40
62,44,44,14,36,39
63,48,48,14,38,39
64,51,51,15,42,39
65,56,56,16,47,39
66,60,60,18,52,39
67,64,64,19,57,38
68,67,67,21,62,38
69,71,71,23,68,38
70,76,76,26,73,38
71,79,79,29,78,37
72,83,83,31,83,37
73,86,86,35,87,37
74,89,89,38,90,37
75,92,92,41,94,37
76,95,95,45,96,36
77,96,96,49,98,36
78,97,97,53,99,36
79,97,97,56,98,36
80,99,99,60,98,35
81,98,98,64,96,35
82,98,98,68,94,35
83,98,98,71,91,35
84,97,97,75,88,35
85,96,96,78,83,34
86,94,94,81,79,34
87,93,93,84,74,34
88,90,90,87,68,34
89,90,90,89,63,34
90,88,88,91,57,32
91,85,85,93,52,30
92,83,83,95,47,30
93,80,80,96,42,29
94,78,78,97,37,27
95,76,76,98,34,27
96,72,72,98,31,26
97,69,69,99,30,24
98,66,66,98,30,23
99,62,62,98,32,22
100,59,59,97,36,21
101,55,55,96,40,20
102,52,52,95,44,19
103,50,50,94,48,18
104,46,46,92,52,17
105,41,41,90,56,16
106,38,38,87,60,15
107,35,35,85,64,13
108,30,30,82,68,12
109,27,27,79,71,11
110,25,25,76,74,10
111,23,23,73,77,9
112,20,20,70,79,8
113,18,18,67,80,6
114,16,16,64,81,6
115,15,15,60,82,4
116,14,14,57,82,3
117,14,14,54,81,2
118,13,13,51,81,1
119,14,14,47,79,0
120,15,15,45,77,1
121,16,16,42,74,2
122,17,17,39,71,3
123,19,19,36,68,4
124,22,22,34,64,5
125,25,25,32,59,6
126,27,27,30,54,6
127,29,29,29,50,8
128,32,32,27,45,9
129,35,35,26,42,10
130,37,37,25,38,11
131,39,39,25,35,12
132,42,42,24,33,13
133,43,43,24,32,13
134,44,44,24,31,13
135,45,45,24,32,15
136,45,45,24,33,16
137,46,46,25,35,17
138,44,44,25,36,18
139,43,43,26,37,19
140,40,40,27,37,20
141,39,39,27,38,21
142,36,36,28,38,22
143,34,34,29,37,23
144,31,31,29,36,24
145,28,28,30,35,24
146,26,26,30,34,26
147,23,23,31,33,27
148,20,20,31,32,27
149,18,18,31,31,29
150,16,16,31,31,30
151,0,0,31,35,34
152,0,0,30,38,36
153,0,0,29,41,38
154,0,0,28,45,41
155,2,2,27,47,43
156,3,3,26,49,45
157,5,5,25,51,48
158,6,6,24,52,49
159,9,9,23,53,52
160,10,10,22,53,55
161,11,11,21,53,57
162,14,14,20,52,59
163,16,16,19,51,61
164,18,18,17,49,64
165,21,21,16,47,66
166,25,25,16,45,69
167,28,28,15,43,71
168,32,32,14,41,73
169,35,35,14,40,76
170,39,39,14,40,78
171,41,41,14,40,80
172,45,45,15,42,83
173,50,50,15,44,85
