time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,22,22,21,0,91
1,22,22,21,1,91
2,22,22,21,1,91
3,23,23,21,1,91
4,21,21,21,1,91
5,20,20,21,2,91
6,21,21,21,2,91
7,21,21,21,2,91
8,22,22,21,2,91
9,22,22,21,2,91
10,22,22,21,2,91
11,20,20,20,2,91
12,20,20,20,3,91
13,20,20,20,3,91
14,19,19,20,3,91
15,19,19,20,3,91
16,19,19,20,4,91
17,18,18,20,4,91
18,19,19,19,4,91
19,18,18,19,5,91
20,19,19,19,5,91
21,18,18,19,5,91
22,18,18,19,5,91
23,18,18,19,5,91
24,18,18,19,5,91
25,18,18,19,5,91
26,17,17,19,6,91
27,16,16,18,6,91
28,16,16,18,6,91
29,16,16,18,7,91
30,15,15,18,7,91
31,16,16,18,7,91
32,14,14,17,7,91
33,14,14,17,8,91
34,15,15,17,8,91
35,15,15,17,8,91
36,15,15,16,8,91
37,13,13,16,8,91
38,13,13,16,8,91
39,11,11,15,9,91
40,9,9,15,9,91
41,8,8,14,11,91
42,7,7,14,12,91
43,6,6,13,13,91
44,5,5,13,14,91
45,5,5,12,16,91
46,6,6,12,16,91
47,6,6,11,17,91
48,6,6,11,17,91
49,5,5,10,17,91
50,4,4,10,18,91
51,4,4,9,18,91
52,3,3,9,18,91
53,1,1,8,19,91
54,1,1,7,19,91
55,1,1,7,19,91
56,1,1,6,19,91
57,1,1,5,19,91
58,0,0,5,20,91
59,1,1,4,19,91
60,0,0,4,19,88
61,2,2,3,18,85
62,2,2,3,18,82
63,2,2,2,17,79
64,3,3,2,16,76
65,4,4,1,14,73
66,4,4,1,13,70
67,4,4,0,11,67
68,4,4,0,10,64
69,4,4,0,8,61
70,5,5,0,8,58
71,5,5,0,7,55
72,8,8,0,7,52
73,9,9,0,8,49
74,10,10,0,9,46
75,11,11,0,10,43
76,12,12,0,11,40
77,14,14,1,13,37
78,15,15,1,15,34
79,16,16,1,16,30
80,16,16,2,18,27
81,17,17,2,19,24
82,17,17,3,21,22
83,20,20,4,22,19
84,21,21,4,24,16
85,22,22,5,25,13
86,24,24,6,27,10
87,26,26,7,28,6
88,27,27,8,30,4
89,28,28,9,31,1
90,29,29,10,32,3
91,31,31,11,33,4
92,34,34,13,35,5
93,35,35,14,36,6
94,36,36,15,37,8
95,39,39,17,39,10
96,40,40,18,40,11
97,40,40,19,41,13
98,42,42,21,42,13
99,43,43,22,42,16
100,44,44,24,43,17
101,46,46,25,43,19
102,48,48,27,44,20
103,48,48,28,44,22
104,51,51,30,45,23
105,53,53,32,45,24
106,54,54,33,46,26
107,55,55,35,46,27
108,55,55,36,47,29
109,57,57,38,47,30
110,57,57,40,46,32
111,58,58,41,46,33
112,58,58,43,45,35
113,59,59,44,44,36
114,59,59,46,43,38
115,60,60,47,42,39
116,60,60,49,41,41
117,62,62,50,40,42
118,63,63,51,39,44
119,63,63,53,37,45
120,63,63,54,36,45
121,63,63,55,34,45
122,64,64,56,33,46
123,64,64,58,31,46
124,64,64,59,30,46
125,65,65,60,29,46
126,66,66,61,27,46
127,66,66,62,26,47
128,66,66,63,24,47
129,68,68,64,23,47
130,69,69,65,22,47
131,71,71,66,21,47
132,72,72,66,21,48
133,74,74,67,20,48
134,73,73,68,20,48
135,76,76,69,21,48
136,77,77,70,21,48
137,76,76,71,22,48
138,77,77,72,22,49
139,78,78,72,23,49
140,79,79,73,23,49
141,81,81,74,24,49
142,83,83,75,25,49
143,82,82,76,26,49
144,83,83,77,26,49
145,85,85,78,27,49
146,86,86,79,28,49
147,87,87,80,29,49
148,89,89,81,30,51
149,90,90,82,31,51
150,92,92,83,32,49
151,93,93,84,33,47
152,92,92,85,33,46
153,93,93,86,33,44
154,96,96,88,34,42
155,95,95,89,34,41
156,94,94,90,34,39
157,94,94,91,33,37
158,94,94,92,32,36
159,96,96,93,31,34
160,97,97,94,30,32
161,98,98,95,30,30
162,98,98,96,29,29
163,96,96,97,28,27
164,92,92,98,27,24
165,88,88,98,25,24
166,82,82,98,24,22
167,77,77,99,24,20
168,70,70,98,26,19
169,65,65,98,30,17
170,61,61,97,34,15
171,56,56,96,40,13
172,53,53,95,46,12
173,50,50,94,51,10
174,45,45,92,58,8
175,43,43,91,64,6
176,40,40,89,69,5
177,38,38,87,75,3
178,38,38,85,79,2
179,36,36,83,83,0
180,34,34,81,87,1
181,32,32,78,90,3
182,30,30,76,93,4
183,27,27,73,95,5
184,26,26,71,97,6
185,27,27,68,98,8
186,26,26,65,99,9
187,25,25,63,98,11
188,24,24,60,98,12
189,24,24,57,96,13
190,23,23,54,93,15
191,23,23,51,89,16
192,21,21,49,84,17
193,21,21,46,78,19
194,21,21,43,71,20
195,21,21,40,65,21
196,22,22,38,59,23
197,23,23,36,52,24
198,22,22,34,47,24
199,21,21,32,42,27
200,21,21,31,38,27
201,20,20,29,34,29
202,20,20,28,30,30
203,20,20,27,27,32
204,19,19,26,24,33
205,19,19,25,22,35
206,18,18,24,20,36
207,17,17,23,19,37
208,17,17,23,17,39
209,16,16,22,15,40
210,15,15,21,14,42
211,15,15,20,13,44
212,15,15,20,12,46
213,14,14,19,12,48
214,15,15,19,12,49
215,15,15,19,12,52
216,14,14,18,12,54
217,14,14,18,12,55
218,13,13,17,12,58
219,12,12,17,12,60
220,13,13,16,12,61
221,14,14,16,12,64
222,15,15,16,11,66
223,13,13,15,12,68
224,12,12,15,12,70
225,12,12,15,12,71
226,11,11,14,12,73
227,12,12,14,11,75
228,12,12,14,11,77
229,12,12,13,10,79
230,11,11,13,10,81
231,12,12,12,9,83
232,11,11,12,9,85
233,12,12,12,8,87
234,14,14,12,7,89
235,13,13,11,6,91
236,13,13,11,6,93
237,12,12,11,5,95
238,10,10,11,5,97
239,10,10,11,5,99
240,9,9,10,5,96
241,9,9,10,6,93
242,9,9,10,6,89
243,8,8,10,6,86
244,8,8,9,6,83
245,9,9,9,6,80
246,8,8,9,7,77
247,8,8,9,7,73
248,7,7,8,7,70
249,9,9,8,7,67
250,12,12,8,7,64
251,13,13,8,7,61
252,14,14,8,7,57
253,17,17,8,8,54
254,20,20,9,10,51
255,23,23,9,12,48
256,25,25,10,15,45
257,30,30,10,19,41
258,35,35,11,24,38
259,39,39,12,29,35
260,43,43,13,35,32
261,47,47,15,40,29
262,48,48,16,45,24
263,51,51,18,50,22
264,55,55,19,55,19
265,57,57,21,60,16
266,59,59,23,64,13
267,61,61,25,69,9
268,64,64,27,72,6
269,66,66,29,76,3
270,68,68,31,79,4
271,68,68,33,81,5
272,69,69,36,83,6
273,70,70,38,84,6
274,72,72,41,85,8
275,74,74,43,86,9
276,77,77,46,86,10
277,79,79,49,85,12
278,81,81,51,84,13
279,81,81,54,83,13
280,82,82,57,81,15
281,84,84,60,78,16
282,84,84,62,75,17
283,86,86,65,72,18
284,88,88,68,69,19
285,88,88,70,65,20
286,90,90,73,62,21
287,92,92,75,59,22
288,93,93,77,56,23
289,95,95,79,54,24
290,95,95,81,52,26
291,97,97,83,51,27
292,98,98,85,49,27
293,98,98,87,47,29
294,98,98,89,46,30
295,99,99,90,44,30
296,98,98,92,43,32
297,98,98,93,41,33
298,97,97,95,39,34
299,97,97,96,38,35
