time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,80,80,99,0,12
1,78,78,95,3,12
2,72,72,87,13,12
3,63,63,77,24,12
4,66,66,72,24,12
5,64,64,68,24,12
6,70,70,68,22,12
7,63,63,65,23,12
8,62,62,62,23,12
9,56,56,58,26,12
10,52,52,53,29,12
11,62,62,52,28,12
12,59,59,51,28,12
13,57,57,49,28,12
14,55,55,47,29,12
15,53,53,44,30,12
16,56,56,43,29,12
17,58,58,42,29,12
18,62,62,42,28,12
19,59,59,42,27,12
20,58,58,41,27,12
21,55,55,40,27,12
22,58,58,39,26,12
23,59,59,39,26,12
24,60,60,39,25,12
25,59,59,38,25,12
26,50,50,37,26,12
27,32,32,34,32,12
28,19,19,29,42,12
29,14,14,24,52,12
30,28,28,18,53,12
31,48,48,15,51,12
32,66,66,15,50,12
33,65,65,15,50,12
34,69,69,15,51,12
35,63,63,15,50,12
36,53,53,13,49,12
37,63,63,13,49,12
38,62,62,13,49,12
39,55,55,13,49,12
40,58,58,14,49,12
41,52,52,13,49,12
42,53,53,12,49,12
43,50,50,11,49,12
44,48,48,10,49,12
45,50,50,10,49,12
46,46,46,9,49,12
47,51,51,8,49,12
48,50,50,7,48,12
49,55,55,6,48,12
50,60,60,6,48,12
51,58,58,7,49,12
52,61,61,7,49,12
53,57,57,7,49,12
54,54,54,6,48,12
55,53,53,5,48,12
56,57,57,6,48,12
57,60,60,9,46,12
58,52,52,13,40,12
59,36,36,15,31,12
60,21,21,15,34,12
61,16,16,11,43,12
62,18,18,6,48,12
63,44,44,3,47,12
64,65,65,3,46,12
65,81,81,5,50,12
66,77,77,8,53,12
67,73,73,9,54,12
68,66,66,9,55,12
69,67,67,11,56,12
70,71,71,12,57,12
71,61,61,13,57,12
72,59,59,14,57,12
73,54,54,14,57,12
74,46,46,14,57,12
75,44,44,13,58,12
76,44,44,13,58,12
77,50,50,13,58,12
78,46,46,13,58,12
79,49,49,12,58,12
80,57,57,12,58,12
81,58,58,12,58,12
82,60,60,12,58,12
83,54,54,11,58,12
84,54,54,11,58,12
85,57,57,12,58,12
86,59,59,12,58,12
87,60,60,12,58,12
88,57,57,13,58,12
89,60,60,15,57,12
90,60,60,19,52,12
91,46,46,23,45,12
92,28,28,24,41,11
93,19,19,21,47,11
94,17,17,16,54,11
95,35,35,11,52,11
96,60,60,9,49,11
97,79,79,10,51,11
98,82,82,11,54,11
99,79,79,13,56,11
100,81,81,14,58,11
101,75,75,15,59,11
102,77,77,17,61,11
103,65,65,19,62,11
104,57,57,20,61,11
105,57,57,21,61,11
106,54,54,22,60,11
107,61,61,23,60,11
108,60,60,25,60,10
109,59,59,26,59,10
110,58,58,26,59,10
111,53,53,26,59,10
112,53,53,25,59,10
113,51,51,25,60,10
114,59,59,25,60,10
115,65,65,26,60,10
116,61,61,26,60,10
117,61,61,27,60,10
118,56,56,26,60,10
119,60,60,26,60,10
120,56,56,26,60,10
121,55,55,27,59,10
122,52,52,30,56,10
123,53,53,33,49,10
124,59,59,38,39,10
125,53,53,40,34,11
126,40,40,38,38,11
127,25,25,32,43,11
128,19,19,25,48,11
129,23,23,19,51,11
130,47,47,15,48,11
131,68,68,14,47,11
132,72,72,14,46,12
133,64,64,14,45,12
134,66,66,14,46,12
135,57,57,15,46,12
136,58,58,15,46,12
137,62,62,15,46,12
138,65,65,16,47,12
139,55,55,15,47,12
140,48,48,14,47,13
141,53,53,14,47,13
142,56,56,14,47,13
143,56,56,15,47,13
144,53,53,14,47,13
145,50,50,12,46,13
146,53,53,12,46,13
147,50,50,10,45,13
148,53,53,10,45,13
149,54,54,9,45,13
150,55,55,9,45,15
151,56,56,9,45,16
152,52,52,9,45,18
153,54,54,9,45,19
154,54,54,9,45,20
155,59,59,9,45,22
156,55,55,11,44,23
157,44,44,13,40,24
158,28,28,14,37,24
159,18,18,14,39,27
160,21,21,11,45,27
161,41,41,8,44,29
162,5,5,1,52,30
163,63,63,1,52,32
164,74,74,1,54,33
165,75,75,3,56,34
166,39,39,1,56,36
167,81,81,3,60,37
168,91,91,6,65,38
169,57,57,6,65,40
170,12,12,2,71,41
171,67,67,4,72,42
172,37,37,2,72,43
173,33,33,0,73,45
174,93,93,4,79,46
175,30,30,2,80,47
176,46,46,1,80,49
177,66,66,3,81,49
178,58,58,3,81,51
179,69,69,5,82,52
180,69,69,6,83,54
181,99,99,11,89,55
182,47,47,11,89,57
183,41,41,9,89,59
184,70,70,11,90,60
185,51,51,10,90,61
186,65,65,11,90,63
187,87,87,16,93,65
188,27,27,16,93,66
189,47,47,19,89,68
190,0,0,16,94,69
191,15,15,13,98,71
192,13,13,14,96,73
193,53,53,13,96,74
194,75,75,13,96,76
195,86,86,15,97,77
196,81,81,19,99,79
197,78,78,19,98,80
198,74,74,17,96,82
199,76,76,19,97,83
200,70,70,25,92,85
201,60,60,25,92,87
202,56,56,27,91,88
203,54,54,29,89,90
204,60,60,25,86,91
205,56,56,28,84,93
206,52,52,29,83,94
207,53,53,27,83,96
208,48,48,26,84,97
209,53,53,25,83,99
210,52,52,23,83,96
211,56,56,18,78,94
212,58,58,19,77,91
213,56,56,21,77,88
214,59,59,20,76,85
215,54,54,20,76,83
216,57,57,19,76,80
217,55,55,16,73,77
218,55,55,19,70,74
219,58,58,20,70,72
220,64,64,27,58,69
221,62,62,32,49,66
222,47,47,36,38,63
223,27,27,33,44,61
224,19,19,27,51,58
225,25,25,20,51,55
226,42,42,16,49,52
227,60,60,14,46,49
228,72,72,14,46,47
229,66,66,13,44,44
230,70,70,13,44,41
231,63,63,13,44,39
232,59,59,13,44,36
233,68,68,15,46,33
234,67,67,16,46,30
235,70,70,17,47,27
236,64,64,19,48,24
237,61,61,19,48,22
238,60,60,21,48,20
239,59,59,21,48,17
240,65,65,23,48,17
241,52,52,22,48,17
242,51,51,22,48,17
243,54,54,21,48,17
244,58,58,21,48,17
245,59,59,22,48,17
246,53,53,22,48,17
247,52,52,21,48,17
248,50,50,21,48,17
249,59,59,21,48,17
250,61,61,20,48,17
251,53,53,19,48,17
252,35,35,18,50,17
253,26,26,18,50,17
254,23,23,18,49,17
255,37,37,20,46,17
256,68,68,23,45,17
257,91,91,26,51,17
258,91,91,28,55,17
259,86,86,30,58,17
260,86,86,32,60,17
261,84,84,34,63,17
262,81,81,37,64,17
263,67,67,37,64,17
264,62,62,36,64,17
265,55,55,34,64,17
266,60,60,34,64,17
267,65,65,34,64,17
268,61,61,34,64,17
269,62,62,35,64,17
270,58,58,34,64,16
271,61,61,35,64,16
272,60,60,36,63,15
273,57,57,36,63,15
274,55,55,36,63,13
275,51,51,35,64,13
276,54,54,35,63,13
277,51,51,35,64,12
278,50,50,35,64,12
279,49,49,34,64,11
280,51,51,33,64,11
281,57,57,33,64,10
282,54,54,35,62,10
283,41,41,37,59,9
284,22,22,37,59,8
285,17,17,35,64,8
286,20,20,29,69,6
287,28,28,22,69,6
288,58,58,19,64,6
289,81,81,18,63,6
290,90,90,19,64,5
291,82,82,19,64,5
292,79,79,18,63,4
293,73,73,19,64,3
294,74,74,20,65,3
295,70,70,22,66,2
296,64,64,22,66,2
297,60,60,22,66,1
298,52,52,21,66,1
299,50,50,20,66,0
