time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,90,90,99,0,5
1,86,86,93,6,5
2,90,90,95,6,5
3,82,82,91,10,5
4,71,71,82,21,5
5,67,67,75,26,5
6,64,64,68,30,5
7,63,63,63,32,5
8,65,65,60,32,5
9,69,69,58,31,5
10,70,70,57,30,5
11,70,70,56,29,5
12,67,67,54,28,5
13,66,66,53,28,5
14,65,65,51,28,5
15,63,63,50,27,5
16,62,62,48,28,5
17,60,60,47,28,5
18,59,59,45,28,5
19,59,59,44,28,5
20,59,59,42,28,5
21,60,60,41,28,5
22,60,60,40,28,5
23,63,63,40,28,5
24,65,65,39,27,5
25,66,66,39,27,5
26,68,68,39,26,5
27,70,70,39,26,5
28,70,70,40,25,5
29,70,70,40,25,5
30,71,71,38,22,5
31,71,71,37,19,5
32,71,71,35,14,5
33,73,73,34,12,5
34,72,72,34,12,5
35,73,73,35,13,5
36,74,74,36,13,5
37,74,74,37,14,5
38,75,75,38,15,5
39,77,77,38,15,5
40,77,77,39,16,5
41,79,79,40,17,5
42,80,80,41,18,5
43,79,79,42,19,5
44,81,81,44,20,5
45,81,81,45,21,5
46,81,81,47,21,5
47,82,82,49,21,5
48,81,81,51,20,5
49,81,81,53,20,5
50,81,81,55,19,5
51,80,80,56,17,5
52,81,81,58,16,5
53,82,82,60,15,5
54,83,83,61,14,5
55,83,83,63,14,5
56,83,83,64,13,5
57,83,83,65,13,5
58,83,83,67,12,5
59,83,83,68,12,5
60,83,83,69,12,5
61,84,84,70,11,5
62,83,83,71,10,5
63,83,83,72,10,5
64,82,82,73,9,4
65,82,82,74,8,4
66,81,81,74,7,4
67,81,81,75,6,4
68,81,81,75,5,4
69,81,81,76,4,4
70,80,80,76,3,3
71,81,81,76,3,3
72,79,79,76,3,3
73,79,79,76,3,3
74,80,80,76,3,3
75,80,80,76,3,2
76,74,74,75,5,2
77,74,74,75,6,2
78,75,75,74,7,2
79,77,77,74,7,2
80,77,77,74,8,2
81,75,75,73,8,1
82,76,76,73,8,1
83,75,75,72,9,1
84,74,74,71,9,1
85,72,72,70,10,1
86,72,72,69,10,1
87,71,71,68,11,0
88,73,73,67,11,0
89,70,70,66,12,0
90,69,69,65,12,2
91,67,67,63,13,4
