time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,48,48,56,0,49
1,49,49,56,0,49
2,53,53,59,7,49
3,55,55,61,9,49
4,57,57,63,11,49
5,49,49,62,11,49
6,44,44,60,14,49
7,48,48,60,13,49
8,59,59,61,15,49
9,51,51,61,14,49
10,45,45,60,15,49
11,36,36,58,20,49
12,27,27,54,28,49
13,24,24,51,34,49
14,21,21,48,39,49
15,21,21,45,43,49
16,21,21,43,45,49
17,28,28,41,45,49
18,29,29,40,45,49
19,50,50,41,45,49
20,63,63,43,46,49
21,66,66,45,49,49
22,69,69,47,51,49
23,68,68,49,53,49
24,60,60,50,53,49
25,59,59,51,52,49
26,63,63,53,52,49
27,62,62,54,52,49
28,57,57,54,52,49
29,52,52,55,51,49
30,50,50,55,51,49
31,47,47,55,51,49
32,61,61,55,52,49
33,52,52,55,52,49
34,44,44,54,51,49
35,31,31,53,52,49
36,27,27,52,54,49
37,23,23,50,56,49
38,21,21,48,57,49
39,20,20,46,59,49
40,21,21,45,60,49
41,30,30,44,61,49
42,30,30,44,60,49
43,47,47,46,59,49
44,67,67,49,59,49
45,70,70,52,59,49
46,68,68,55,58,49
47,65,65,57,58,49
48,57,57,59,56,49
49,56,56,59,57,49
50,59,59,59,56,49
51,62,62,59,56,49
52,55,55,58,55,49
53,51,51,57,53,49
54,48,48,56,53,49
55,47,47,55,52,49
56,61,61,55,52,49
57,48,48,54,51,49
58,37,37,53,51,49
59,30,30,52,52,49
60,15,15,49,56,48
61,9,9,47,60,48
62,8,8,44,63,48
63,12,12,41,65,48
64,12,12,39,67,47
65,16,16,38,69,47
66,27,27,38,69,47
67,45,45,39,68,46
68,60,60,42,68,46
69,65,65,45,68,46
70,65,65,47,68,45
71,60,60,49,68,45
72,55,55,51,68,45
73,54,54,51,68,44
74,55,55,51,67,44
75,58,58,50,66,44
76,53,53,49,64,43
77,48,48,48,63,43
78,43,43,47,63,43
79,35,35,46,62,42
80,52,52,45,62,42
81,43,43,44,61,42
82,35,35,43,60,41
83,25,25,41,61,41
84,22,22,39,61,41
85,18,18,37,63,40
86,13,13,34,63,40
87,14,14,32,64,40
88,16,16,31,65,39
89,20,20,30,66,39
90,22,22,31,65,39
91,36,36,33,63,40
92,56,56,36,62,40
93,64,64,39,61,41
94,61,61,42,60,41
95,60,60,45,59,41
96,50,50,46,58,42
97,49,49,47,58,42
98,51,51,46,58,42
99,53,53,45,56,43
100,49,49,44,55,43
101,46,46,43,53,44
102,45,45,43,53,44
103,42,42,42,52,44
104,59,59,42,53,45
105,42,42,41,52,45
106,40,40,40,51,45
107,32,32,39,51,46
108,23,23,38,52,46
109,20,20,37,53,46
110,16,16,35,55,47
111,14,14,33,56,47
112,17,17,32,57,48
113,19,19,32,58,48
114,15,15,31,59,48
115,26,26,32,58,49
116,36,36,33,56,49
117,41,41,35,54,49
118,41,41,36,53,49
119,38,38,37,51,49
120,31,31,38,51,52
121,27,27,38,51,53
122,25,25,35,51,55
123,27,27,33,48,57
124,25,25,31,46,58
125,27,27,29,43,60
126,25,25,27,43,61
127,30,30,26,41,63
128,47,47,26,41,65
129,41,41,25,39,66
130,36,36,24,38,68
131,29,29,23,37,70
132,23,23,22,36,71
133,16,16,20,36,73
134,14,14,17,32,75
135,12,12,15,32,76
136,10,10,13,33,78
137,10,10,12,34,79
138,0,0,10,38,81
139,3,3,9,40,83
140,15,15,9,40,84
141,21,21,10,40,86
142,23,23,10,39,88
143,24,24,10,39,89
144,21,21,11,39,91
145,17,17,10,39,92
146,15,15,9,39,94
147,15,15,7,38,96
148,13,13,5,36,97
149,14,14,4,35,99
150,19,19,3,34,96
151,25,25,3,34,92
152,46,46,4,38,89
153,41,41,5,40,86
154,38,38,6,41,82
155,24,24,6,41,79
156,18,18,5,41,76
157,16,16,5,40,73
158,14,14,2,37,69
159,16,16,1,35,66
160,17,17,0,33,63
161,26,26,0,33,59
162,37,37,0,35,55
163,62,62,3,44,53
164,81,81,8,57,49
165,85,85,12,68,46
166,88,88,17,77,43
167,90,90,22,85,40
168,77,77,27,88,36
169,79,79,32,90,33
170,80,80,36,93,30
171,81,81,40,96,26
172,78,78,44,98,23
173,69,69,46,99,20
174,65,65,49,98,17
175,68,68,52,98,13
176,78,78,56,97,10
177,68,68,60,96,6
178,57,57,62,93,3
179,43,43,64,90,0
180,32,32,65,88,1
181,26,26,65,88,2
182,26,26,64,89,4
183,55,55,65,89,5
184,74,74,67,89,6
