time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,84,84,83,0,70
1,85,85,84,1,70
2,85,85,84,1,70
3,86,86,84,1,70
4,86,86,84,1,70
5,86,86,85,1,70
6,85,85,85,1,70
7,87,87,85,2,70
8,86,86,85,1,70
9,86,86,85,1,70
10,85,85,85,1,70
11,86,86,85,1,70
12,86,86,85,1,70
13,86,86,85,1,70
14,87,87,85,2,70
15,87,87,86,2,70
16,86,86,86,2,70
17,87,87,86,2,70
18,84,84,86,2,70
19,84,84,85,2,70
20,83,83,85,2,70
21,85,85,85,2,70
22,84,84,85,2,70
23,86,86,85,2,70
24,86,86,85,2,70
25,87,87,85,2,70
26,89,89,85,3,70
27,88,88,86,3,70
28,89,89,86,3,70
29,90,90,86,4,70
30,89,89,86,4,70
31,89,89,86,4,70
32,89,89,87,4,70
33,90,90,87,4,70
34,91,91,87,5,70
35,90,90,87,5,70
36,91,91,88,5,70
37,90,90,88,5,70
38,90,90,88,6,70
39,90,90,88,6,70
40,89,89,88,6,70
41,91,91,89,6,70
42,90,90,89,6,70
43,91,91,89,6,70
44,92,92,89,6,70
45,93,93,89,6,70
46,92,92,90,6,70
47,91,91,90,6,70
48,91,91,90,6,70
49,91,91,91,6,70
50,92,92,91,5,70
51,93,93,91,5,70
52,94,94,92,4,70
53,94,94,92,4,70
54,94,94,93,4,70
55,94,94,93,4,70
56,94,94,93,4,70
57,95,95,94,4,70
58,94,94,94,4,70
59,94,94,94,4,70
60,94,94,94,4,68
61,94,94,94,4,66
62,93,93,95,4,65
63,92,92,95,4,63
64,92,92,95,4,61
65,91,91,95,4,60
66,87,87,95,4,58
67,80,80,94,7,55
68,67,67,93,14,55
69,58,58,91,21,53
70,52,52,90,28,51
71,46,46,88,34,49
72,39,39,85,41,48
73,33,33,82,48,46
74,29,29,79,55,44
75,25,25,76,61,43
76,20,20,73,67,41
77,16,16,69,73,39
78,14,14,65,78,37
79,11,11,61,83,36
80,9,9,57,87,34
81,9,9,53,90,32
82,8,8,49,93,30
83,7,7,45,95,29
84,6,6,41,96,27
85,5,5,36,97,26
86,8,8,32,97,24
87,17,17,28,95,22
88,28,28,25,93,20
89,38,38,23,89,19
90,46,46,20,85,19
91,58,58,19,82,19
92,66,66,17,78,19
93,72,72,16,75,19
94,75,75,15,73,20
95,79,79,15,71,20
96,83,83,15,70,20
97,86,86,15,71,20
98,87,87,16,74,20
99,88,88,17,77,21
100,89,89,19,81,21
101,90,90,21,84,21
102,90,90,24,88,21
103,91,91,26,90,21
104,90,90,29,93,21
105,92,92,33,95,22
106,92,92,36,96,22
107,92,92,40,96,22
108,91,91,44,95,22
109,91,91,47,94,22
110,93,93,51,91,22
111,92,92,55,88,23
112,93,93,60,85,23
113,92,92,64,80,23
114,92,92,68,73,23
115,91,91,72,65,23
116,91,91,76,55,24
117,91,91,80,46,24
118,91,91,83,38,24
119,92,92,85,30,24
120,92,92,88,23,24
121,91,91,89,17,23
122,93,93,90,13,23
123,94,94,92,11,23
124,95,95,92,8,22
125,94,94,93,6,22
126,93,93,94,5,22
127,95,95,94,4,21
128,95,95,94,4,21
129,95,95,95,4,21
130,96,96,95,4,20
131,97,97,96,4,20
132,97,97,96,5,19
133,97,97,96,5,19
134,98,98,97,5,19
135,98,98,97,6,18
136,99,99,97,6,18
137,98,98,97,6,18
138,98,98,98,6,17
139,96,96,98,6,17
140,96,96,98,6,17
141,94,94,98,6,16
142,92,92,98,6,16
143,92,92,98,6,16
144,91,91,98,6,15
145,92,92,98,6,15
146,92,92,98,6,15
147,91,91,98,6,13
148,92,92,98,6,13
149,93,93,98,6,13
150,95,95,98,6,16
151,94,94,99,6,19
152,92,92,98,6,22
153,92,92,98,6,24
154,92,92,98,6,27
155,92,92,98,6,30
156,92,92,98,6,33
157,92,92,98,6,36
158,93,93,98,6,39
159,93,93,98,6,42
160,93,93,98,6,45
161,92,92,97,6,48
162,92,92,97,6,51
163,92,92,97,6,53
164,93,93,97,5,55
165,92,92,96,5,59
166,93,93,96,4,61
167,94,94,96,3,65
168,95,95,96,3,68
169,94,94,96,3,71
170,94,94,96,2,73
171,93,93,96,2,76
172,93,93,96,2,79
173,91,91,96,2,82
174,92,92,96,2,85
175,92,92,96,2,88
176,92,92,96,2,90
177,92,92,96,2,93
178,90,90,96,2,96
179,91,91,95,2,99
180,90,90,95,3,96
181,89,89,95,3,94
182,88,88,95,3,91
183,87,87,94,4,88
184,86,86,94,5,86
185,79,79,94,8,83
186,68,68,92,14,80
187,58,58,91,21,78
188,50,50,89,28,75
189,45,45,86,35,72
190,41,41,84,41,70
191,35,35,81,47,67
192,32,32,78,53,64
193,28,28,75,58,61
194,25,25,72,63,59
195,22,22,68,68,55
196,19,19,65,72,54
197,16,16,61,76,51
198,15,15,57,80,48
199,13,13,53,82,46
200,11,11,49,85,43
201,9,9,45,87,40
202,7,7,41,88,38
203,7,7,37,89,35
204,6,6,33,90,32
205,3,3,28,90,30
206,2,2,24,90,27
207,0,0,20,89,24
208,1,1,15,87,21
209,7,7,11,84,19
210,18,18,8,79,19
211,32,32,5,74,19
212,44,44,3,69,19
213,53,53,1,63,19
214,62,62,0,59,20
215,68,68,0,57,20
216,73,73,0,58,20
217,77,77,1,61,20
218,80,80,2,65,20
219,83,83,4,70,20
