time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,85,85,88,0,99
1,86,86,89,1,99
2,83,83,88,2,99
3,85,85,88,2,99
4,85,85,88,2,99
5,85,85,88,2,99
6,85,85,88,1,99
7,86,86,88,2,99
8,86,86,89,2,99
9,86,86,89,2,99
10,87,87,89,2,99
11,87,87,89,2,99
12,87,87,90,2,99
13,87,87,90,3,99
14,86,86,90,2,99
15,87,87,90,3,99
16,87,87,90,3,99
17,89,89,91,3,99
18,89,89,91,4,99
19,89,89,91,4,99
20,89,89,91,4,99
21,89,89,92,4,99
22,90,90,92,5,99
23,90,90,92,5,99
24,91,91,92,5,99
25,92,92,93,6,99
26,93,93,93,6,99
27,94,94,93,7,99
28,94,94,94,8,99
29,91,91,94,8,99
30,91,91,94,8,99
31,91,91,95,8,99
32,89,89,95,7,99
33,91,91,95,7,99
34,91,91,96,7,99
35,91,91,96,7,99
36,91,91,97,6,99
37,93,93,97,6,99
38,92,92,97,6,99
39,92,92,98,6,99
40,90,90,98,6,99
41,88,88,98,5,99
42,90,90,98,5,99
43,89,89,98,5,99
44,89,89,98,5,99
45,88,88,98,4,99
46,88,88,98,4,99
47,90,90,98,4,99
48,89,89,99,4,99
49,89,89,98,4,99
50,88,88,98,4,99
51,88,88,98,4,99
52,87,87,98,5,99
53,87,87,98,5,99
54,86,86,98,5,99
55,87,87,98,6,99
56,87,87,97,5,99
57,86,86,97,5,99
58,85,85,96,5,99
59,84,84,96,6,99
60,83,83,95,6,97
61,76,76,94,9,94
62,61,61,93,16,92
63,54,54,91,23,90
64,46,46,88,31,87
65,40,40,85,38,85
66,35,35,82,45,83
67,30,30,78,52,80
68,25,25,74,58,78
69,22,22,70,64,75
70,20,20,66,69,73
71,17,17,62,74,71
72,14,14,57,79,68
73,11,11,53,83,66
74,7,7,48,87,64
75,6,6,43,90,61
76,4,4,38,93,59
77,2,2,33,96,57
78,1,1,28,97,54
79,0,0,23,99,52
80,13,13,18,98,49
81,26,26,15,95,47
82,38,38,12,92,45
83,45,45,9,89,43
84,52,52,7,86,40
85,55,55,5,82,38
86,60,60,4,79,35
87,63,63,2,76,33
88,66,66,1,73,30
89,69,69,1,70,27
90,70,70,0,68,29
91,72,72,0,67,29
92,73,73,0,69,29
93,74,74,1,71,29
94,76,76,3,74,30
95,77,77,5,77,30
96,77,77,8,80,30
97,77,77,10,82,30
98,77,77,14,84,30
99,76,76,17,85,30
100,76,76,20,85,30
101,77,77,24,85,30
102,77,77,27,85,30
103,78,78,31,83,32
104,78,78,35,81,32
105,78,78,40,77,32
106,77,77,44,73,32
107,78,78,48,66,33
108,79,79,53,58,33
109,79,79,57,47,33
110,80,80,61,38,33
111,79,79,64,30,33
112,79,79,67,25,34
113,79,79,69,20,34
114,80,80,70,17,34
115,82,82,72,14,34
116,81,81,73,12,35
117,81,81,74,9,35
118,83,83,75,8,35
119,82,82,76,7,35
120,83,83,77,7,37
121,83,83,77,7,38
122,84,84,78,7,40
123,83,83,79,7,41
124,83,83,79,7,43
