time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,74,74,63,0,88
1,77,77,65,3,88
2,79,79,67,5,88
3,79,79,68,5,88
4,80,80,69,5,88
5,81,81,70,6,88
6,82,82,71,6,88
7,82,82,71,6,88
8,83,83,72,7,88
9,84,84,73,7,88
10,86,86,74,8,88
11,86,86,74,9,88
12,86,86,75,9,88
13,88,88,76,10,88
14,88,88,76,11,88
15,88,88,77,11,88
16,88,88,78,11,88
17,88,88,78,11,88
18,88,88,78,11,88
19,88,88,79,11,88
20,89,89,79,12,88
21,88,88,80,12,88
22,88,88,80,12,88
23,88,88,80,11,88
24,88,88,80,11,88
25,87,87,80,11,88
26,87,87,81,11,88
27,87,87,81,11,88
28,86,86,81,11,88
29,86,86,81,11,88
30,88,88,82,9,88
31,87,87,82,8,88
32,88,88,83,7,88
33,88,88,83,6,88
34,89,89,84,6,88
35,89,89,84,5,88
36,88,88,85,4,88
37,89,89,85,3,88
38,88,88,85,3,88
39,89,89,86,2,88
40,89,89,86,2,88
41,88,88,86,2,88
42,88,88,86,2,88
43,88,88,86,2,88
44,88,88,86,2,88
45,89,89,86,2,88
46,86,86,86,2,88
47,86,86,86,2,88
48,87,87,86,2,88
49,87,87,86,2,88
50,88,88,86,2,88
51,88,88,86,2,88
52,87,87,86,2,88
53,88,88,86,2,88
54,87,87,86,2,88
55,88,88,86,2,88
56,87,87,86,2,88
57,88,88,86,2,88
58,88,88,86,2,88
59,87,87,86,2,88
60,86,86,86,2,85
61,87,87,86,2,83
62,86,86,86,2,80
63,86,86,86,2,78
64,85,85,85,3,75
65,84,84,85,3,72
66,85,85,85,3,70
67,86,86,85,3,67
68,85,85,85,3,65
69,84,84,84,4,61
70,85,85,84,4,60
71,84,84,84,4,57
72,86,86,84,4,54
73,79,79,83,5,52
74,61,61,82,13,49
75,53,53,80,21,47
76,46,46,77,29,44
77,42,42,75,36,41
78,36,36,72,42,39
79,30,30,69,49,36
80,28,28,65,55,34
81,24,24,62,61,30
82,19,19,58,66,27
83,17,17,54,71,26
84,12,12,50,76,23
85,9,9,45,81,21
86,8,8,41,85,18
87,7,7,36,88,16
88,5,5,31,91,13
89,5,5,27,93,10
90,3,3,22,94,11
91,0,0,17,96,11
92,9,9,12,96,12
93,27,27,9,93,12
94,35,35,6,91,13
95,54,54,5,88,13
96,53,53,3,85,13
97,63,63,2,83,13
98,72,72,1,81,15
99,72,72,0,79,15
100,81,81,0,78,16
101,82,82,0,78,16
102,82,82,0,77,16
103,82,82,0,78,17
104,82,82,1,81,17
105,82,82,3,83,18
106,82,82,5,86,18
107,81,81,7,89,19
108,89,89,10,92,19
109,80,80,13,94,20
110,90,90,16,96,20
111,89,89,20,98,21
112,89,89,24,98,21
113,89,89,28,99,22
114,91,91,32,98,22
115,91,91,37,96,23
116,91,91,42,93,23
117,90,90,46,90,24
118,91,91,51,85,24
119,91,91,56,79,24
120,92,92,61,71,24
121,92,92,66,59,24
122,92,92,71,47,23
123,91,91,75,39,23
124,90,90,78,30,22
125,90,90,80,26,22
126,89,89,82,20,21
127,89,89,84,16,21
128,88,88,84,14,21
129,89,89,85,11,20
130,90,90,86,11,20
131,90,90,86,10,19
132,91,91,87,10,19
133,92,92,87,9,18
134,91,91,88,9,18
135,92,92,88,8,18
136,93,93,89,7,17
137,92,92,90,6,17
138,92,92,90,6,16
