time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,91,91,88,0,0
1,91,91,89,0,0
2,90,90,88,1,0
3,90,90,88,1,0
4,91,91,88,1,0
5,89,89,88,1,0
6,90,90,88,1,0
7,91,91,88,1,0
8,90,90,88,1,0
9,91,91,88,1,0
10,90,90,88,1,0
11,89,89,88,1,0
12,88,88,87,2,0
13,88,88,87,2,0
14,89,89,87,2,0
15,90,90,87,2,0
16,90,90,87,2,0
17,91,91,87,2,0
18,90,90,87,2,0
19,90,90,87,2,0
20,90,90,87,2,0
21,88,88,87,2,0
22,89,89,87,2,0
23,89,89,87,2,0
24,88,88,87,2,0
25,89,89,87,2,0
26,90,90,87,2,0
27,89,89,87,2,0
28,90,90,87,2,0
29,89,89,86,2,0
30,89,89,86,2,0
31,89,89,86,2,0
32,89,89,86,2,0
33,87,87,86,2,0
34,89,89,86,2,0
35,88,88,86,2,0
36,88,88,86,2,0
37,86,86,85,2,0
38,80,80,85,4,0
39,68,68,83,10,0
40,57,57,81,17,0
41,50,50,79,23,0
42,45,45,76,29,0
43,37,37,73,35,0
44,32,32,70,42,0
45,28,28,66,47,0
46,24,24,62,53,0
47,20,20,58,58,0
48,17,17,54,62,0
49,13,13,49,67,0
50,10,10,45,71,0
51,8,8,40,75,0
52,7,7,35,78,0
53,5,5,30,80,0
54,3,3,25,83,0
55,1,1,20,84,0
56,0,0,14,86,0
57,4,4,9,86,0
58,20,20,5,84,0
59,86,86,5,84,0
60,86,86,5,84,1
61,90,90,5,84,2
62,90,90,5,84,2
63,90,90,5,84,3
64,91,91,5,85,4
65,91,91,5,85,5
66,91,91,6,85,6
67,92,92,6,86,6
68,93,93,7,87,6
69,92,92,8,89,8
70,92,92,10,91,9
71,91,91,13,93,10
72,91,91,15,95,11
73,92,92,19,97,12
74,91,91,22,98,12
75,92,92,26,98,13
76,91,91,30,99,13
77,93,93,34,98,15
78,92,92,39,97,16
79,92,92,43,95,16
80,92,92,48,92,17
81,91,91,53,89,18
82,92,92,58,84,19
83,93,93,63,78,20
84,92,92,69,71,21
85,93,93,74,61,21
86,92,92,80,48,22
87,91,91,85,31,23
88,92,92,89,3,24
89,92,92,89,3,24
90,92,92,90,2,27
91,93,93,90,1,30
92,90,90,90,1,32
93,90,90,90,1,35
94,89,89,90,2,37
95,90,90,90,2,40
96,90,90,90,2,42
97,90,90,90,2,45
98,91,91,90,2,47
99,91,91,90,2,49
100,91,91,90,2,52
101,92,92,90,2,54
102,92,92,90,2,57
103,92,92,90,2,59
104,93,93,90,2,61
105,91,91,90,2,64
106,93,93,90,2,67
107,94,94,90,2,69
108,92,92,90,2,72
109,93,93,90,2,74
110,93,93,90,2,77
111,94,94,90,3,79
112,93,93,90,3,82
113,91,91,90,3,84
114,91,91,90,3,87
115,92,92,90,3,89
116,92,92,90,2,92
117,92,92,90,2,94
118,81,81,89,5,97
119,71,71,88,10,99
120,63,63,86,16,96
121,54,54,84,22,93
122,47,47,82,28,89
123,43,43,79,34,86
124,38,38,76,40,83
125,34,34,72,45,80
126,31,31,69,50,77
127,29,29,65,55,74
128,24,24,61,59,70
129,22,22,57,63,67
130,18,18,53,67,64
131,16,16,48,71,61
132,14,14,44,74,58
133,13,13,39,76,55
134,12,12,34,78,51
135,11,11,29,80,48
136,9,9,24,81,45
137,19,19,20,81,42
138,33,33,16,79,39
139,47,47,14,76,36
140,59,59,12,74,32
141,67,67,10,71,29
142,71,71,9,69,26
143,78,78,8,68,23
144,83,83,7,67,20
145,88,88,7,66,17
146,90,90,7,66,13
147,91,91,7,66,10
148,93,93,8,67,6
149,95,95,9,70,4
150,95,95,11,73,4
151,97,97,14,76,4
152,97,97,17,79,4
153,94,94,20,81,4
154,95,95,23,83,4
155,95,95,27,84,4
156,96,96,30,85,4
157,96,96,34,86,4
158,96,96,39,86,4
159,97,97,43,85,4
160,99,99,48,83,4
161,97,97,53,81,4
162,95,95,58,77,4
163,95,95,63,72,3
164,95,95,68,66,3
165,95,95,73,59,3
166,95,95,78,49,3
167,95,95,82,39,3
168,96,96,86,30,3
169,96,96,89,23,3
170,96,96,91,18,3
171,95,95,93,14,3
172,96,96,94,10,3
173,96,96,95,7,3
174,96,96,96,5,3
175,96,96,97,4,3
176,97,97,97,3,3
177,96,96,97,2,3
178,96,96,98,2,3
179,96,96,98,2,3
180,96,96,98,2,5
181,97,97,98,2,6
182,98,98,98,2,8
183,97,97,98,2,10
184,98,98,98,2,11
185,98,98,98,2,13
186,97,97,98,2,15
187,97,97,98,2,16
188,97,97,98,2,18
189,98,98,99,2,20
190,98,98,98,2,22
191,96,96,98,2,23
192,96,96,98,2,24
193,96,96,98,2,27
194,95,95,98,2,27
195,96,96,98,2,30
196,95,95,98,2,32
197,95,95,98,2,33
198,95,95,98,2,35
199,95,95,98,2,37
200,93,93,98,2,38
201,93,93,98,3,40
202,93,93,98,3,42
203,94,94,98,3,43
204,94,94,98,3,45
205,94,94,98,3,47
206,94,94,97,3,49
207,93,93,97,4,49
208,93,93,97,4,52
209,93,93,97,4,54
210,92,92,96,4,52
211,91,91,96,4,49
212,90,90,96,5,48
213,92,92,95,5,47
214,92,92,95,5,45
215,93,93,95,5,43
216,86,86,94,5,41
217,75,75,93,10,40
218,65,65,91,15,38
219,57,57,88,21,36
220,49,49,85,28,35
221,43,43,82,34,33
222,37,37,79,40,30
223,33,33,75,46,29
224,28,28,71,52,27
225,25,25,67,57,26
