time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,54,54,44,0,54
1,60,60,48,8,54
2,67,67,53,14,54
3,71,71,57,17,54
4,76,76,60,21,54
5,80,80,63,23,54
6,81,81,65,24,54
7,81,81,67,25,54
8,83,83,69,25,54
9,83,83,70,25,54
10,84,84,72,25,54
11,85,85,73,25,54
12,84,84,74,25,54
13,85,85,74,25,54
14,85,85,75,25,54
15,87,87,76,25,54
16,85,85,77,24,54
17,86,86,77,24,54
18,85,85,78,24,54
19,85,85,78,23,54
20,84,84,78,23,54
21,82,82,78,22,54
22,83,83,79,22,54
23,83,83,79,22,54
24,83,83,79,21,54
25,86,86,79,21,54
26,86,86,80,21,54
27,85,85,80,21,54
28,87,87,80,20,54
29,88,88,80,20,54
30,87,87,82,16,54
31,88,88,83,11,54
32,88,88,84,9,54
33,89,89,85,7,54
34,89,89,85,6,54
35,90,90,86,6,54
36,90,90,86,6,54
37,90,90,87,6,54
38,88,88,87,6,54
39,90,90,87,6,54
40,90,90,87,6,54
41,89,89,88,6,54
42,91,91,88,6,54
43,91,91,88,6,54
44,90,90,88,7,54
45,90,90,88,7,54
46,90,90,89,7,54
47,92,92,89,7,54
48,92,92,89,7,54
49,92,92,90,7,54
50,92,92,90,7,54
51,90,90,90,7,54
52,89,89,91,6,54
53,91,91,91,5,54
54,91,91,91,5,54
55,91,91,92,4,54
56,92,92,92,4,54
57,90,90,92,4,54
58,90,90,92,3,54
59,91,91,92,3,54
60,91,91,92,3,52
61,91,91,93,2,49
62,91,91,93,2,48
63,91,91,93,2,47
64,91,91,93,2,45
65,92,92,93,2,43
66,92,92,93,2,41
67,91,91,93,2,40
68,92,92,93,2,38
69,93,93,93,2,36
70,92,92,94,2,34
71,92,92,94,2,32
72,92,92,94,2,30
73,93,93,94,2,29
74,92,92,94,2,27
75,87,87,94,3,24
76,74,74,93,9,23
77,63,63,92,15,22
78,54,54,90,23,20
79,47,47,88,30,18
80,38,38,86,38,16
81,32,32,83,46,13
82,27,27,80,53,13
83,23,23,77,59,11
84,19,19,74,66,9
85,16,16,71,71,6
86,14,14,67,76,5
87,14,14,64,80,4
88,9,9,61,84,2
89,8,8,57,88,0
90,6,6,53,91,0
91,5,5,49,93,0
92,4,4,46,95,0
93,3,3,42,96,0
94,6,6,38,97,0
95,5,5,34,97,0
96,7,7,30,96,0
97,8,8,27,94,0
98,10,10,23,92,0
99,11,11,20,88,1
100,12,12,16,84,1
101,16,16,13,79,1
102,21,21,10,73,1
103,27,27,7,65,1
104,30,30,4,56,1
105,35,35,2,47,1
106,42,42,0,41,1
107,48,48,0,38,1
108,57,57,0,39,1
109,67,67,1,43,1
110,78,78,2,50,1
111,90,90,5,60,1
112,92,92,8,68,1
113,93,93,11,75,1
114,92,92,14,81,1
115,93,93,17,86,1
116,92,92,21,90,1
117,93,93,24,93,1
118,93,93,28,95,2
119,94,94,32,97,2
120,95,95,36,98,2
121,97,97,40,99,2
122,98,98,44,98,2
123,96,96,48,97,2
124,98,98,52,96,2
125,98,98,56,93,3
126,97,97,60,91,3
127,97,97,64,87,3
128,97,97,68,83,3
129,98,98,72,78,3
130,99,99,75,73,3
131,97,97,79,67,4
132,98,98,82,61,4
133,97,97,85,54,4
134,97,97,88,47,4
135,94,94,91,39,4
136,95,95,93,32,4
137,93,93,95,24,4
138,91,91,97,16,5
139,92,92,98,10,5
140,91,91,99,6,5
141,90,90,98,7,5
142,91,91,98,7,5
143,89,89,98,7,5
144,88,88,98,8,6
145,86,86,98,9,6
146,87,87,98,9,6
147,88,88,97,10,6
148,88,88,97,10,6
149,91,91,97,10,6
150,90,90,97,10,9
151,90,90,96,10,12
152,90,90,96,10,15
153,89,89,96,10,17
154,89,89,95,10,20
155,88,88,95,10,23
156,88,88,95,10,26
157,87,87,94,10,29
158,88,88,94,9,30
159,88,88,93,9,34
160,88,88,93,8,37
161,89,89,92,8,40
162,89,89,92,7,42
163,88,88,92,6,45
164,88,88,91,5,48
165,89,89,91,4,51
166,90,90,91,4,53
167,89,89,91,3,55
168,91,91,91,3,59
169,90,90,91,3,61
170,89,89,90,3,65
171,87,87,90,3,67
172,88,88,90,2,70
173,87,87,90,3,73
174,87,87,90,3,76
175,84,84,90,3,78
176,82,82,90,4,81
177,82,82,90,5,84
178,82,82,89,6,87
179,81,81,89,6,89
180,79,79,88,7,88
181,77,77,88,9,87
182,72,72,87,11,86
183,72,72,86,13,84
184,66,66,85,15,83
185,64,64,84,18,82
186,57,57,83,22,80
187,48,48,81,28,79
188,36,36,79,35,78
189,22,22,76,44,77
190,7,7,72,55,75
191,3,3,69,65,74
192,3,3,65,72,73
193,15,15,62,76,72
194,34,34,59,77,70
195,46,46,57,76,69
196,59,59,56,75,68
197,67,67,55,74,66
198,70,70,54,73,65
199,74,74,53,72,64
200,76,76,53,71,63
201,82,82,53,70,61
202,86,86,52,70,60
203,87,87,52,70,59
204,90,90,53,70,58
205,89,89,53,71,55
206,90,90,53,71,55
207,88,88,53,72,54
208,90,90,54,72,52
209,89,89,54,73,51
210,91,91,55,74,51
211,90,90,55,75,49
212,89,89,56,76,49
213,89,89,57,77,49
214,88,88,58,78,48
215,88,88,59,79,47
216,88,88,60,79,47
217,86,86,62,79,46
218,86,86,64,78,45
219,86,86,67,75,45
220,88,88,70,69,44
221,87,87,74,59,43
222,87,87,78,47,43
223,85,85,81,35,42
224,85,85,83,27,41
225,85,85,85,20,41
226,85,85,86,15,40
227,86,86,87,12,39
228,88,88,87,9,39
229,86,86,88,7,38
230,85,85,88,5,37
231,86,86,89,4,37
232,87,87,89,4,36
233,88,88,89,4,35
234,87,87,89,4,35
235,86,86,88,4,34
236,84,84,88,4,33
237,84,84,88,4,33
238,83,83,88,4,32
239,82,82,87,5,30
240,82,82,87,5,34
241,82,82,87,5,36
242,84,84,86,5,38
243,84,84,86,4,40
244,82,82,86,4,43
245,81,81,86,5,45
246,82,82,85,5,47
247,82,82,85,5,49
248,83,83,85,5,52
249,84,84,85,5,54
250,84,84,85,5,55
251,87,87,85,5,58
252,84,84,85,5,61
253,84,84,85,5,63
254,84,84,85,5,65
255,84,84,85,5,67
256,84,84,85,5,70
257,84,84,84,5,72
258,84,84,84,4,74
259,84,84,84,4,76
260,86,86,84,4,79
261,87,87,84,4,81
262,89,89,84,5,83
263,89,89,84,5,85
264,90,90,85,5,88
265,89,89,85,6,90
266,90,90,85,6,92
267,89,89,85,7,94
268,90,90,85,7,97
269,88,88,86,7,99
270,88,88,86,7,97
271,86,86,86,7,94
272,83,83,86,7,92
273,67,67,85,11,89
274,61,61,84,16,87
275,49,49,83,23,85
276,41,41,81,30,82
277,35,35,79,38,80
278,29,29,77,45,78
279,23,23,74,52,75
280,19,19,71,58,73
281,15,15,68,64,70
282,12,12,65,70,68
283,8,8,62,76,66
284,6,6,58,81,63
285,5,5,55,85,61
286,2,2,51,88,58
287,1,1,47,92,55
288,2,2,44,94,54
289,1,1,40,96,51
290,0,0,36,98,49
291,5,5,33,98,47
292,19,19,30,96,44
293,34,34,27,93,42
294,45,45,25,90,39
295,55,55,24,87,37
296,59,59,22,84,35
297,67,67,21,81,32
298,70,70,21,79,30
299,74,74,20,77,27
