time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,47,47,37,0,44
1,51,51,41,8,44
2,50,50,42,7,44
3,48,48,41,7,44
4,46,46,40,7,44
5,45,45,39,8,44
6,42,42,37,11,44
7,45,45,37,10,44
8,52,52,38,12,44
9,54,54,39,13,44
10,55,55,40,15,44
11,55,55,41,16,44
12,51,51,42,15,44
13,47,47,41,15,44
14,47,47,41,14,44
15,70,70,43,24,44
16,67,67,45,28,44
17,63,63,46,29,44
18,63,63,47,30,44
19,67,67,49,31,44
20,72,72,50,34,44
21,78,78,52,38,44
22,83,83,54,43,44
23,88,88,57,49,44
24,88,88,59,53,44
25,84,84,61,55,44
26,75,75,62,55,44
27,62,62,62,54,44
28,45,45,61,54,44
29,25,25,59,59,44
30,0,0,56,71,44
31,5,5,53,80,44
32,28,28,52,82,44
33,44,44,51,82,44
34,57,57,52,82,44
35,66,66,53,82,44
36,72,72,55,82,44
37,74,74,57,83,44
38,74,74,58,83,44
39,70,70,59,83,44
40,66,66,60,84,44
41,62,62,60,84,44
42,61,61,61,83,44
43,59,59,61,83,44
44,57,57,62,82,44
45,57,57,61,82,44
46,59,59,61,82,44
47,62,62,61,82,44
48,62,62,61,82,44
49,62,62,60,82,44
50,62,62,60,81,44
51,62,62,59,80,44
52,60,60,57,78,44
53,61,61,56,75,44
54,59,59,54,72,44
55,59,59,52,69,44
56,60,60,52,68,44
57,61,61,51,68,44
58,63,63,53,68,44
59,64,64,55,64,44
60,66,66,59,50,43
61,68,68,63,32,42
62,68,68,65,22,40
63,70,70,66,18,39
64,71,71,67,18,38
65,71,71,68,19,37
66,72,72,68,19,36
67,70,70,67,18,35
68,69,69,67,17,34
69,67,67,67,16,33
70,67,67,67,16,32
71,66,66,67,16,30
72,65,65,67,16,29
73,65,65,68,16,27
74,66,66,68,15,27
75,67,67,69,14,26
76,67,67,69,14,24
77,69,69,70,14,24
78,68,68,70,14,23
79,67,67,70,14,22
80,68,68,71,13,21
81,68,68,71,13,19
82,69,69,72,13,18
83,69,69,72,12,17
84,69,69,73,11,16
85,69,69,74,10,15
86,70,70,74,9,13
87,70,70,75,7,13
88,70,70,75,7,12
89,70,70,75,6,11
90,70,70,76,6,11
91,68,68,76,6,11
92,66,66,75,6,11
93,64,64,75,7,11
94,59,59,74,9,11
95,54,54,73,13,11
96,49,49,72,17,11
97,47,47,71,22,11
98,46,46,69,26,11
99,49,49,68,28,11
100,52,52,67,29,11
101,54,54,67,30,12
102,53,53,66,30,12
103,52,52,65,31,12
104,53,53,64,32,12
105,54,54,64,32,12
106,54,54,63,32,12
107,59,59,62,32,12
108,62,62,62,32,12
109,60,60,62,31,12
110,59,59,61,31,12
111,56,56,60,31,12
112,54,54,59,30,13
113,52,52,58,30,13
114,52,52,57,29,13
115,54,54,56,28,13
116,55,55,56,27,13
117,58,58,55,25,13
118,62,62,54,24,13
119,65,65,54,23,13
120,69,69,54,22,13
121,71,71,54,23,13
122,74,74,55,26,13
123,75,75,55,28,12
124,75,75,56,31,12
125,74,74,58,32,12
126,74,74,59,33,12
127,73,73,61,34,12
128,73,73,62,33,12
129,75,75,64,33,11
130,77,77,65,34,11
131,80,80,67,36,11
132,81,81,69,37,11
133,82,82,70,38,11
134,83,83,72,39,11
135,84,84,74,39,10
136,82,82,76,39,10
137,81,81,77,40,10
138,76,76,78,40,10
139,72,72,78,39,10
140,64,64,79,38,10
141,52,52,78,39,9
142,46,46,78,41,9
143,48,48,78,42,9
144,55,55,78,42,9
145,64,64,79,40,9
146,71,71,79,39,9
147,75,75,80,38,8
148,79,79,81,38,8
149,80,80,82,38,8
150,65,65,82,38,11
151,40,40,80,44,13
152,16,16,77,58,17
153,1,1,72,75,20
154,99,99,74,78,23
155,73,73,74,78,26
156,46,46,72,79,29
157,31,31,69,82,32
158,22,22,66,87,35
159,17,17,63,93,38
160,19,19,59,96,41
161,25,25,56,98,44
162,29,29,53,99,47
163,32,32,50,98,51
164,40,40,47,96,54
165,48,48,45,94,57
166,48,48,43,91,60
167,42,42,41,88,63
168,38,38,39,87,66
169,36,36,37,85,69
170,33,33,35,85,72
171,31,31,33,85,75
172,31,31,33,86,78
173,29,29,31,86,81
174,28,28,30,87,84
175,28,28,28,86,87
176,30,30,25,84,90
177,33,33,23,80,93
178,34,34,20,75,96
179,35,35,17,69,99
180,33,33,15,65,96
181,30,30,15,65,94
182,27,27,16,64,91
183,27,27,17,60,88
184,25,25,13,40,85
185,25,25,10,28,83
186,25,25,8,27,80
187,25,25,8,27,77
188,23,23,8,27,74
189,20,20,8,26,72
190,19,19,8,26,69
191,18,18,8,28,66
192,16,16,7,29,63
193,16,16,6,31,61
194,18,18,5,31,58
195,20,20,3,29,55
196,20,20,2,25,52
197,23,23,0,23,49
198,28,28,0,22,47
199,31,31,0,21,44
