time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,70,70,76,0,95
1,68,68,69,5,95
2,68,68,66,5,95
3,69,69,67,4,95
4,70,70,68,4,95
5,70,70,69,4,95
6,72,72,71,6,95
7,74,74,75,9,95
8,76,76,79,13,95
9,76,76,83,15,95
10,77,77,86,16,95
11,78,78,89,18,95
12,77,77,91,18,95
13,77,77,94,18,95
14,76,76,95,18,95
15,78,78,97,19,95
16,77,77,99,19,95
17,66,66,96,20,95
18,38,38,83,47,95
19,6,6,61,89,95
20,38,38,51,94,95
21,87,87,57,94,95
22,94,94,65,97,95
23,90,90,71,97,95
24,83,83,75,97,95
25,77,77,77,95,95
26,74,74,77,93,95
27,72,72,78,92,95
28,71,71,78,90,95
29,70,70,78,88,95
30,69,69,78,88,95
31,69,69,78,88,95
32,69,69,78,88,95
33,69,69,78,88,95
34,69,69,78,88,95
35,69,69,77,88,95
36,69,69,77,88,95
37,69,69,75,88,95
38,69,69,74,88,95
39,67,67,72,88,95
40,66,66,69,88,95
41,63,63,66,88,95
42,61,61,62,88,95
43,58,58,58,88,95
44,57,57,54,88,95
45,57,57,49,88,95
46,57,57,44,88,95
47,58,58,43,88,95
48,59,59,47,84,95
49,60,60,59,59,95
50,60,60,64,51,95
51,60,60,58,49,95
52,60,60,51,42,95
53,61,61,44,35,95
54,62,62,39,30,95
55,62,62,36,28,95
56,64,64,34,26,95
57,64,64,32,25,95
58,66,66,31,24,95
59,66,66,30,23,95
60,66,66,29,22,92
61,66,66,28,22,89
62,67,67,28,22,86
63,68,68,28,21,83
64,67,67,27,21,79
65,68,68,27,21,76
66,67,67,27,20,73
67,68,68,26,20,70
68,68,68,26,20,67
69,68,68,26,20,64
70,68,68,27,20,60
71,68,68,28,21,57
72,68,68,30,21,54
73,69,69,32,21,51
74,68,68,35,20,48
75,69,69,37,19,44
76,70,70,40,18,41
77,71,71,43,18,38
78,70,70,46,17,35
79,70,70,48,16,32
80,70,70,50,16,29
81,70,70,53,14,24
82,70,70,55,13,22
83,71,71,57,12,19
84,70,70,59,11,16
85,70,70,61,10,13
86,70,70,62,9,10
87,69,69,63,8,6
88,69,69,64,7,3
89,68,68,65,7,0
90,68,68,65,6,1
91,68,68,65,6,3
92,68,68,66,6,4
93,68,68,66,6,6
94,68,68,66,6,6
95,68,68,66,6,9
96,70,70,66,5,10
