time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,52,52,86,0,6
1,54,54,89,3,6
2,48,48,82,9,6
3,29,29,58,42,6
4,2,2,20,85,6
5,9,9,0,90,6
6,49,49,10,87,6
7,70,70,29,96,6
8,68,68,43,99,6
9,64,64,53,98,6
10,57,57,58,94,6
11,55,55,61,91,6
12,53,53,63,88,6
13,52,52,65,85,6
14,51,51,66,82,6
15,52,52,67,79,6
16,51,51,68,77,6
17,51,51,69,75,6
18,50,50,69,73,6
19,50,50,69,71,6
20,50,50,70,69,6
21,49,49,70,68,6
22,48,48,70,66,6
23,48,48,69,65,6
24,46,46,69,64,6
25,46,46,69,62,6
26,45,45,68,61,6
27,44,44,67,60,6
28,43,43,67,59,6
29,42,42,66,58,6
30,40,40,64,59,6
31,39,39,62,59,6
32,38,38,61,59,6
33,37,37,62,58,6
34,36,36,67,46,6
35,36,36,71,36,6
36,35,35,69,37,6
37,36,36,64,34,6
38,38,38,59,30,6
39,40,40,56,27,6
40,41,41,53,26,6
41,43,43,52,24,6
42,44,44,50,23,6
43,45,45,49,22,6
44,46,46,49,22,6
45,46,46,48,21,6
46,47,47,47,20,6
47,47,47,47,19,6
48,47,47,46,19,6
49,47,47,46,18,6
50,47,47,45,18,6
51,47,47,45,17,6
52,46,46,45,17,6
53,45,45,45,17,6
54,45,45,44,17,6
55,45,45,44,17,6
56,45,45,44,17,6
57,45,45,45,17,6
58,45,45,45,17,6
59,46,46,46,17,6
60,47,47,46,17,5
61,48,48,48,17,5
62,47,47,49,17,5
63,48,48,51,16,5
64,48,48,52,15,5
65,48,48,54,14,4
66,48,48,56,12,4
67,49,49,58,10,4
68,48,48,59,8,4
69,49,49,61,7,4
70,49,49,62,5,4
71,49,49,63,5,3
72,49,49,63,5,3
73,50,50,64,5,3
74,50,50,64,6,3
75,50,50,65,6,3
76,50,50,65,6,3
77,50,50,66,7,2
78,51,51,66,7,2
79,51,51,67,7,2
80,52,52,68,8,2
81,51,51,68,8,2
82,51,51,69,8,1
83,51,51,70,8,1
84,50,50,71,8,1
85,50,50,71,7,1
86,50,50,72,7,1
87,50,50,73,6,1
88,49,49,73,5,0
89,50,50,74,5,0
90,49,49,74,4,3
91,50,50,74,4,6
92,50,50,75,4,9
93,52,52,75,4,12
94,53,53,76,4,15
95,53,53,77,4,18
96,53,53,77,5,21
97,53,53,78,5,24
98,53,53,79,5,27
99,53,53,79,5,30
100,52,52,80,5,33
101,53,53,80,5,35
102,50,50,80,5,38
103,36,36,78,12,41
104,13,13,73,31,44
105,0,0,66,50,47
106,36,36,64,50,49
107,72,72,67,54,53
108,69,69,70,56,55
109,63,63,71,57,59
110,55,55,72,57,61
111,51,51,72,57,65
112,48,48,71,57,68
113,49,49,71,57,71
114,48,48,71,57,74
115,48,48,70,57,77
116,47,47,70,57,80
117,47,47,69,57,83
118,47,47,69,57,85
119,47,47,69,57,88
120,46,46,68,57,88
121,46,46,68,57,88
122,46,46,67,57,88
123,45,45,66,57,87
124,44,44,65,57,87
125,44,44,63,57,87
126,43,43,62,57,86
127,42,42,61,57,86
128,41,41,59,57,86
129,40,40,57,56,86
130,39,39,55,56,85
131,37,37,53,56,85
132,36,36,51,57,85
133,35,35,51,57,84
134,35,35,54,52,84
135,34,34,59,38,84
136,35,35,59,38,83
137,36,36,54,33,83
138,38,38,49,27,83
139,41,41,46,22,83
140,43,43,44,20,82
141,44,44,43,19,82
142,46,46,43,19,82
143,47,47,43,19,81
144,49,49,43,19,81
145,50,50,43,19,81
146,50,50,44,20,81
147,51,51,44,21,80
148,51,51,45,22,80
149,51,51,46,22,80
