time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,21,21,21,0,41
1,21,21,21,1,41
2,21,21,21,1,41
3,21,21,21,1,41
4,21,21,21,1,41
5,22,22,21,2,41
6,22,22,22,3,41
7,20,20,21,3,41
8,21,21,22,3,41
9,20,20,21,3,41
10,19,19,21,4,41
11,19,19,21,4,41
12,19,19,21,4,41
13,20,20,21,4,41
14,18,18,21,5,41
15,19,19,20,5,41
16,18,18,20,6,41
17,19,19,20,6,41
18,20,20,20,6,41
19,19,19,20,6,41
20,18,18,20,6,41
21,18,18,20,6,41
22,18,18,20,6,41
23,17,17,20,6,41
24,17,17,20,7,41
25,16,16,19,7,41
26,15,15,19,8,41
27,15,15,19,9,41
28,15,15,19,9,41
29,14,14,19,10,41
30,12,12,18,11,41
31,11,11,18,13,41
32,11,11,17,14,41
33,11,11,17,15,41
34,8,8,17,16,41
35,7,7,16,17,41
36,5,5,15,19,41
37,7,7,15,20,41
38,6,6,14,21,41
39,6,6,14,22,41
40,6,6,13,23,41
41,7,7,13,23,41
42,7,7,12,23,41
43,7,7,12,23,41
44,5,5,11,24,41
45,5,5,11,24,41
46,5,5,10,24,41
47,5,5,10,24,41
48,5,5,9,23,41
49,3,3,8,23,41
50,2,2,8,22,41
51,3,3,7,22,41
52,2,2,7,21,41
53,3,3,6,20,41
54,2,2,5,19,41
55,2,2,5,18,41
56,2,2,4,17,41
57,0,0,4,16,41
58,1,1,3,15,41
59,0,0,3,14,41
60,0,0,2,14,40
61,0,0,2,14,38
62,0,0,1,13,37
63,0,0,1,12,36
64,0,0,1,12,34
65,1,1,0,11,33
66,2,2,0,11,32
67,3,3,0,11,30
68,3,3,0,10,29
69,3,3,0,10,27
70,4,4,0,10,26
71,5,5,0,10,24
72,5,5,0,9,24
73,5,5,0,9,22
74,8,8,0,9,21
75,13,13,0,12,20
76,18,18,0,18,18
77,24,24,1,25,17
78,29,29,2,32,16
79,32,32,3,39,13
80,34,34,4,46,13
81,36,36,6,52,12
82,37,37,7,57,10
83,38,38,8,62,9
84,39,39,10,66,8
85,43,43,12,70,6
86,45,45,13,75,5
87,49,49,15,79,4
88,52,52,17,83,3
89,54,54,19,87,1
90,55,55,21,90,2
91,57,57,24,93,2
92,57,57,26,95,3
93,59,59,28,97,3
94,60,60,31,98,4
95,61,61,33,98,4
96,63,63,35,99,4
97,62,62,38,98,5
98,64,64,40,97,5
99,64,64,42,95,6
100,66,66,45,92,6
101,66,66,47,89,6
102,67,67,50,85,6
103,67,67,52,79,8
104,68,68,55,73,8
105,69,69,57,68,9
106,69,69,59,63,9
107,69,69,60,59,10
108,69,69,62,56,10
109,70,70,64,53,11
110,71,71,65,51,11
111,71,71,66,48,12
112,72,72,68,45,12
113,72,72,69,41,12
114,72,72,70,37,13
115,72,72,72,34,13
116,71,71,73,30,13
117,71,71,73,27,13
118,72,72,74,25,15
119,71,71,75,23,15
120,70,70,75,21,17
121,71,71,76,19,19
122,69,69,76,17,22
123,75,75,77,17,24
124,81,81,78,18,26
125,86,86,79,22,27
126,86,86,80,24,30
127,85,85,81,26,32
128,86,86,82,28,34
129,86,86,82,29,36
130,86,86,83,31,38
131,86,86,84,32,40
132,87,87,85,33,42
133,86,86,86,33,44
134,87,87,86,34,47
135,89,89,87,35,49
136,89,89,88,35,51
137,88,88,89,36,53
138,88,88,89,36,55
139,88,88,90,36,57
140,89,89,91,36,59
141,90,90,91,36,61
142,90,90,92,36,63
143,86,86,93,35,65
144,80,80,93,34,67
145,74,74,93,34,69
