time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,63,63,97,0,99
1,44,44,75,26,99
2,14,14,45,55,99
3,7,7,26,62,99
4,8,8,15,61,99
5,10,10,9,58,99
6,12,12,5,55,99
7,14,14,2,52,99
8,16,16,1,50,99
9,19,19,0,47,99
10,18,18,0,45,99
11,19,19,0,43,99
12,49,49,5,46,99
13,76,76,13,58,99
14,87,87,23,70,99
15,91,91,31,79,99
16,91,91,39,85,99
17,88,88,45,89,99
18,85,85,51,91,99
19,84,84,56,92,99
20,81,81,60,92,99
21,79,79,63,92,99
22,78,78,66,91,99
23,76,76,69,91,99
24,75,75,71,90,99
25,75,75,73,89,99
26,71,71,74,88,99
27,63,63,75,86,99
28,30,30,73,86,99
29,19,19,71,86,99
30,19,19,67,87,99
31,20,20,66,88,99
32,22,22,66,88,99
33,23,23,67,86,99
34,25,25,69,84,99
35,25,25,70,83,99
36,25,25,71,82,99
37,31,31,72,80,99
38,69,69,76,78,99
39,89,89,82,78,99
40,97,97,88,78,99
41,99,99,94,78,99
42,95,95,97,79,99
43,91,91,98,80,99
44,89,89,99,80,99
45,85,85,98,80,99
46,82,82,97,79,99
47,81,81,97,79,99
48,77,77,96,78,99
49,77,77,96,78,99
50,76,76,95,78,99
51,76,76,95,78,99
52,73,73,95,77,99
53,55,55,93,77,99
54,23,23,89,79,99
55,17,17,85,81,99
56,19,19,81,83,99
57,19,19,77,85,99
58,20,20,77,86,99
59,21,21,77,86,99
60,21,21,77,85,99
61,21,21,77,85,99
62,22,22,77,85,98
63,23,23,77,85,98
64,43,43,78,84,98
65,77,77,82,84,98
66,91,91,87,84,97
67,95,95,92,84,97
68,93,93,94,86,97
69,88,88,94,86,97
70,83,83,93,84,96
71,79,79,91,83,96
72,77,77,90,81,96
73,73,73,89,80,96
74,71,71,87,79,96
75,70,70,86,78,95
76,69,69,85,77,95
77,69,69,84,76,95
78,67,67,84,76,95
79,60,60,82,75,94
80,28,28,79,76,94
81,9,9,73,78,94
82,8,8,68,81,94
83,10,10,65,83,94
84,13,13,64,84,93
85,14,14,64,84,93
86,17,17,64,84,93
87,19,19,64,84,93
88,20,20,64,84,92
89,20,20,64,84,92
90,22,22,64,84,90
91,50,50,66,83,89
92,78,78,71,83,87
93,90,90,76,84,85
94,94,94,80,86,84
95,93,93,81,87,82
96,90,90,81,87,80
97,86,86,80,86,78
98,84,84,79,85,77
99,83,83,79,85,75
100,77,77,79,85,73
101,75,75,78,84,71
102,73,73,78,84,70
103,73,73,78,84,68
104,73,73,78,84,66
105,72,72,78,84,65
106,69,69,78,84,63
107,44,44,76,84,61
108,20,20,73,85,59
109,16,16,69,87,58
110,17,17,68,88,55
111,19,19,69,87,54
112,22,22,70,85,52
113,22,22,71,84,51
114,22,22,72,83,49
115,22,22,72,83,47
116,22,22,73,82,46
117,23,23,73,82,44
118,42,42,75,80,42
119,53,53,77,78,40
120,58,58,80,77,39
121,59,59,81,77,38
122,57,57,79,76,36
123,53,53,76,73,35
124,52,52,73,71,34
125,52,52,70,67,32
126,51,51,67,64,30
127,50,50,64,61,30
128,49,49,61,59,27
129,49,49,59,56,27
130,50,50,57,54,26
131,50,50,55,52,24
132,51,51,53,50,23
133,44,44,51,47,22
134,26,26,47,45,20
135,20,20,43,44,19
136,20,20,40,42,17
137,20,20,38,43,16
138,22,22,38,43,15
139,23,23,39,42,13
140,24,24,39,41,12
141,25,25,40,40,11
142,26,26,40,40,9
143,27,27,40,40,8
144,54,54,43,39,6
145,79,79,47,43,5
146,89,89,52,48,4
147,93,93,58,53,3
148,93,93,62,58,1
149,91,91,65,62,0
150,86,86,67,64,1
151,82,82,68,66,1
152,78,78,70,67,2
153,74,74,72,68,3
154,72,72,73,69,4
155,69,69,75,70,4
156,69,69,76,70,5
157,68,68,77,70,6
158,68,68,79,71,6
159,56,56,79,71,6
160,21,21,77,73,8
161,0,0,73,77,9
162,0,0,69,82,9
163,3,3,66,85,10
164,6,6,64,87,11
165,8,8,64,88,12
166,9,9,63,89,12
167,10,10,62,90,13
168,10,10,61,92,13
169,9,9,60,93,15
170,10,10,59,94,15
171,31,31,59,94,16
172,69,69,62,94,17
173,83,83,67,95,17
174,92,92,70,97,18
175,93,93,71,98,19
176,92,92,71,99,20
177,89,89,71,98,20
178,86,86,70,97,21
179,81,81,69,96,22
180,78,78,69,96,23
181,76,76,68,95,23
182,73,73,68,95,24
183,72,72,68,95,24
184,70,70,67,95,26
185,71,71,68,95,27
186,69,69,68,95,27
187,51,51,66,94,27
188,16,16,62,95,29
189,8,8,59,97,30
190,8,8,58,98,30
191,9,9,58,97,32
192,9,9,59,96,32
193,11,11,60,95,33
194,12,12,60,95,34
195,12,12,60,94,35
196,15,15,61,94,36
197,17,17,61,93,37
198,55,55,65,91,37
199,79,79,70,90,38
200,89,89,76,89,39
201,92,92,81,90,40
202,91,91,83,92,41
203,88,88,83,92,41
204,82,82,82,91,42
205,78,78,81,90,43
206,77,77,80,89,44
207,76,76,79,88,45
208,77,77,79,87,46
209,75,75,78,87,46
210,74,74,78,87,47
211,75,75,78,87,48
212,70,70,78,86,49
213,59,59,77,86,49
214,25,25,73,87,51
215,14,14,69,88,52
216,13,13,64,90,53
217,15,15,62,91,54
218,16,16,62,91,55
219,18,18,62,90,55
220,19,19,63,89,57
221,20,20,64,88,58
222,21,21,65,87,59
223,21,21,66,86,60
224,25,25,67,85,61
225,63,63,71,83,61
226,84,84,76,82,63
227,88,88,81,81,64
228,91,91,84,83,65
229,88,88,85,84,66
230,84,84,85,84,67
231,81,81,84,82,68
232,77,77,83,81,69
233,76,76,82,80,70
234,75,75,81,80,71
235,74,74,81,79,72
236,72,72,80,79,73
237,69,69,80,79,74
238,68,68,79,78,75
239,65,65,78,78,76
240,60,60,77,77,75
241,35,35,74,77,74
242,10,10,69,79,72
243,6,6,65,82,71
244,5,5,64,84,70
245,7,7,63,85,69
246,9,9,63,86,68
247,9,9,62,86,67
248,10,10,62,87,65
249,11,11,61,88,64
250,12,12,61,88,63
251,32,32,62,87,61
252,65,65,65,87,61
253,79,79,70,87,60
254,86,86,74,87,58
255,84,84,76,89,57
256,81,81,76,88,55
257,77,77,75,87,55
258,72,72,73,86,54
259,66,66,72,84,53
260,65,65,70,83,52
261,65,65,69,82,49
262,65,65,68,81,49
263,64,64,67,80,48
264,63,63,66,80,47
265,63,63,66,79,46
266,58,58,65,78,45
267,38,38,62,78,43
268,9,9,58,79,42
269,4,4,53,81,41
270,4,4,49,83,43
271,7,7,46,85,44
272,9,9,46,85,46
273,9,9,47,84,47
274,10,10,47,84,49
275,11,11,47,84,49
276,12,12,48,83,52
277,17,17,48,83,53
278,56,56,52,81,55
279,77,77,57,81,55
280,85,85,62,82,58
281,86,86,67,83,59
282,83,83,68,85,61
283,80,80,68,85,61
284,76,76,67,84,64
285,73,73,66,83,65
286,69,69,65,82,67
287,68,68,65,81,68
288,69,69,64,81,70
289,68,68,65,81,71
290,71,71,65,82,73
291,69,69,65,82,74
292,66,66,66,82,76
293,57,57,65,82,77
294,25,25,62,82,79
295,12,12,58,84,80
296,10,10,54,85,82
297,13,13,53,87,83
298,13,13,53,86,85
299,15,15,54,85,86
