time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,59,59,51,0,34
1,59,59,51,1,34
2,58,58,50,2,34
3,58,58,50,1,34
4,58,58,50,1,34
5,58,58,50,2,34
6,57,57,50,2,34
7,57,57,49,2,34
8,57,57,49,2,34
9,58,58,49,2,34
10,58,58,49,2,34
11,58,58,49,2,34
12,58,58,49,2,34
13,58,58,49,1,34
14,57,57,49,1,34
15,58,58,49,1,34
16,58,58,49,1,34
17,58,58,49,1,34
18,58,58,49,1,34
19,58,58,49,1,34
20,58,58,49,1,34
21,58,58,49,1,34
22,59,59,49,1,34
23,59,59,50,1,34
24,59,59,50,2,34
25,60,60,50,2,34
26,60,60,50,2,34
27,60,60,50,3,34
28,61,61,50,3,34
29,62,62,50,4,34
30,62,62,50,5,34
31,62,62,50,5,34
32,62,62,51,6,34
33,62,62,51,6,34
34,63,63,51,7,34
35,65,65,51,8,34
36,65,65,52,9,34
37,65,65,52,9,34
38,64,64,53,9,34
39,65,65,53,10,34
40,65,65,53,10,34
41,65,65,53,10,34
42,65,65,54,10,34
43,66,66,54,11,34
44,66,66,55,11,34
45,66,66,55,11,34
46,65,65,55,11,34
47,65,65,56,10,34
48,65,65,56,10,34
49,65,65,56,10,34
50,65,65,57,9,34
51,65,65,57,9,34
52,66,66,57,8,34
53,66,66,58,8,34
54,65,65,58,7,34
55,65,65,58,6,34
56,63,63,58,6,34
57,63,63,58,5,34
58,64,64,59,5,34
59,64,64,59,4,34
60,63,63,59,4,33
61,63,63,59,4,32
62,64,64,59,4,30
63,63,63,59,3,29
64,62,62,59,4,27
65,62,62,59,4,27
66,63,63,59,4,26
67,63,63,58,4,24
68,63,63,58,5,24
69,62,62,58,5,23
70,61,61,58,5,21
71,62,62,58,6,20
72,62,62,58,6,19
73,62,62,58,6,18
74,62,62,57,5,17
75,61,61,57,5,16
76,60,60,57,6,15
77,60,60,57,6,13
78,59,59,56,6,12
79,57,57,56,7,11
80,55,55,56,9,10
81,53,53,55,11,9
82,50,50,54,13,8
83,47,47,53,16,6
84,43,43,52,20,6
85,36,36,51,26,5
86,29,29,49,34,3
87,22,22,48,42,2
88,16,16,45,51,1
89,12,12,43,59,0
90,9,9,40,67,1
91,8,8,38,73,2
92,8,8,35,78,3
93,8,8,32,83,3
94,7,7,30,86,4
95,6,6,27,89,5
96,5,5,25,92,6
97,1,1,22,95,6
98,0,0,19,97,8
99,0,0,16,98,8
100,3,3,13,99,9
101,9,9,11,97,10
102,14,14,8,95,11
103,20,20,6,92,12
104,25,25,4,88,13
105,30,30,3,84,13
106,35,35,2,80,13
107,40,40,1,77,15
108,44,44,0,74,16
109,48,48,0,72,17
110,51,51,0,70,18
111,54,54,0,71,18
112,55,55,0,72,19
113,57,57,0,74,20
114,57,57,1,77,21
115,57,57,2,80,22
116,57,57,3,83,23
117,57,57,5,86,23
118,58,58,7,89,24
119,59,59,9,91,24
120,60,60,11,92,24
121,60,60,14,93,24
122,61,61,16,93,24
123,62,62,19,93,24
124,63,63,22,92,24
125,63,63,24,90,23
126,63,63,27,88,23
127,64,64,30,84,23
128,65,65,33,78,22
129,66,66,36,71,22
130,66,66,39,64,22
131,66,66,42,56,21
132,68,68,44,49,21
133,69,69,47,43,21
134,69,69,49,38,20
135,70,70,51,33,20
136,71,71,52,29,20
137,73,73,54,27,20
138,74,74,55,25,19
139,76,76,56,25,19
140,76,76,58,25,19
141,77,77,59,25,18
142,79,79,60,26,18
143,79,79,61,27,18
144,79,79,62,28,17
145,82,82,63,29,17
146,84,84,64,30,17
147,86,86,66,31,17
148,88,88,67,33,16
149,88,88,69,34,16
150,88,88,70,35,16
151,90,90,71,35,16
152,92,92,73,37,16
153,93,93,74,38,16
154,94,94,76,39,16
155,96,96,77,40,16
156,96,96,79,41,16
157,97,97,80,41,16
158,98,98,82,41,16
159,98,98,83,42,16
160,98,98,85,41,16
161,98,98,86,41,16
162,99,99,88,40,16
163,98,98,89,39,16
164,98,98,91,38,16
165,97,97,92,36,15
166,95,95,93,34,15
167,95,95,94,32,15
168,94,94,95,31,15
169,94,94,96,29,15
170,92,92,97,27,15
171,90,90,97,24,15
172,88,88,98,23,15
173,87,87,98,21,15
174,86,86,98,19,15
175,84,84,99,18,15
176,83,83,98,19,15
177,80,80,98,20,15
178,78,78,98,23,15
179,76,76,97,25,15
180,74,74,96,28,15
181,73,73,96,31,16
182,71,71,95,34,16
183,70,70,94,37,16
184,69,69,92,39,16
185,68,68,91,41,17
186,67,67,90,43,17
187,67,67,88,45,17
188,66,66,87,46,17
189,65,65,85,47,17
190,65,65,84,48,18
191,65,65,82,48,18
192,64,64,81,47,18
193,64,64,79,47,18
194,64,64,77,46,19
195,64,64,76,45,19
196,63,63,74,43,19
197,63,63,73,41,19
198,64,64,71,39,20
199,64,64,70,37,20
