time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,60,60,53,0,11
1,60,60,53,0,11
2,60,60,53,0,11
3,60,60,53,0,11
4,60,60,53,0,11
5,60,60,53,0,11
6,60,60,53,0,11
7,60,60,53,0,11
8,61,61,53,0,11
9,61,61,54,0,11
10,61,61,54,1,11
11,61,61,54,1,11
12,61,61,54,1,11
13,61,61,54,1,11
14,61,61,54,1,11
15,61,61,54,1,11
16,61,61,54,1,11
17,61,61,54,1,11
18,62,62,54,1,11
19,62,62,54,2,11
20,63,63,54,2,11
21,63,63,55,3,11
22,63,63,55,3,11
23,63,63,55,3,11
24,63,63,55,4,11
25,64,64,55,4,11
26,64,64,55,4,11
27,64,64,55,5,11
28,64,64,55,5,11
29,65,65,56,5,11
30,65,65,56,6,11
31,66,66,56,6,11
32,66,66,56,6,11
33,66,66,57,7,11
34,66,66,57,7,11
35,66,66,57,7,11
36,66,66,58,7,11
37,66,66,58,7,11
38,66,66,58,7,11
39,66,66,58,7,11
40,66,66,59,7,11
41,66,66,59,7,11
42,66,66,59,7,11
43,66,66,59,7,11
44,66,66,60,6,11
45,66,66,60,6,11
46,66,66,60,5,11
47,66,66,60,5,11
48,66,66,60,4,11
49,65,65,61,4,11
50,65,65,61,4,11
51,65,65,61,3,11
52,65,65,61,3,11
53,65,65,61,3,11
54,65,65,61,2,11
55,64,64,61,2,11
56,64,64,61,2,11
57,64,64,61,2,11
58,64,64,61,2,11
59,64,64,61,2,11
60,64,64,61,2,11
61,64,64,61,3,11
62,63,63,61,3,11
63,63,63,61,3,11
64,61,61,60,4,11
65,59,59,60,6,11
66,57,57,60,8,11
67,54,54,59,10,11
68,50,50,58,14,11
69,45,45,57,18,11
70,38,38,56,24,11
71,32,32,54,32,11
72,25,25,52,39,11
73,19,19,50,47,11
74,14,14,48,55,11
75,10,10,45,63,11
76,8,8,42,69,11
77,6,6,40,75,11
78,5,5,37,80,11
79,3,3,34,85,11
80,2,2,31,89,11
81,1,1,28,92,11
82,0,0,25,95,12
83,0,0,22,97,12
84,0,0,19,98,12
85,2,2,16,99,12
86,5,5,13,98,12
87,10,10,11,96,12
88,15,15,9,94,12
89,21,21,7,90,12
90,26,26,5,86,12
91,31,31,3,82,12
92,36,36,2,78,12
93,40,40,1,74,12
94,44,44,0,71,12
95,48,48,0,68,12
96,52,52,0,67,12
97,55,55,0,67,12
98,57,57,0,69,12
99,58,58,0,72,12
100,59,59,1,75,12
101,60,60,3,79,12
102,60,60,4,83,12
103,61,61,6,86,12
104,61,61,9,89,12
105,62,62,11,91,12
106,62,62,13,92,12
107,63,63,16,92,12
108,64,64,19,92,12
109,64,64,22,92,12
110,64,64,24,90,12
111,66,66,27,88,12
112,67,67,31,84,13
113,68,68,34,80,13
114,68,68,37,75,13
115,69,69,40,69,13
116,70,70,43,62,13
117,70,70,46,56,13
118,71,71,48,50,13
119,72,72,51,44,13
120,72,72,53,39,13
121,73,73,55,35,12
122,74,74,57,31,12
123,75,75,58,28,12
124,76,76,60,25,12
125,77,77,61,24,12
126,78,78,62,23,12
127,80,80,64,23,12
128,81,81,65,24,12
129,82,82,66,25,11
130,83,83,67,25,11
