time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,45,45,34,0,1
1,45,45,34,0,1
2,45,45,34,0,1
3,44,44,33,3,1
4,46,46,34,3,1
5,48,48,34,5,1
6,47,47,35,5,1
7,48,48,35,5,1
8,49,49,35,6,1
9,48,48,36,6,1
10,48,48,36,6,1
11,49,49,36,6,1
12,49,49,36,6,1
13,48,48,37,6,1
14,49,49,37,6,1
15,52,52,37,8,1
16,55,55,38,10,1
17,57,57,39,13,1
18,59,59,39,15,1
19,60,60,40,18,1
20,59,59,41,19,1
21,61,61,42,21,1
22,62,62,43,23,1
23,64,64,43,25,1
24,66,66,44,27,1
25,69,69,45,29,1
26,69,69,46,31,1
27,68,68,47,33,1
28,73,73,48,35,1
29,77,77,49,38,1
30,81,81,51,42,1
31,84,84,53,46,1
32,87,87,55,50,1
33,90,90,58,53,1
34,91,91,60,56,1
35,93,93,62,59,1
36,94,94,65,62,1
37,93,93,67,64,1
38,92,92,69,65,1
39,92,92,72,65,1
40,95,95,74,66,1
41,96,96,76,66,1
42,99,99,79,66,1
43,97,97,82,65,1
44,98,98,84,63,1
45,95,95,86,62,1
46,94,94,88,59,1
47,92,92,90,57,1
48,91,91,92,55,1
49,88,88,93,52,1
50,84,84,95,49,1
51,80,80,96,45,1
52,76,76,96,43,1
53,79,79,97,40,1
54,81,81,98,37,1
55,77,77,98,35,1
56,74,74,98,34,1
57,69,69,99,34,1
58,66,66,98,35,1
59,63,63,97,39,1
60,61,61,96,43,1
61,60,60,95,47,2
62,59,59,94,51,2
63,58,58,92,54,2
64,58,58,90,57,2
65,59,59,89,59,2
66,58,58,87,60,2
67,57,57,85,61,2
68,57,57,83,62,2
69,56,56,81,63,2
70,55,55,79,63,2
71,54,54,77,63,2
72,54,54,75,61,2
73,54,54,72,59,2
74,54,54,70,56,2
75,52,52,68,54,2
76,50,50,66,52,2
77,52,52,63,49,3
78,54,54,61,45,3
79,52,52,60,41,3
80,52,52,58,38,3
81,53,53,57,36,3
82,52,52,55,34,3
83,52,52,54,31,3
