time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,14,14,9,0,27
1,17,17,11,8,27
2,17,17,11,6,27
3,16,16,11,6,27
4,15,15,11,5,27
5,15,15,11,5,27
6,16,16,11,5,27
7,16,16,11,4,27
8,15,15,11,4,27
9,17,17,11,5,27
10,17,17,11,5,27
11,20,20,11,7,27
12,21,21,12,9,27
13,21,21,12,11,27
14,20,20,12,11,27
15,22,22,12,13,27
16,22,22,13,14,27
17,23,23,13,15,27
18,24,24,13,17,27
19,24,24,14,18,27
20,21,21,14,18,27
21,19,19,14,17,27
22,16,16,14,17,27
23,15,15,14,17,27
24,16,16,13,17,27
25,14,14,13,17,27
26,16,16,13,17,27
27,19,19,13,17,27
28,17,17,13,17,27
29,16,16,13,17,27
30,14,14,13,17,27
31,11,11,13,18,27
32,8,8,13,21,27
33,8,8,12,23,27
34,9,9,12,25,27
35,10,10,12,26,27
36,9,9,12,27,27
37,11,11,11,28,27
38,11,11,11,28,27
39,9,9,11,29,27
40,10,10,11,30,27
41,7,7,10,31,27
42,8,8,10,32,27
43,11,11,9,31,27
44,10,10,9,31,27
45,9,9,9,30,27
46,8,8,8,30,27
47,9,9,7,28,27
48,11,11,7,25,27
49,10,10,6,22,27
50,11,11,6,20,27
51,12,12,6,19,27
52,9,9,6,18,27
53,9,9,5,18,27
54,7,7,5,18,27
55,5,5,5,18,27
56,5,5,4,18,27
57,5,5,4,16,27
58,6,6,3,14,27
59,5,5,3,13,27
60,3,3,2,13,27
61,2,2,2,14,26
62,0,0,2,16,24
63,1,1,2,18,24
64,2,2,1,19,23
65,1,1,1,20,22
66,1,1,1,21,21
67,0,0,0,22,20
68,1,1,0,22,20
69,3,3,0,22,19
70,5,5,0,22,18
71,10,10,0,22,17
72,12,12,0,23,16
73,14,14,0,24,15
74,16,16,0,26,13
75,18,18,0,29,13
76,23,23,1,33,12
77,23,23,2,37,11
78,23,23,2,40,10
79,27,27,3,45,9
80,29,29,3,50,8
81,34,34,4,56,6
82,37,37,5,63,6
83,38,38,6,69,6
84,41,41,7,75,5
85,42,42,9,81,4
86,43,43,10,85,3
87,44,44,12,89,2
88,42,42,13,92,1
89,41,41,14,94,0
90,44,44,16,96,0
91,44,44,17,97,0
92,47,47,19,98,0
93,50,50,21,98,0
94,50,50,23,99,0
95,53,53,25,98,0
96,56,56,27,98,0
97,61,61,29,97,0
98,61,61,31,95,0
99,60,60,33,92,0
100,60,60,35,89,0
101,64,64,37,87,0
102,65,65,39,85,0
103,68,68,41,84,0
104,71,71,43,84,0
105,75,75,45,84,0
106,76,76,47,86,0
107,76,76,49,85,0
108,76,76,51,84,0
109,76,76,53,83,0
110,78,78,55,82,0
111,80,80,57,82,0
112,81,81,58,83,0
113,84,84,60,84,0
114,86,86,62,85,0
115,86,86,63,86,0
116,85,85,65,86,0
117,89,89,67,87,0
118,92,92,68,87,0
119,94,94,70,86,0
120,92,92,72,84,0
121,91,91,74,81,0
122,89,89,75,78,0
123,88,88,77,74,0
124,89,89,78,70,1
125,89,89,80,67,1
126,88,88,81,63,1
127,86,86,82,60,1
128,85,85,83,57,1
129,87,87,84,52,1
130,88,88,85,47,1
131,85,85,85,42,1
132,84,84,86,37,1
133,86,86,87,33,1
134,89,89,87,30,1
135,87,87,88,28,1
136,88,88,88,26,2
137,91,91,89,25,2
