time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,52,52,27,0,23
1,52,52,27,0,23
2,51,51,27,0,23
3,52,52,27,0,23
4,52,52,27,0,23
5,52,52,27,1,23
6,53,53,28,2,23
7,52,52,28,2,23
8,53,53,28,2,23
9,53,53,29,2,23
10,53,53,29,2,23
11,54,54,29,3,23
12,54,54,30,3,23
13,54,54,30,3,23
14,53,53,30,3,23
15,54,54,31,3,23
16,54,54,31,4,23
17,55,55,31,4,23
18,56,56,32,5,23
19,56,56,32,5,23
20,58,58,33,7,23
21,59,59,34,8,23
22,60,60,35,9,23
23,61,61,36,11,23
24,62,62,37,12,23
25,63,63,38,14,23
26,63,63,39,15,23
27,63,63,40,16,23
28,63,63,41,17,23
29,62,62,41,17,23
30,61,61,42,17,23
31,58,58,43,17,23
32,56,56,44,17,23
33,55,55,44,16,23
34,54,54,44,16,23
35,53,53,44,16,23
36,51,51,44,16,23
37,51,51,44,16,23
38,51,51,44,17,23
39,51,51,43,17,23
40,51,51,43,17,23
41,50,50,43,18,23
42,50,50,42,18,23
43,50,50,42,19,23
44,51,51,42,19,23
45,51,51,41,20,23
46,51,51,41,20,23
47,51,51,41,20,23
48,51,51,40,20,23
49,51,51,40,21,23
50,51,51,39,21,23
51,51,51,38,21,23
52,51,51,37,21,23
53,51,51,36,21,23
54,51,51,35,20,23
55,51,51,33,19,23
56,51,51,32,17,23
57,51,51,31,15,23
58,50,50,29,13,23
59,50,50,28,10,23
60,50,50,27,8,23
61,51,51,26,6,23
62,50,50,25,4,23
63,50,50,25,3,23
64,50,50,24,2,23
65,50,50,24,1,23
66,50,50,24,1,23
67,50,50,24,2,24
68,50,50,24,2,24
69,50,50,24,2,24
70,50,50,23,2,24
71,49,49,23,2,24
72,49,49,23,2,24
73,49,49,23,2,24
74,50,50,23,2,24
75,50,50,23,2,24
76,50,50,23,2,24
77,50,50,23,2,24
78,49,49,22,2,24
79,49,49,22,3,24
80,49,49,22,2,24
81,50,50,22,2,24
82,51,51,22,2,24
83,51,51,22,2,24
84,52,52,22,3,24
85,52,52,22,3,24
86,53,53,22,4,24
87,52,52,22,4,24
88,51,51,22,4,24
89,50,50,22,4,24
90,50,50,22,4,27
91,51,51,22,4,30
92,50,50,22,4,32
93,50,50,22,4,35
94,50,50,22,4,37
95,50,50,22,4,40
96,51,51,22,4,42
97,50,50,22,4,45
98,49,49,22,4,47
99,56,56,23,6,49
100,78,78,26,22,52
101,99,99,32,42,54
102,93,93,36,52,57
103,68,68,38,53,59
104,47,47,38,53,61
105,48,48,38,54,64
106,48,48,38,54,67
107,48,48,38,54,69
108,47,47,37,54,72
109,47,47,37,54,74
110,47,47,37,54,77
111,47,47,37,54,79
112,48,48,36,54,82
113,48,48,36,55,84
114,48,48,36,55,87
115,49,49,35,55,89
116,49,49,35,55,92
117,49,49,34,55,94
118,49,49,34,55,97
119,49,49,34,55,99
120,50,50,34,55,98
121,50,50,34,55,96
122,50,50,34,55,95
123,51,51,34,55,94
124,51,51,34,55,92
125,52,52,34,55,91
126,53,53,35,55,90
127,52,52,35,55,88
128,52,52,35,55,87
129,53,53,35,55,86
130,55,55,32,52,84
131,56,56,28,37,83
132,57,57,24,18,82
133,59,59,23,13,80
134,60,60,24,14,79
135,60,60,25,16,78
136,62,62,27,18,76
137,62,62,28,19,75
138,63,63,30,21,74
139,63,63,32,22,72
140,62,62,34,22,71
141,60,60,35,22,70
142,59,59,36,22,68
143,57,57,37,21,67
144,55,55,38,21,66
145,54,54,39,20,64
146,53,53,39,20,63
147,53,53,39,19,61
148,52,52,40,18,60
149,52,52,40,18,59
150,52,52,40,18,58
151,52,52,41,17,57
152,52,52,41,17,55
153,51,51,41,17,54
154,51,51,41,17,53
155,51,51,41,17,52
156,52,52,41,17,51
157,51,51,40,17,49
158,52,52,40,17,49
159,51,51,40,18,48
160,52,52,40,18,47
161,52,52,39,18,46
162,52,52,39,18,44
163,52,52,38,18,43
164,52,52,37,18,42
165,52,52,36,18,41
166,52,52,35,17,40
167,52,52,34,15,39
168,51,51,33,14,38
169,51,51,32,12,37
170,52,52,30,9,36
171,51,51,29,7,34
172,51,51,28,5,33
173,51,51,28,3,32
174,51,51,27,2,30
175,51,51,27,1,30
176,51,51,27,1,29
177,51,51,27,1,27
178,52,52,27,1,27
179,52,52,27,1,24
180,52,52,27,1,24
181,52,52,27,1,24
182,53,53,27,1,24
183,53,53,27,1,24
184,52,52,27,1,24
185,52,52,27,1,24
186,53,53,28,2,24
187,52,52,28,2,24
188,53,53,28,2,24
189,52,52,28,2,24
190,52,52,28,2,23
191,51,51,28,2,23
192,51,51,28,2,23
193,53,53,28,2,23
194,54,54,28,3,23
195,56,56,29,4,22
196,56,56,29,5,22
197,55,55,29,5,22
198,57,57,30,6,22
199,61,61,31,9,22
200,69,69,33,15,21
201,72,72,35,20,21
202,56,56,36,20,21
203,26,26,33,30,21
204,7,7,28,47,21
205,0,0,22,62,20
206,0,0,17,73,20
207,6,6,12,80,20
208,16,16,8,84,20
209,23,23,4,86,20
210,30,30,2,86,20
211,37,37,0,86,21
212,46,46,0,86,22
213,51,51,0,86,23
214,55,55,0,86,23
215,58,58,0,86,24
216,59,59,1,87,24
217,59,59,2,87,26
218,58,58,2,88,26
219,60,60,3,88,27
220,59,59,4,89,27
221,60,60,5,90,29
222,61,61,6,90,29
223,62,62,7,91,30
224,62,62,8,92,30
225,62,62,9,92,32
226,63,63,9,93,33
227,65,65,10,94,33
228,67,67,12,95,34
229,67,67,12,96,35
230,69,69,12,96,36
231,71,71,12,96,36
232,74,74,14,98,37
233,77,77,20,99,38
234,81,81,28,95,39
235,85,85,37,89,39
236,88,88,47,81,40
237,91,91,57,73,41
238,94,94,65,68,42
239,95,95,73,65,42
240,94,94,80,62,41
241,91,91,86,59,41
242,87,87,91,58,40
243,82,82,94,56,39
244,76,76,96,55,38
245,71,71,98,53,37
246,65,65,98,52,37
247,60,60,99,52,36
248,56,56,98,53,35
249,53,53,98,54,34
250,51,51,97,55,33
251,50,50,96,57,32
252,49,49,94,59,32
253,47,47,93,62,30
254,47,47,91,65,30
255,47,47,89,67,29
256,46,46,87,69,27
257,46,46,85,72,27
258,46,46,83,74,27
259,46,46,81,76,26
260,45,45,78,78,24
261,44,44,75,80,24
