time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,37,37,29,0,30
1,37,37,29,0,30
2,36,36,29,0,30
3,36,36,28,0,30
4,37,37,29,1,30
5,38,38,30,3,30
6,38,38,30,3,30
7,39,39,31,4,30
8,37,37,31,3,30
9,38,38,31,3,30
10,38,38,31,3,30
11,38,38,32,3,30
12,38,38,32,3,30
13,39,39,32,3,30
14,38,38,32,3,30
15,37,37,32,3,30
16,37,37,32,3,30
17,38,38,32,3,30
18,38,38,32,3,30
19,38,38,32,3,30
20,36,36,32,3,30
21,36,36,32,3,30
22,38,38,32,3,30
23,37,37,32,3,30
24,37,37,32,3,30
25,37,37,32,3,30
26,37,37,32,3,30
27,38,38,32,3,30
28,37,37,32,3,30
29,37,37,32,3,30
30,36,36,32,3,30
31,36,36,32,3,30
32,36,36,32,3,30
33,37,37,32,3,30
34,37,37,32,3,30
35,35,35,31,3,30
36,36,36,31,3,30
37,38,38,31,3,30
38,39,39,31,4,30
39,39,39,31,4,30
40,42,42,32,5,30
41,43,43,32,7,30
42,43,43,33,9,30
43,46,46,34,11,30
44,48,48,35,14,30
45,49,49,36,17,30
46,48,48,38,18,30
47,49,49,39,20,30
48,47,47,40,21,30
49,41,41,40,21,30
50,39,39,41,21,30
51,37,37,41,21,30
52,35,35,40,21,30
53,36,36,40,21,30
54,34,34,40,21,30
55,33,33,40,22,30
56,33,33,39,23,30
57,36,36,39,23,30
58,38,38,39,23,30
59,39,39,39,23,30
60,45,45,40,23,32
61,58,58,43,28,35
62,65,65,46,35,37
63,59,59,49,38,39
64,29,29,48,40,41
65,9,9,45,49,44
66,0,0,40,61,46
67,15,15,38,65,48
68,29,29,37,65,51
69,34,34,36,65,53
70,36,36,35,65,55
71,39,39,35,65,58
72,39,39,34,65,60
73,38,38,34,65,61
74,40,40,33,64,64
75,39,39,31,63,67
76,40,40,31,63,69
77,41,41,30,62,71
78,42,42,29,61,74
79,42,42,29,61,76
80,41,41,29,62,78
81,42,42,30,62,81
82,43,43,31,62,83
83,43,43,32,62,85
84,45,45,33,62,87
85,46,46,34,63,90
86,47,47,36,63,92
87,47,47,37,63,94
88,47,47,38,64,97
89,51,51,40,65,99
90,53,53,41,65,96
91,55,55,40,65,93
92,61,61,40,64,90
93,63,63,40,65,87
94,67,67,45,68,83
95,72,72,52,67,80
96,73,73,61,59,77
97,76,76,68,58,74
98,77,77,73,61,71
99,78,78,78,64,68
100,78,78,83,67,65
101,75,75,87,69,61
102,70,70,91,69,59
103,64,64,94,68,55
104,57,57,96,66,52
105,51,51,97,65,49
106,48,48,98,63,46
107,44,44,99,63,43
108,40,40,98,63,40
109,39,39,98,64,37
110,37,37,97,65,34
111,36,36,97,66,30
112,36,36,96,67,27
113,35,35,95,69,24
114,35,35,94,70,21
115,36,36,93,72,18
116,37,37,92,73,15
117,37,37,91,75,12
118,35,35,89,76,9
119,37,37,88,78,6
120,38,38,86,79,6
121,38,38,84,80,5
122,37,37,81,80,5
123,37,37,78,81,5
124,36,36,75,80,5
125,37,37,71,78,5
126,36,36,66,76,4
127,36,36,62,72,4
128,37,37,57,67,4
129,35,35,52,60,4
130,36,36,47,51,4
131,36,36,43,42,3
132,37,37,39,32,3
133,35,35,36,24,3
134,36,36,33,17,3
135,36,36,31,12,3
136,36,36,30,8,3
137,37,37,29,5,2
138,35,35,29,4,2
139,36,36,28,4,2
140,37,37,28,4,2
141,36,36,28,4,2
142,36,36,28,4,1
143,37,37,28,4,1
144,36,36,28,4,1
145,37,37,28,4,1
146,35,35,28,4,1
147,36,36,28,4,0
148,35,35,28,4,0
149,37,37,28,4,0
150,37,37,28,3,3
151,38,38,28,3,5
152,40,40,28,4,8
153,41,41,29,6,10
154,42,42,29,8,13
155,45,45,30,10,15
156,45,45,31,12,18
157,46,46,32,14,20
158,45,45,33,16,23
159,45,45,34,17,24
160,42,42,35,17,27
161,45,45,36,18,30
162,69,69,40,32,33
163,99,99,47,60,36
164,94,94,54,75,38
165,54,54,56,75,41
166,24,24,55,77,43
167,18,18,53,80,46
168,18,18,51,83,48
169,20,20,49,85,51
170,24,24,47,86,53
171,26,26,46,87,55
172,20,20,44,89,59
173,19,19,42,91,61
174,16,16,40,94,64
175,20,20,38,95,66
176,24,24,37,96,69
177,28,28,36,96,71
178,27,27,35,97,74
179,27,27,34,98,76
180,29,29,33,98,75
181,29,29,32,98,73
182,30,30,31,98,72
183,29,29,29,98,70
184,29,29,28,99,69
185,31,31,26,98,67
186,31,31,25,98,66
187,30,30,23,98,64
188,31,31,21,97,63
189,34,34,20,97,61
190,35,35,19,96,60
191,36,36,18,96,58
192,36,36,14,90,57
193,38,38,7,68,55
194,41,41,1,38,54
195,42,42,0,33,52
196,45,45,2,36,51
197,49,49,5,39,49
198,53,53,10,42,48
199,55,55,14,46,46
200,58,58,18,50,45
201,59,59,21,55,43
202,60,60,26,58,42
203,58,58,31,59,40
204,57,57,35,58,39
205,55,55,39,57,37
206,53,53,43,57,36
207,50,50,45,56,34
208,47,47,48,55,33
209,46,46,50,53,30
210,43,43,51,52,30
211,41,41,53,50,30
212,40,40,54,49,29
213,38,38,55,48,27
214,38,38,56,46,27
215,35,35,56,45,26
216,35,35,57,44,26
217,35,35,58,43,24
218,35,35,58,42,24
219,37,37,58,42,23
220,37,37,59,41,22
221,35,35,59,41,21
222,35,35,58,42,21
223,35,35,58,42,20
224,36,36,57,43,19
225,36,36,57,43,18
226,36,36,56,44,17
227,35,35,54,44,16
228,34,34,52,44,16
229,34,34,50,44,15
230,32,32,47,42,13
231,32,32,43,40,13
232,33,33,40,37,12
233,33,33,37,33,11
234,33,33,35,29,11
235,33,33,32,26,10
236,33,33,30,22,9
237,32,32,28,18,8
238,32,32,26,16,6
239,33,33,24,13,6
240,33,33,23,11,6
241,33,33,22,9,6
242,33,33,21,8,6
243,32,32,21,8,6
244,31,31,20,7,6
245,33,33,20,7,5
