time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,87,87,91,0,0
1,86,86,91,0,0
2,85,85,90,3,0
3,83,83,89,6,0
4,80,80,88,9,0
5,77,77,86,14,0
6,74,74,85,19,0
7,70,70,83,24,0
8,66,66,81,29,0
9,62,62,79,35,0
10,59,59,77,40,0
11,55,55,74,45,0
12,51,51,72,50,0
13,48,48,70,55,0
14,46,46,68,59,0
15,45,45,66,62,0
16,45,45,64,64,0
17,45,45,63,66,0
18,45,45,61,67,0
19,44,44,60,67,0
20,44,44,59,68,0
21,44,44,58,68,0
22,44,44,57,68,0
23,43,43,56,68,0
24,43,43,55,68,0
25,44,44,55,68,0
26,44,44,54,67,0
27,42,42,53,67,0
28,42,42,52,67,0
29,41,41,52,67,0
30,41,41,50,64,0
31,41,41,48,59,0
32,40,40,46,54,0
33,40,40,44,49,0
34,41,41,42,44,0
35,40,40,41,38,0
36,39,39,39,33,0
37,39,39,38,27,0
38,39,39,37,23,0
39,39,39,36,18,0
40,39,39,35,15,0
41,39,39,34,12,0
42,39,39,34,10,0
43,38,38,33,10,0
44,39,39,33,10,0
45,39,39,33,9,0
46,40,40,33,9,0
47,40,40,32,9,0
48,41,41,32,8,0
49,41,41,32,8,0
50,40,40,32,7,0
51,41,41,32,7,0
52,41,41,32,6,0
53,42,42,32,6,0
54,42,42,32,6,0
55,42,42,31,5,0
56,43,43,31,5,0
57,42,42,31,5,0
58,43,43,31,5,0
59,43,43,32,5,0
60,42,42,32,6,1
61,43,43,32,6,2
62,43,43,32,6,2
63,43,43,32,6,3
64,44,44,32,7,4
65,45,45,32,7,5
66,45,45,32,8,5
67,45,45,33,8,6
68,45,45,33,8,6
69,46,46,33,9,8
70,48,48,34,9,8
71,48,48,34,10,9
72,49,49,34,11,10
73,49,49,35,11,11
74,50,50,35,12,11
75,50,50,36,13,12
76,50,50,36,13,13
77,51,51,37,13,13
78,52,52,37,14,15
79,52,52,38,15,15
80,53,53,38,15,16
81,54,54,39,16,17
82,54,54,40,17,18
83,55,55,40,18,18
84,55,55,41,18,19
85,56,56,41,19,20
86,57,57,42,19,21
87,57,57,43,20,21
88,57,57,43,20,22
89,57,57,44,20,23
90,56,56,44,20,23
91,56,56,45,20,22
92,56,56,45,19,22
93,57,57,46,18,22
94,57,57,47,18,22
95,57,57,47,17,22
96,56,56,48,16,21
97,55,55,48,15,21
98,54,54,48,14,21
99,54,54,49,12,21
100,55,55,49,11,21
101,54,54,49,10,20
102,54,54,50,9,20
103,54,54,50,9,20
104,54,54,50,8,20
105,53,53,50,7,20
106,53,53,50,7,19
107,53,53,50,6,19
108,53,53,50,6,19
109,53,53,50,5,19
110,53,53,50,6,18
111,53,53,50,6,18
112,53,53,50,6,18
113,53,53,50,6,18
114,52,52,50,6,18
115,51,51,50,7,17
116,51,51,50,7,17
117,50,50,49,7,17
118,49,49,49,8,17
119,47,47,49,9,17
120,44,44,48,12,17
121,41,41,47,15,17
122,38,38,47,18,18
