time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,68,68,88,0,2
1,66,66,86,3,2
2,63,63,84,6,2
3,60,60,82,8,2
4,58,58,81,10,2
5,55,55,79,12,2
6,53,53,77,14,2
7,51,51,75,15,2
8,49,49,74,17,2
9,47,47,72,18,2
10,47,47,71,19,2
11,46,46,70,20,2
12,44,44,68,21,2
13,43,43,67,21,2
14,41,41,66,22,2
15,40,40,65,23,2
16,41,41,64,23,2
17,40,40,63,24,2
18,39,39,62,24,2
19,40,40,62,24,2
20,40,40,61,24,2
21,39,39,60,24,2
22,38,38,60,24,2
23,38,38,59,25,2
24,36,36,59,25,2
25,37,37,58,25,2
26,37,37,57,25,2
27,37,37,57,25,2
28,36,36,56,25,2
29,36,36,56,25,2
30,36,36,55,23,2
31,35,35,53,20,2
32,33,33,52,19,2
33,33,33,50,17,2
34,32,32,49,15,2
35,33,33,48,14,2
36,32,32,47,13,2
37,32,32,46,12,2
38,31,31,46,11,2
39,30,30,45,11,2
40,30,30,44,11,2
41,29,29,43,10,2
42,29,29,43,10,2
43,27,27,42,10,2
44,27,27,41,10,2
45,27,27,41,11,2
46,28,28,40,11,2
47,28,28,39,11,2
48,28,28,39,10,2
49,29,29,38,10,2
50,28,28,38,10,2
51,28,28,37,9,2
52,28,28,37,9,2
53,28,28,36,9,2
54,28,28,36,8,2
55,29,29,36,8,2
56,30,30,35,8,2
57,31,31,35,7,2
58,32,32,35,6,2
59,33,33,35,6,2
60,33,33,35,5,2
61,34,34,35,5,3
62,35,35,35,6,3
63,35,35,35,6,3
64,36,36,35,7,4
65,37,37,35,7,4
66,38,38,35,8,4
67,38,38,36,9,4
68,39,39,36,10,5
69,39,39,36,10,5
70,39,39,37,11,5
71,38,38,37,11,5
72,39,39,38,12,6
73,40,40,38,12,6
74,40,40,39,12,6
75,40,40,40,12,6
76,40,40,40,12,6
77,39,39,41,12,6
78,38,38,41,12,6
79,37,37,42,11,6
80,36,36,42,11,8
81,34,34,42,10,8
82,33,33,42,10,8
83,33,33,43,9,9
84,31,31,43,9,9
85,30,30,43,8,9
86,29,29,43,9,9
87,28,28,43,9,10
88,27,27,42,10,10
89,27,27,42,10,10
90,26,26,42,11,10
91,26,26,41,12,10
92,26,26,41,13,10
93,25,25,41,14,10
94,25,25,40,14,10
95,25,25,39,15,10
96,24,24,39,15,10
97,23,23,38,16,10
98,22,22,37,16,9
99,23,23,37,17,9
100,22,22,36,17,9
101,22,22,35,17,9
102,23,23,34,17,9
103,22,22,33,16,9
104,22,22,33,16,9
105,22,22,32,15,9
106,22,22,31,14,9
107,21,21,30,13,9
108,21,21,29,12,9
109,21,21,29,11,9
110,21,21,28,10,9
111,20,20,27,9,9
112,19,19,27,9,8
113,19,19,26,8,8
114,19,19,25,8,8
