time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,71,71,90,0,5
1,73,73,91,3,5
2,71,71,91,3,5
3,66,66,88,7,5
4,70,70,88,6,5
5,68,68,88,6,5
6,65,65,87,7,5
7,60,60,86,10,5
8,60,60,84,12,5
9,51,51,82,17,5
10,52,52,80,19,5
11,44,44,78,24,5
12,49,49,77,25,5
13,38,38,75,29,5
14,39,39,73,31,5
15,36,36,71,33,5
16,37,37,69,35,5
17,33,33,68,36,5
18,39,39,66,37,5
19,36,36,65,37,5
20,37,37,64,37,5
21,38,38,63,37,5
22,34,34,62,38,5
23,35,35,61,38,5
24,33,33,60,38,5
25,32,32,60,38,5
26,32,32,59,39,5
27,29,29,58,39,5
28,27,27,57,40,5
29,29,29,56,40,5
30,24,24,54,39,5
31,27,27,52,37,5
32,21,21,50,36,5
33,19,19,48,36,5
34,19,19,45,34,5
35,21,21,43,31,5
36,18,18,41,29,5
37,18,18,39,27,5
38,12,12,37,26,5
39,10,10,35,26,5
40,16,16,34,25,5
41,13,13,32,25,5
42,11,11,31,24,5
43,5,5,29,26,5
44,12,12,28,26,5
45,14,14,27,26,5
46,9,9,26,26,5
47,9,9,25,26,5
48,8,8,23,26,5
49,9,9,22,26,5
50,10,10,21,25,5
51,13,13,20,24,5
52,9,9,19,23,5
53,12,12,18,22,5
54,7,7,17,21,5
55,8,8,15,20,5
56,8,8,14,18,5
57,10,10,14,17,5
58,10,10,13,16,5
59,11,11,12,14,5
60,8,8,11,13,4
61,9,9,10,11,4
62,12,12,10,10,4
63,7,7,9,10,4
64,7,7,9,9,4
65,13,13,9,8,4
66,13,13,8,7,4
67,23,23,9,9,4
68,22,22,9,10,4
69,28,28,10,13,4
70,37,37,11,18,4
71,47,47,12,24,4
72,52,52,14,30,3
73,58,58,16,36,3
74,64,64,19,43,3
75,69,69,21,49,3
76,68,68,24,54,3
77,70,70,27,58,3
78,65,65,29,61,3
79,69,69,32,63,3
80,71,71,35,66,3
81,65,65,37,68,3
82,69,69,40,69,3
83,66,66,42,70,2
84,67,67,45,70,2
85,65,65,47,69,2
86,62,62,50,68,2
87,61,61,52,67,2
88,58,58,54,66,2
89,55,55,56,64,2
90,49,49,58,61,2
91,50,50,60,58,2
92,44,44,61,55,2
93,39,39,63,51,2
94,40,40,64,46,2
95,34,34,65,43,2
96,38,38,66,39,2
97,33,33,66,38,2
98,37,37,67,35,2
99,38,38,68,34,2
100,34,34,67,34,2
101,36,36,67,35,1
102,33,33,66,37,1
103,38,38,65,37,1
104,30,30,64,39,1
105,26,26,62,39,1
106,26,26,60,40,1
107,26,26,58,40,1
108,30,30,56,40,1
109,30,30,55,39,1
110,22,22,52,38,1
111,27,27,51,38,1
112,27,27,49,36,1
113,23,23,47,34,1
114,24,24,45,32,1
115,22,22,43,30,1
116,21,21,41,28,1
117,17,17,39,26,1
118,16,16,37,25,1
119,17,17,36,23,1
120,15,15,34,23,1
121,14,14,32,22,2
122,13,13,31,21,2
123,15,15,30,21,2
124,9,9,29,22,3
125,14,14,28,22,3
126,14,14,27,22,4
127,12,12,26,22,4
128,8,8,24,22,4
129,13,13,23,21,5
