time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,2,2,0,0,13
1,13,13,9,21,13
2,19,19,16,27,13
3,24,24,22,31,13
4,25,25,25,32,13
5,28,28,29,33,13
6,31,31,32,34,13
7,33,33,35,36,13
8,36,36,37,38,13
9,34,34,39,38,13
10,28,28,40,36,13
11,14,14,38,36,13
12,14,14,37,37,13
13,13,13,36,37,13
14,10,10,34,37,13
15,9,9,33,38,13
16,10,10,32,38,13
17,11,11,31,38,13
18,13,13,30,37,13
19,12,12,30,37,13
20,8,8,29,37,13
21,4,4,28,38,13
22,0,0,26,39,13
23,0,0,25,40,13
24,4,4,24,40,13
25,13,13,24,40,13
26,18,18,24,39,13
27,25,25,25,39,13
28,27,27,25,39,13
29,35,35,26,40,13
30,35,35,28,41,13
31,34,34,30,42,13
32,35,35,31,43,13
33,29,29,31,44,13
34,28,28,31,44,13
35,23,23,31,43,13
36,20,20,30,43,13
37,22,22,29,42,13
38,15,15,28,40,13
39,17,17,27,38,13
40,15,15,26,38,13
41,18,18,27,38,13
42,18,18,27,37,13
43,14,14,27,37,13
44,18,18,28,37,13
45,19,19,28,36,13
46,16,16,29,36,13
47,19,19,29,36,13
48,17,17,29,36,13
49,22,22,30,35,13
50,24,24,31,35,13
51,25,25,32,33,13
52,31,31,34,31,13
53,40,40,36,29,13
54,41,41,38,29,13
55,39,39,40,30,13
56,44,44,41,32,13
57,44,44,42,35,13
58,40,40,43,36,13
59,31,31,43,35,13
60,31,31,43,35,15
61,27,27,42,35,16
62,18,18,41,35,17
63,16,16,41,35,18
64,15,15,40,36,19
65,11,11,39,37,21
66,12,12,39,37,22
67,9,9,38,39,23
68,10,10,38,40,24
69,34,34,39,40,24
70,2,2,38,42,26
71,7,7,37,43,27
72,23,23,37,43,27
73,48,48,39,46,29
74,53,53,41,49,30
75,58,58,44,54,30
76,44,44,45,54,32
77,49,49,47,56,33
78,75,75,50,63,34
79,85,85,54,73,35
80,75,75,57,78,37
81,54,54,59,79,38
82,93,93,62,87,39
83,66,66,64,89,40
84,53,53,64,90,41
85,25,25,64,90,42
86,43,43,64,90,43
87,52,52,64,91,44
88,33,33,64,91,45
89,18,18,63,92,46
90,15,15,62,93,48
91,40,40,63,93,49
92,16,16,63,93,51
93,13,13,62,93,53
94,48,48,64,92,55
95,16,16,64,91,57
96,53,53,67,90,58
97,71,71,70,89,60
98,52,52,73,87,61
99,88,88,76,91,64
100,77,77,80,89,65
101,68,68,84,85,67
102,99,99,88,89,69
103,87,87,91,92,71
104,86,86,93,94,73
105,89,89,94,97,74
106,80,80,97,98,76
107,72,72,98,98,78
108,61,61,97,98,80
109,42,42,95,96,81
110,45,45,93,96,83
111,36,36,92,96,85
112,43,43,89,93,87
113,33,33,87,93,88
114,41,41,86,94,90
115,26,26,86,94,92
116,19,19,85,96,94
117,29,29,84,97,95
118,19,19,83,99,97
119,20,20,83,98,99
120,33,33,84,96,96
121,50,50,85,96,94
122,59,59,87,93,91
123,70,70,90,90,89
124,67,67,92,90,86
125,76,76,95,87,83
126,80,80,97,88,81
127,81,81,97,89,78
128,73,73,99,90,75
129,71,71,98,88,73
130,61,61,97,87,70
131,50,50,96,87,68
132,45,45,92,82,65
133,42,42,90,79,61
134,28,28,86,77,60
135,24,24,83,75,57
136,29,29,80,73,54
137,14,14,76,74,52
138,15,15,74,76,49
139,15,15,72,79,47
140,10,10,70,82,44
141,11,11,68,84,41
142,7,7,66,87,39
143,10,10,65,90,36
144,17,17,64,91,33
145,30,30,64,90,30
146,40,40,65,89,27
147,47,47,66,89,26
148,57,57,68,89,23
149,62,62,71,89,20
150,68,68,73,90,20
151,66,66,74,91,19
152,66,66,74,92,18
153,63,63,74,91,18
154,56,56,73,90,17
155,48,48,72,87,16
156,40,40,69,83,16
157,37,37,67,79,15
158,33,33,64,76,13
159,29,29,62,72,13
160,27,27,60,71,13
161,20,20,58,71,12
162,12,12,56,72,11
163,11,11,54,74,11
164,7,7,53,76,10
165,13,13,53,77,9
166,14,14,52,77,9
167,11,11,52,78,8
168,12,12,51,78,6
169,20,20,52,78,6
170,24,24,52,76,6
171,41,41,54,75,5
172,56,56,57,75,5
173,58,58,60,74,4
174,61,61,62,75,3
175,67,67,64,77,3
176,67,67,66,79,2
177,59,59,67,80,1
178,57,57,67,80,1
179,45,45,66,79,0
180,39,39,64,76,0
181,28,28,62,74,0
182,23,23,59,72,1
183,17,17,57,71,1
184,17,17,54,70,1
185,18,18,53,70,1
186,17,17,51,70,2
187,13,13,50,71,2
188,16,16,49,72,2
189,11,11,48,73,2
190,11,11,47,74,3
191,12,12,47,75,3
192,18,18,47,74,3
193,26,26,48,73,3
194,35,35,49,71,3
195,42,42,51,71,4
196,55,55,54,72,4
197,61,61,56,72,4
198,66,66,60,74,4
199,66,66,62,76,5
200,67,67,65,77,5
201,65,65,66,79,5
202,55,55,66,79,5
203,44,44,65,78,6
204,37,37,64,77,6
205,35,35,62,74,6
206,28,28,60,72,6
207,20,20,58,71,6
208,18,18,55,70,6
209,14,14,54,70,6
210,16,16,52,71,6
211,14,14,51,72,6
212,10,10,51,73,6
213,9,9,50,74,6
214,13,13,50,75,6
215,11,11,49,75,6
216,17,17,49,75,6
217,17,17,50,75,5
218,16,16,50,75,5
219,28,28,51,74,5
220,42,42,52,73,5
221,50,50,55,72,5
222,51,51,57,73,4
223,57,57,58,74,4
224,53,53,59,75,4
225,50,50,60,75,4
226,39,39,59,74,4
227,35,35,57,72,4
228,25,25,55,69,3
