time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,49,49,44,0,18
1,48,48,41,3,18
2,49,49,42,2,18
3,50,50,43,3,18
4,50,50,44,4,18
5,48,48,43,4,18
6,50,50,44,4,18
7,52,52,45,7,18
8,56,56,47,11,18
9,55,55,49,14,18
10,61,61,53,20,18
11,62,62,56,24,18
12,60,60,58,25,18
13,57,57,59,25,18
14,66,66,63,30,18
15,75,75,67,39,18
16,81,81,73,49,18
17,91,91,80,63,18
18,94,94,87,74,18
19,99,99,94,84,18
20,87,87,98,87,18
21,65,65,99,85,18
22,51,51,96,84,18
23,46,46,94,84,18
24,46,46,91,84,18
25,42,42,88,85,18
26,43,43,86,85,18
27,45,45,84,85,18
28,42,42,81,86,18
29,43,43,79,86,18
30,43,43,79,86,18
31,41,41,78,87,18
32,42,42,77,88,18
33,42,42,76,89,18
34,42,42,75,90,18
35,41,41,74,91,18
36,41,41,73,92,18
37,41,41,71,94,18
38,42,42,70,95,18
39,43,43,68,95,18
40,42,42,66,96,18
41,41,41,63,97,18
42,43,43,61,97,18
43,41,41,59,98,18
44,41,41,56,98,18
45,44,44,52,96,18
46,43,43,48,91,18
47,42,42,41,82,18
48,45,45,35,69,18
49,43,43,28,47,18
50,42,42,23,23,18
51,40,40,20,11,18
52,43,43,19,7,18
53,41,41,18,6,18
54,41,41,17,5,18
55,38,38,17,6,18
56,57,57,19,16,18
57,56,56,20,20,18
58,57,57,22,24,18
59,57,57,24,27,18
60,57,57,26,30,18
61,59,59,28,32,18
62,58,58,30,35,18
63,59,59,32,37,18
64,61,61,34,39,18
65,61,61,37,41,18
66,59,59,39,42,18
67,59,59,41,42,18
68,58,58,43,43,18
69,55,55,45,43,18
70,55,55,46,43,19
71,55,55,48,42,19
72,55,55,50,42,19
73,53,53,51,40,19
74,52,52,52,39,19
75,50,50,53,39,19
76,49,49,54,38,19
77,49,49,55,37,19
78,49,49,55,36,19
79,47,47,56,36,19
80,48,48,56,34,19
81,46,46,57,33,19
82,46,46,58,32,19
83,43,43,58,31,19
84,45,45,58,30,19
85,44,44,59,28,19
86,44,44,57,29,19
87,42,42,56,31,20
88,44,44,54,31,20
89,45,45,53,32,20
90,46,46,51,31,19
91,48,48,50,31,19
92,46,46,48,30,19
