time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,55,55,62,0,6
1,54,54,61,1,6
2,55,55,61,1,6
3,46,46,58,11,6
4,45,45,56,14,6
5,44,44,55,15,6
6,39,39,53,18,6
7,32,32,51,24,6
8,32,32,49,26,6
9,35,35,47,27,6
10,36,36,47,26,6
11,25,25,45,30,6
12,29,29,44,30,6
13,23,23,42,32,6
14,15,15,40,37,6
15,21,21,39,38,6
16,20,20,37,39,6
17,10,10,36,42,6
18,14,14,34,43,6
19,11,11,33,45,6
20,10,10,32,46,6
21,8,8,30,48,6
22,7,7,29,49,6
23,12,12,28,49,6
24,7,7,27,50,6
25,7,7,26,50,6
26,7,7,25,51,6
27,9,9,24,51,6
28,9,9,24,51,6
29,3,3,23,51,6
30,1,1,21,50,6
31,9,9,19,47,6
32,8,8,17,43,6
33,7,7,15,40,6
34,9,9,14,37,6
35,9,9,12,34,6
36,9,9,11,31,6
37,15,15,10,29,6
38,11,11,9,27,6
39,11,11,8,24,6
40,11,11,7,19,6
41,6,6,7,18,6
42,8,8,6,14,6
43,4,4,5,13,6
44,9,9,5,12,6
45,7,7,4,11,6
46,7,7,3,9,6
47,6,6,3,9,6
48,9,9,3,8,6
49,7,7,3,8,6
50,5,5,3,8,6
51,8,8,3,8,6
52,8,8,3,8,6
53,6,6,3,8,6
54,5,5,2,8,6
55,5,5,2,8,6
56,5,5,2,8,6
57,4,4,2,8,6
58,8,8,2,8,6
59,2,2,2,8,6
60,8,8,2,8,10
61,2,2,2,8,13
62,5,5,2,8,16
63,4,4,2,9,19
64,4,4,2,9,22
65,1,1,1,9,26
66,13,13,1,10,29
67,6,6,1,8,32
68,6,6,1,8,35
69,8,8,1,8,38
70,8,8,1,7,41
71,0,0,0,8,44
72,10,10,0,8,47
73,1,1,0,9,49
74,7,7,0,8,53
75,6,6,0,8,55
76,7,7,0,8,59
77,4,4,0,8,61
78,2,2,0,9,65
79,6,6,0,8,68
80,4,4,0,8,71
81,11,11,0,9,75
82,5,5,0,9,78
83,3,3,0,9,81
84,7,7,0,9,84
85,5,5,0,9,87
86,6,6,0,9,90
87,4,4,0,9,93
88,10,10,0,9,96
89,10,10,0,9,99
90,6,6,0,9,98
91,10,10,0,9,98
92,11,11,1,10,97
93,5,5,1,10,96
94,5,5,1,10,96
95,6,6,1,9,95
96,8,8,1,8,94
97,0,0,0,9,94
98,4,4,0,9,93
99,6,6,0,9,92
100,8,8,0,9,92
101,4,4,0,8,91
102,11,11,0,9,90
103,9,9,1,8,90
104,4,4,1,8,89
105,6,6,1,8,88
106,13,13,1,9,88
107,10,10,1,9,87
108,10,10,2,9,86
109,9,9,2,9,86
110,7,7,2,9,85
111,5,5,2,9,84
112,9,9,2,9,84
113,7,7,2,8,83
114,9,9,2,8,82
115,6,6,2,8,82
116,6,6,2,8,81
117,8,8,2,8,80
118,6,6,2,8,80
119,10,10,2,8,79
120,9,9,2,8,76
121,12,12,2,8,74
122,8,8,2,8,71
123,13,13,2,9,69
124,13,13,3,9,66
125,11,11,3,9,63
126,13,13,3,10,61
127,16,16,4,9,58
128,12,12,4,9,55
129,14,14,5,9,53
130,16,16,5,10,49
131,22,22,6,12,48
132,23,23,6,14,45
133,27,27,7,17,43
134,30,30,8,19,40
135,33,33,9,22,37
136,36,36,10,26,35
137,44,44,11,31,32
138,49,49,13,36,30
139,48,48,15,40,27
140,56,56,17,45,24
141,62,62,19,51,22
142,57,57,21,54,19
143,64,64,24,58,17
144,73,73,26,64,13
145,71,71,29,67,11
146,75,75,32,71,9
147,81,81,35,75,6
148,85,85,38,79,3
149,87,87,41,82,1
150,90,90,45,85,1
151,88,88,48,88,1
152,96,96,52,90,1
153,93,93,55,91,1
154,93,93,58,92,1
155,98,98,62,92,1
156,97,97,65,92,1
157,91,91,68,90,1
158,92,92,72,87,1
159,95,95,75,84,1
160,92,92,78,80,1
161,99,99,82,77,1
162,91,91,84,72,1
163,89,89,87,68,1
164,86,86,89,62,0
165,82,82,91,57,0
166,80,80,93,51,0
167,84,84,95,46,0
168,80,80,96,42,0
169,71,71,97,38,0
170,75,75,98,34,0
171,68,68,98,33,0
172,66,66,99,31,0
173,62,62,98,32,0
174,60,60,98,34,0
175,56,56,97,37,0
176,53,53,96,40,0
177,51,51,95,44,0
178,45,45,93,49,0
179,40,40,91,54,0
180,42,42,89,57,0
181,35,35,87,62,0
182,32,32,85,65,0
183,36,36,82,67,0
184,24,24,79,71,0
185,26,26,76,73,0
186,24,24,73,75,0
187,25,25,70,76,0
188,25,25,68,77,0
189,18,18,64,78,0
190,20,20,61,78,0
191,15,15,58,77,0
192,19,19,55,75,0
193,24,24,52,73,0
194,31,31,50,70,0
195,31,31,48,67,0
196,41,41,46,63,0
197,47,47,45,59,0
198,50,50,43,54,0
199,57,57,43,52,1
200,60,60,42,49,1
201,61,61,42,48,1
202,64,64,42,48,1
203,69,69,42,49,1
204,70,70,43,51,1
205,82,82,44,56,1
206,78,78,45,59,1
207,82,82,46,64,1
208,86,86,48,68,1
209,82,82,49,71,1
210,85,85,51,75,1
211,89,89,53,78,1
212,91,91,56,81,1
213,87,87,58,84,1
214,92,92,61,85,1
215,93,93,64,86,1
216,91,91,67,86,1
217,95,95,69,86,1
218,88,88,72,84,1
219,86,86,75,81,0
220,82,82,78,77,0
221,82,82,80,71,0
222,81,81,83,64,0
223,81,81,85,58,0
224,73,73,87,52,0
225,72,72,89,45,0
226,72,72,90,40,0
227,65,65,91,37,0
228,63,63,91,34,0
229,59,59,91,34,0
230,56,56,91,34,0
231,45,45,91,38,0
232,44,44,90,42,0
233,42,42,89,46,0
234,38,38,87,51,0
235,29,29,85,57,0
236,19,19,83,65,0
237,16,16,80,72,0
238,5,5,77,80,0
239,8,8,73,86,0
240,11,11,70,91,0
241,10,10,67,94,0
242,9,9,64,96,0
243,9,9,60,98,0
244,11,11,57,99,0
245,9,9,53,98,0
246,8,8,50,97,0
247,9,9,46,95,0
248,3,3,43,94,0
249,7,7,40,92,0
250,12,12,37,89,1
251,7,7,34,85,1
252,9,9,31,81,1
253,13,13,28,76,1
254,7,7,25,72,1
255,7,7,22,68,1
256,5,5,19,62,1
257,9,9,17,57,1
258,7,7,15,51,1
259,5,5,12,45,1
260,8,8,10,38,1
261,6,6,9,34,1
262,7,7,7,28,1
263,9,9,6,22,1
264,8,8,5,15,1
265,7,7,4,10,1
266,7,7,3,8,1
267,11,11,3,7,1
268,10,10,3,6,1
269,7,7,3,6,1
270,3,3,3,7,4
271,11,11,3,7,6
272,7,7,3,7,9
273,3,3,2,7,12
274,1,1,2,8,13
275,9,9,2,8,17
276,8,8,2,8,20
277,9,9,2,8,22
278,2,2,2,8,24
279,5,5,2,8,27
280,9,9,2,8,30
281,11,11,2,8,32
282,5,5,2,8,35
283,4,4,1,7,38
284,2,2,1,8,40
285,6,6,1,8,43
286,3,3,1,8,45
287,7,7,1,8,48
288,7,7,1,8,51
289,9,9,1,8,53
290,1,1,1,9,55
291,3,3,1,9,58
292,4,4,1,9,61
293,4,4,0,9,64
294,11,11,1,9,66
295,11,11,1,10,69
296,3,3,1,10,71
297,1,1,0,10,74
298,5,5,0,9,77
299,2,2,0,10,79
