time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,35,35,35,0,78
1,33,33,34,3,78
2,30,30,32,8,78
3,35,35,33,8,78
4,29,29,32,10,78
5,30,30,31,10,78
6,29,29,31,10,78
7,26,26,30,13,78
8,26,26,30,13,78
9,33,33,30,13,78
10,20,20,29,19,78
11,29,29,29,18,78
12,30,30,29,17,78
13,30,30,29,17,78
14,23,23,28,18,78
15,23,23,28,18,78
16,21,21,27,19,78
17,23,23,27,20,78
18,28,28,27,19,78
19,20,20,26,20,78
20,25,25,26,20,78
21,20,20,26,20,78
22,20,20,25,21,78
23,20,20,25,21,78
24,27,27,25,21,78
25,20,20,25,21,78
26,19,19,24,22,78
27,21,21,24,22,78
28,22,22,24,22,78
29,22,22,24,21,78
30,22,22,23,20,78
31,22,22,23,19,78
32,19,19,22,19,78
33,15,15,22,19,78
34,19,19,21,19,78
35,21,21,21,18,78
36,13,13,20,19,78
37,23,23,20,19,78
38,22,22,20,18,78
39,19,19,20,16,78
40,20,20,20,16,78
41,19,19,19,15,78
42,20,20,19,14,78
43,18,18,18,12,78
44,20,20,18,12,78
45,17,17,18,12,78
46,17,17,18,13,78
47,16,16,17,13,78
48,20,20,17,12,78
49,18,18,17,12,78
50,13,13,17,12,78
51,21,21,17,12,78
52,14,14,16,13,78
53,14,14,16,13,78
54,17,17,16,12,78
55,16,16,16,12,78
56,13,13,15,13,78
57,20,20,15,13,78
58,16,16,15,12,78
59,16,16,15,12,78
60,16,16,15,12,79
61,19,19,14,11,79
62,13,13,14,12,80
63,23,23,15,12,80
64,14,14,14,13,80
65,19,19,14,12,81
66,18,18,14,12,81
67,15,15,14,11,82
68,18,18,14,11,82
69,13,13,14,11,83
70,12,12,13,11,83
71,11,11,13,12,84
72,10,10,13,13,84
73,11,11,12,14,85
74,12,12,12,13,85
75,8,8,12,15,85
76,13,13,12,15,86
77,9,9,11,16,86
78,15,15,11,15,87
79,12,12,11,15,87
80,5,5,11,17,88
81,8,8,10,16,88
82,9,9,10,17,89
83,6,6,9,18,89
84,14,14,9,17,90
85,7,7,9,18,90
86,10,10,9,18,90
87,6,6,8,18,91
88,7,7,8,19,91
89,9,9,8,18,92
90,8,8,7,18,89
91,1,1,7,19,86
92,4,4,6,20,83
93,1,1,6,19,81
94,7,7,5,19,78
95,7,7,5,17,75
96,3,3,4,17,72
97,2,2,4,17,69
98,8,8,3,16,67
99,5,5,3,15,64
100,6,6,3,15,61
101,2,2,2,16,58
102,7,7,2,16,55
103,10,10,2,16,53
104,6,6,2,15,49
105,15,15,2,16,47
106,14,14,2,16,44
107,16,16,3,18,41
108,23,23,3,21,38
109,20,20,3,23,36
110,29,29,4,28,33
111,26,26,5,31,30
112,33,33,6,36,27
113,41,41,7,43,24
114,40,40,8,48,22
115,43,43,10,54,19
116,44,44,11,59,16
117,48,48,13,64,13
118,51,51,14,69,10
119,57,57,16,75,8
120,55,55,18,80,6
121,58,58,20,84,6
122,63,63,23,88,6
123,60,60,25,90,6
124,64,64,27,93,6
125,63,63,30,96,6
126,66,66,32,97,6
127,67,67,35,97,6
128,69,69,37,99,5
129,69,69,40,98,5
130,75,75,42,98,5
131,72,72,45,96,5
132,79,79,48,95,4
133,76,76,51,93,4
134,83,83,54,90,4
135,82,82,56,89,4
136,79,79,59,85,3
137,85,85,62,82,3
138,87,87,64,81,3
139,92,92,67,78,3
140,90,90,69,76,2
141,89,89,72,72,2
142,96,96,74,70,2
143,98,98,77,70,2
144,96,96,79,69,1
145,99,99,81,68,1
146,92,92,83,64,1
147,94,94,85,62,1
148,90,90,86,59,0
149,95,95,88,58,0
150,93,93,89,56,0
151,96,96,91,53,0
152,93,93,92,52,0
153,95,95,93,49,0
154,88,88,94,46,0
155,93,93,95,43,0
156,87,87,96,40,0
157,90,90,97,37,0
158,89,89,98,34,0
159,80,80,98,31,0
160,74,74,98,31,0
161,77,77,99,30,0
162,72,72,98,31,0
163,70,70,98,33,0
164,63,63,97,38,0
165,65,65,97,42,0
166,61,61,96,46,0
167,63,63,95,50,0
168,63,63,94,53,0
169,54,54,93,58,0
170,52,52,91,63,0
171,49,49,89,68,0
172,53,53,88,70,0
173,42,42,86,74,0
174,45,45,84,77,0
175,52,52,82,77,0
176,38,38,80,81,0
177,53,53,78,80,0
178,28,28,76,86,0
179,40,40,73,86,0
180,41,41,71,86,1
181,42,42,69,84,2
182,29,29,67,85,3
183,38,38,64,82,4
184,27,27,62,83,4
185,49,49,60,78,5
186,44,44,59,74,6
187,35,35,56,70,6
188,30,30,54,66,8
189,26,26,52,64,9
190,27,27,50,63,10
191,32,32,48,59,11
192,26,26,46,57,11
193,28,28,45,55,12
194,26,26,43,54,13
195,23,23,42,53,13
196,24,24,40,51,15
197,25,25,39,49,16
198,27,27,37,45,17
199,28,28,36,44,18
200,23,23,35,43,18
201,23,23,34,42,19
202,25,25,33,40,20
203,27,27,32,40,21
204,24,24,31,39,22
205,20,20,30,36,23
206,21,21,30,37,24
207,21,21,28,33,24
208,27,27,28,33,26
209,28,28,28,31,26
210,22,22,27,30,27
211,22,22,26,29,27
212,19,19,26,29,27
213,21,21,25,28,27
214,21,21,25,29,27
215,19,19,24,22,27
216,22,22,23,16,29
217,16,16,22,15,29
218,17,17,22,16,29
219,20,20,21,16,30
220,18,18,21,16,30
221,17,17,20,15,30
222,22,22,20,15,30
223,20,20,20,14,30
224,15,15,19,15,30
225,15,15,19,15,30
226,14,14,19,17,32
227,16,16,18,17,32
228,14,14,18,17,32
229,14,14,17,17,33
230,17,17,17,17,33
231,16,16,17,17,33
232,16,16,16,16,34
233,16,16,16,15,34
234,10,10,15,16,34
235,16,16,15,16,35
236,11,11,15,17,35
237,14,14,15,17,35
238,9,9,14,17,36
239,17,17,14,15,36
240,19,19,13,14,38
241,19,19,13,14,40
242,17,17,13,13,42
243,10,10,13,14,44
244,14,14,12,13,46
245,19,19,12,13,49
246,14,14,12,13,51
247,16,16,12,13,53
248,13,13,12,13,55
249,17,17,12,12,57
250,15,15,12,12,59
251,13,13,12,12,61
252,16,16,11,11,63
253,7,7,11,12,65
254,14,14,11,12,67
255,11,11,11,12,70
256,9,9,10,13,72
257,11,11,10,13,74
258,7,7,10,14,76
259,10,10,10,15,78
260,13,13,10,14,80
261,7,7,9,15,82
262,14,14,9,15,84
263,6,6,9,16,86
264,8,8,9,16,88
265,8,8,8,16,91
266,4,4,8,18,93
267,5,5,8,18,95
268,5,5,8,19,97
269,12,12,7,19,99
270,8,8,7,18,97
271,8,8,6,17,95
272,3,3,6,17,93
273,10,10,6,17,91
274,4,4,6,18,89
275,7,7,5,17,87
276,5,5,5,17,85
277,2,2,4,17,83
278,5,5,4,17,81
279,4,4,3,16,79
280,0,0,3,16,77
281,0,0,2,17,75
282,5,5,2,16,72
283,0,0,2,16,70
284,2,2,1,16,68
285,0,0,1,16,66
286,3,3,0,16,64
287,1,1,0,16,61
288,8,8,0,16,60
289,4,4,0,16,58
290,10,10,0,15,55
291,9,9,0,15,54
292,6,6,0,13,52
293,12,12,0,14,49
294,10,10,0,15,48
295,15,15,0,16,46
296,16,16,1,18,44
297,25,25,1,24,42
298,24,24,2,27,40
299,26,26,3,31,38
