time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,80,80,99,0,54
1,77,77,93,4,54
2,78,78,92,4,54
3,72,72,87,9,54
4,74,74,85,9,54
5,81,81,87,10,54
6,73,73,85,10,54
7,71,71,83,11,54
8,68,68,80,13,54
9,64,64,76,16,54
10,65,65,73,18,54
11,67,67,71,18,54
12,67,67,70,18,54
13,61,61,67,19,54
14,63,63,65,20,54
15,66,66,64,20,54
16,62,62,62,20,54
17,63,63,60,20,54
18,62,62,59,20,54
19,63,63,58,20,54
20,65,65,57,20,54
21,64,64,57,20,54
22,65,65,56,19,54
23,65,65,56,19,54
24,67,67,56,19,54
25,68,68,56,18,54
26,67,67,55,18,54
27,62,62,55,18,54
28,53,53,53,20,54
29,43,43,50,24,54
30,44,44,46,26,54
31,52,52,43,26,54
32,63,63,41,25,54
33,74,74,41,25,54
34,76,76,41,26,54
35,75,75,40,24,54
36,74,74,41,24,54
37,68,68,40,24,54
38,71,71,41,24,54
39,72,72,42,25,54
40,69,69,42,25,54
41,70,70,42,25,54
42,65,65,42,25,54
43,64,64,43,25,54
44,65,65,43,25,54
45,62,62,42,25,54
46,66,66,43,25,54
47,61,61,43,25,54
48,62,62,43,25,54
49,64,64,43,25,54
50,62,62,43,25,54
51,66,66,43,25,54
52,65,65,43,25,54
53,65,65,43,25,54
54,66,66,43,25,54
55,64,64,42,25,54
56,63,63,42,25,54
57,60,60,41,25,54
58,60,60,42,24,54
59,64,64,45,21,54
60,68,68,48,16,54
61,67,67,49,14,54
62,59,59,49,14,54
63,49,49,46,17,54
64,42,42,42,20,54
65,41,41,38,24,55
66,48,48,35,24,55
67,63,63,34,24,55
68,74,74,35,25,55
69,77,77,35,25,55
70,75,75,36,26,55
71,76,76,37,27,55
72,68,68,37,27,55
73,68,68,37,27,55
74,71,71,38,28,55
75,66,66,39,28,57
76,68,68,39,28,57
77,66,66,39,28,57
78,64,64,40,28,57
79,63,63,40,28,57
80,63,63,40,28,57
81,65,65,40,28,58
82,65,65,40,28,58
83,66,66,40,28,58
84,62,62,39,28,58
85,62,62,39,28,58
86,60,60,39,28,59
87,62,62,39,28,59
88,64,64,39,28,59
89,60,60,39,28,59
90,61,61,38,28,59
91,62,62,37,28,59
92,63,63,38,28,59
93,65,65,40,26,59
94,68,68,43,23,59
95,65,65,46,18,59
96,58,58,47,15,59
97,46,46,45,19,59
98,43,43,41,22,60
99,47,47,38,23,60
100,55,55,35,22,60
101,66,66,34,21,60
102,69,69,34,21,60
103,71,71,35,21,60
104,72,72,35,21,60
105,70,70,35,22,60
106,75,75,36,23,60
107,71,71,37,23,60
108,70,70,37,24,60
109,65,65,38,24,60
110,62,62,38,24,60
111,66,66,38,24,60
112,66,66,38,24,60
113,68,68,38,24,60
114,62,62,38,24,60
115,62,62,38,24,60
116,61,61,38,24,60
117,63,63,38,24,60
118,66,66,38,24,60
119,64,64,39,24,60
120,63,63,39,24,60
121,62,62,39,24,60
122,62,62,39,24,60
123,63,63,39,24,60
124,64,64,38,24,59
125,67,67,38,24,59
126,64,64,39,23,59
127,55,55,40,22,59
128,46,46,40,21,59
129,46,46,40,21,59
130,46,46,39,23,58
131,56,56,38,23,58
132,65,65,38,23,58
133,74,74,38,23,58
134,73,73,38,24,58
135,74,74,39,24,57
136,73,73,38,24,57
137,71,71,38,24,57
138,74,74,39,24,57
139,70,70,39,25,57
140,67,67,40,25,57
141,65,65,40,25,55
142,63,63,39,25,55
143,70,70,40,25,55
144,64,64,40,25,55
145,59,59,40,25,55
146,56,56,39,25,55
147,59,59,39,25,55
148,64,64,38,25,55
149,63,63,38,25,55
150,63,63,38,25,55
151,61,61,38,25,55
152,62,62,38,25,55
153,65,65,39,25,57
154,64,64,39,25,57
155,64,64,38,25,58
156,65,65,38,25,58
157,68,68,40,25,58
158,67,67,42,23,59
159,61,61,44,20,59
160,48,48,44,19,60
161,43,43,43,23,60
162,41,41,40,26,61
163,49,49,37,27,61
164,63,63,36,26,61
165,77,77,36,26,61
166,76,76,36,27,61
167,78,78,37,28,63
168,75,75,37,28,63
169,71,71,37,28,64
170,76,76,38,29,64
171,72,72,39,30,64
172,70,70,40,30,65
173,67,67,40,30,65
174,62,62,40,30,66
175,64,64,40,30,66
176,64,64,41,29,67
177,67,67,42,29,67
178,65,65,42,29,67
179,62,62,42,29,68
180,63,63,42,29,66
181,62,62,42,29,63
182,63,63,42,29,61
183,60,60,42,29,59
184,61,61,41,29,57
185,63,63,41,29,54
186,60,60,40,29,52
187,58,58,39,29,49
