time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,84,84,82,0,2
1,89,89,89,7,2
2,99,99,99,18,2
3,68,68,84,35,2
4,54,54,68,51,2
5,70,70,64,48,2
6,74,74,63,44,2
7,70,70,61,42,2
8,85,85,63,41,2
9,87,87,66,40,2
10,80,80,66,38,2
11,88,88,68,37,2
12,77,77,68,36,2
13,67,67,66,36,2
14,63,63,63,37,2
15,61,61,61,37,2
16,60,60,58,38,2
17,62,62,56,38,2
18,67,67,55,38,2
19,68,68,55,37,2
20,68,68,54,36,2
21,65,65,53,36,2
22,62,62,52,36,2
23,58,58,50,36,2
24,60,60,49,36,2
25,55,55,47,37,2
26,54,54,46,38,2
27,56,56,44,38,2
28,55,55,43,38,2
29,57,57,42,38,2
30,56,56,40,38,2
31,56,56,37,36,2
32,59,59,33,31,2
33,63,63,33,31,2
34,60,60,33,31,2
35,63,63,33,30,2
36,60,60,32,30,2
37,63,63,31,30,2
38,63,63,29,27,2
39,64,64,27,24,2
40,63,63,26,21,2
41,68,68,24,16,2
42,66,66,23,13,2
43,66,66,23,13,2
44,69,69,24,14,2
45,69,69,24,14,2
46,68,68,25,15,2
47,65,65,25,15,2
48,66,66,25,15,2
49,67,67,25,14,2
50,71,71,25,15,2
51,71,71,26,16,2
52,69,69,26,16,2
53,73,73,28,17,2
54,72,72,29,18,2
55,70,70,30,17,2
56,75,75,32,17,2
57,72,72,33,17,2
58,76,76,35,17,2
59,72,72,36,16,2
60,71,71,38,15,3
61,71,71,39,14,4
62,73,73,40,13,5
63,74,74,41,13,6
64,75,75,42,13,6
65,77,77,43,13,8
66,71,71,44,12,9
67,73,73,45,12,10
68,73,73,46,11,11
69,69,69,46,10,12
70,75,75,47,9,13
71,74,74,48,9,13
72,73,73,49,9,15
73,76,76,49,9,16
74,75,75,50,9,17
75,76,76,51,9,18
76,75,75,51,9,19
77,75,75,52,8,20
78,75,75,53,7,21
79,73,73,53,6,21
80,73,73,53,6,22
81,72,72,54,6,23
82,71,71,54,6,24
83,72,72,54,6,24
84,73,73,54,6,26
85,70,70,54,6,27
86,66,66,53,7,27
87,67,67,53,8,29
88,69,69,52,8,30
89,70,70,52,8,30
90,68,68,52,8,30
91,71,71,52,8,29
92,67,67,51,9,27
93,68,68,50,9,27
94,66,66,50,10,26
95,65,65,49,10,24
96,66,66,48,10,24
97,69,69,48,10,23
98,63,63,47,11,22
99,64,64,47,12,21
100,64,64,46,12,20
101,69,69,45,12,20
102,64,64,45,12,19
103,65,65,44,12,18
104,63,63,43,12,17
105,65,65,42,11,16
106,65,65,41,11,15
107,66,66,40,10,13
108,66,66,39,10,13
109,60,60,38,10,12
110,49,49,36,14,11
111,26,26,32,27,10
112,2,2,26,45,9
113,0,0,20,57,8
114,3,3,14,65,6
115,7,7,9,71,6
116,13,13,4,75,5
117,25,25,1,76,4
118,53,53,0,76,3
119,69,69,0,76,2
120,73,73,0,76,2
121,72,72,0,76,3
122,74,74,1,77,3
123,74,74,1,77,3
124,74,74,2,78,4
125,76,76,3,79,4
126,74,74,3,79,4
127,77,77,4,80,4
128,75,75,5,81,5
129,77,77,6,82,5
130,77,77,7,83,5
131,81,81,8,84,6
132,80,80,10,85,6
133,82,82,11,86,6
134,87,87,13,88,6
135,87,87,15,89,6
136,84,84,17,90,6
137,87,87,19,92,8
138,89,89,21,93,8
139,87,87,23,95,8
140,86,86,26,95,9
141,87,87,31,94,9
142,86,86,38,87,9
143,83,83,46,77,9
144,77,77,52,66,10
145,74,74,58,54,10
146,71,71,63,39,10
147,66,66,66,25,11
148,68,68,67,21,11
149,62,62,67,22,11
150,68,68,66,23,11
151,66,66,66,24,11
152,68,68,65,24,12
153,64,64,64,26,12
154,69,69,64,26,12
155,67,67,63,27,12
156,67,67,62,27,12
157,64,64,61,28,12
158,66,66,60,29,12
159,70,70,60,29,12
160,64,64,59,30,12
161,66,66,57,30,12
162,66,66,56,30,12
163,70,70,55,30,12
164,70,70,54,29,12
165,68,68,52,28,12
166,71,71,51,27,13
167,69,69,49,26,13
168,73,73,48,23,13
169,68,68,46,22,13
170,71,71,45,19,13
171,64,64,43,16,13
172,64,64,41,14,13
173,68,68,40,10,13
174,68,68,39,9,13
175,65,65,38,8,13
176,65,65,38,8,13
177,66,66,38,8,13
178,68,68,38,8,13
179,68,68,38,7,13
180,67,67,38,7,13
181,64,64,38,7,13
182,65,65,38,7,13
183,64,64,38,7,13
184,67,67,37,7,13
185,65,65,37,7,13
186,58,58,37,9,13
187,46,46,35,15,13
188,26,26,32,27,13
189,6,6,26,43,13
190,0,0,21,57,13
191,5,5,16,65,13
192,6,6,10,71,13
193,14,14,6,75,13
194,29,29,2,76,13
195,59,59,1,75,13
196,73,73,2,75,13
197,75,75,2,76,13
198,70,70,2,76,13
199,77,77,3,77,13
200,76,76,3,77,13
201,77,77,4,78,13
202,77,77,5,79,13
203,80,80,6,80,13
204,75,75,7,80,13
205,77,77,8,81,13
206,82,82,9,83,13
207,78,78,11,83,13
208,83,83,12,85,13
209,89,89,14,86,13
210,82,82,15,87,13
211,84,84,17,89,13
212,87,87,19,90,13
213,92,92,21,92,13
214,95,95,23,94,12
215,95,95,26,96,12
216,94,94,29,98,11
217,92,92,33,99,11
218,90,90,38,97,10
219,92,92,46,90,10
220,85,85,53,80,9
221,79,79,59,69,9
222,75,75,65,55,8
223,70,70,70,40,8
224,67,67,73,28,6
225,71,71,74,26,6
226,68,68,74,26,6
227,70,70,73,27,6
228,69,69,73,27,5
229,68,68,72,28,5
230,69,69,72,29,4
231,67,67,71,30,4
232,69,69,70,30,3
233,70,70,69,31,3
234,71,71,69,31,2
235,66,66,68,32,2
236,67,67,67,33,1
237,69,69,66,33,1
238,69,69,65,33,0
239,67,67,63,33,0
240,71,71,62,33,0
241,68,68,61,33,1
242,71,71,59,33,1
243,72,72,58,31,2
244,73,73,56,29,2
245,71,71,54,26,3
246,69,69,52,23,3
247,69,69,50,20,4
248,69,69,48,17,4
249,70,70,46,11,5
250,72,72,45,8,5
251,68,68,44,6,5
252,70,70,44,5,6
253,70,70,44,5,6
254,71,71,44,5,6
255,69,69,44,5,6
256,71,71,44,5,8
257,70,70,44,5,8
258,69,69,44,5,9
259,68,68,44,5,9
260,71,71,45,5,10
261,66,66,45,5,10
262,69,69,44,5,10
263,67,67,44,5,11
264,67,67,44,6,11
265,68,68,44,5,12
266,70,70,44,5,12
267,67,67,44,5,13
268,69,69,44,5,13
269,69,69,44,5,13
270,68,68,44,5,17
271,69,69,44,5,19
272,70,70,44,5,22
273,67,67,43,5,24
274,69,69,43,4,27
275,66,66,43,5,30
276,66,66,42,5,34
277,66,66,42,5,36
278,69,69,42,5,39
279,65,65,41,5,42
280,67,67,41,5,45
281,66,66,41,5,48
282,66,66,40,5,51
283,66,66,40,5,53
284,62,62,39,6,55
285,65,65,39,6,59
286,63,63,38,6,61
287,67,67,38,6,65
288,63,63,37,6,68
289,64,64,37,6,71
290,64,64,36,6,73
291,66,66,37,6,76
292,59,59,36,7,79
293,65,65,36,7,82
294,58,58,35,8,85
295,62,62,34,9,88
296,60,60,33,9,90
297,59,59,33,10,93
298,56,56,32,10,96
299,59,59,31,11,99
