time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,91,91,99,0,3
1,90,90,98,0,3
2,88,88,97,3,3
3,83,83,95,8,3
4,90,90,95,7,3
5,87,87,95,7,3
6,86,86,95,6,3
7,87,87,94,6,3
8,92,92,95,7,3
9,90,90,95,7,3
10,86,86,95,7,3
11,93,93,96,7,3
12,88,88,96,7,3
13,99,99,97,10,3
14,90,90,97,9,3
15,88,88,97,9,3
16,90,90,97,9,3
17,90,90,97,9,3
18,89,89,97,8,3
19,90,90,97,8,3
20,92,92,97,8,3
21,90,90,97,8,3
22,88,88,97,8,3
23,88,88,97,8,3
24,92,92,97,8,3
25,89,89,97,8,3
26,88,88,97,7,3
27,88,88,97,7,3
28,91,91,97,7,3
29,87,87,97,7,3
30,89,89,97,7,3
31,82,82,96,8,3
32,87,87,96,8,3
33,81,81,96,9,3
34,84,84,96,9,3
35,87,87,96,9,3
36,93,93,96,9,3
37,85,85,96,9,3
38,86,86,96,9,3
39,87,87,96,9,3
40,88,88,96,9,3
41,84,84,95,9,3
42,85,85,95,9,3
43,88,88,95,8,3
44,85,85,94,8,3
45,86,86,94,8,3
46,86,86,94,8,3
47,73,73,93,11,3
48,66,66,92,15,3
49,54,54,90,22,3
50,43,43,88,31,3
51,44,44,86,37,3
52,37,37,84,43,3
53,34,34,81,49,3
54,23,23,78,56,3
55,24,24,75,62,3
56,17,17,71,68,3
57,20,20,68,72,3
58,11,11,65,77,3
59,7,7,61,82,3
60,8,8,57,86,2
61,13,13,54,89,2
62,10,10,50,91,2
63,7,7,47,93,2
64,5,5,43,95,2
65,5,5,39,96,2
66,11,11,35,95,2
67,25,25,33,93,2
68,36,36,30,91,2
69,53,53,29,88,2
70,55,55,27,84,2
71,60,60,26,82,2
72,70,70,25,80,2
73,71,71,24,77,1
74,71,71,24,75,1
75,79,79,23,74,1
76,80,80,23,73,1
77,80,80,24,74,1
78,80,80,24,76,1
79,80,80,25,79,1
80,86,86,27,82,1
81,82,82,29,85,1
82,81,81,31,88,1
83,88,88,34,90,1
84,85,85,37,92,1
85,85,85,40,93,1
86,80,80,43,93,1
87,85,85,46,93,0
88,84,84,49,92,0
89,87,87,53,89,0
90,91,91,57,87,0
91,89,89,60,84,0
92,81,81,64,79,0
93,89,89,67,74,0
94,86,86,71,66,0
95,87,87,75,56,0
96,87,87,79,45,0
97,93,93,82,36,0
98,86,86,84,28,0
99,86,86,86,24,0
100,88,88,87,19,0
101,88,88,89,15,0
102,89,89,89,14,0
103,88,88,90,12,0
104,87,87,91,10,0
105,91,91,92,10,0
106,86,86,92,10,0
107,90,90,92,9,0
108,90,90,93,9,0
109,90,90,93,8,0
110,87,87,93,8,0
111,87,87,94,8,0
112,88,88,94,7,0
113,86,86,94,7,0
114,86,86,94,7,0
115,85,85,94,7,0
116,83,83,94,7,0
117,91,91,94,7,0
118,89,89,94,7,0
119,86,86,94,7,0
120,84,84,94,7,3
121,87,87,94,7,5
122,89,89,94,6,8
123,92,92,95,6,10
124,85,85,94,6,13
125,90,90,95,6,15
126,92,92,95,7,18
127,85,85,94,6,20
128,87,87,95,6,23
129,83,83,94,7,24
130,90,90,95,7,27
131,84,84,94,7,30
132,94,94,95,7,33
133,87,87,94,7,36
134,87,87,94,7,38
135,90,90,94,7,41
136,88,88,95,7,43
137,90,90,95,7,46
138,87,87,94,7,48
139,84,84,94,7,51
140,87,87,94,7,54
141,90,90,94,8,55
142,93,93,94,8,59
143,82,82,94,8,61
144,86,86,94,8,64
