time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,69,69,77,0,0
1,70,70,80,1,0
2,72,72,84,5,0
3,73,73,87,5,0
4,70,70,87,5,0
5,59,59,78,16,0
6,34,34,54,46,0
7,0,0,16,87,0
8,25,25,0,89,0
9,84,84,15,91,0
10,99,99,33,97,0
11,93,93,47,99,0
12,81,81,54,96,0
13,74,74,57,93,0
14,72,72,59,90,0
15,66,66,60,87,0
16,66,66,60,85,0
17,68,68,61,82,0
18,63,63,60,80,0
19,66,66,60,78,0
20,64,64,60,76,0
21,64,64,60,75,0
22,62,62,59,73,0
23,64,64,59,71,0
24,65,65,59,70,0
25,64,64,59,69,0
26,61,61,58,67,0
27,61,61,58,66,0
28,63,63,57,65,0
29,61,61,57,64,0
30,57,57,55,64,0
31,57,57,53,64,0
32,54,54,50,64,0
33,54,54,47,64,0
34,51,51,44,64,0
35,51,51,43,65,0
36,48,48,45,63,0
37,47,47,53,49,0
38,46,46,56,43,0
39,49,49,50,42,0
40,51,51,43,35,0
41,54,54,37,29,0
42,60,60,33,25,0
43,58,58,31,24,0
44,66,66,30,23,0
45,63,63,30,22,0
46,64,64,29,22,0
47,69,69,29,22,0
48,70,70,30,23,0
49,66,66,30,23,0
50,72,72,32,24,0
51,74,74,33,26,0
52,70,70,34,27,0
53,73,73,36,28,0
54,71,71,37,29,0
55,72,72,38,30,0
56,67,67,39,30,0
57,69,69,41,30,0
58,66,66,41,31,0
59,68,68,42,31,0
60,67,67,44,31,1
61,68,68,46,31,1
62,70,70,48,31,2
63,73,73,51,31,2
64,67,67,54,30,3
65,68,68,57,29,4
66,71,71,60,27,4
67,69,69,64,25,5
68,73,73,68,22,6
69,71,71,71,19,6
70,70,70,74,16,6
71,71,71,77,13,6
72,69,69,78,11,8
73,71,71,80,9,9
74,72,72,81,9,9
75,71,71,83,8,10
76,72,72,84,7,11
77,69,69,84,7,11
78,74,74,85,8,12
79,73,73,86,7,12
80,73,73,86,7,13
81,76,76,86,8,13
82,72,72,87,8,13
83,71,71,86,8,15
84,75,75,87,8,16
85,75,75,87,8,16
86,76,76,89,9,17
87,72,72,89,9,17
88,74,74,90,8,18
89,74,74,91,8,19
90,69,69,92,8,20
91,71,71,92,7,22
92,69,69,92,8,24
93,72,72,92,8,24
94,71,71,92,7,27
95,71,71,93,7,29
96,70,70,92,7,30
97,72,72,93,7,32
98,71,71,93,7,34
99,72,72,93,7,36
100,72,72,93,6,37
101,75,75,94,7,39
102,76,76,95,7,41
103,74,74,95,7,43
104,72,72,95,7,44
105,74,74,96,7,46
106,74,74,96,7,48
107,76,76,97,7,49
108,74,74,97,7,51
109,76,76,97,7,53
110,77,77,98,7,54
111,66,66,96,8,55
112,36,36,91,25,58
113,4,4,80,49,60
114,39,39,74,53,61
115,86,86,76,54,63
116,97,97,79,57,65
117,89,89,82,58,66
118,81,81,83,59,68
119,79,79,84,59,70
120,74,74,85,59,70
121,70,70,85,59,70
122,75,75,86,59,70
123,72,72,86,59,70
124,71,71,86,59,71
125,72,72,86,59,71
126,70,70,86,59,71
127,70,70,86,59,71
128,66,66,85,59,71
129,73,73,85,59,72
130,70,70,85,59,72
131,69,69,84,59,72
132,68,68,83,59,72
133,68,68,82,59,72
134,69,69,81,59,72
135,61,61,79,59,73
136,61,61,77,59,73
137,62,62,75,59,73
138,56,56,72,59,73
139,59,59,70,59,73
140,63,63,68,59,74
141,56,56,66,59,74
142,58,58,69,56,74
143,66,66,79,38,74
144,62,62,83,33,74
145,61,61,79,32,75
146,62,62,73,26,75
147,66,66,70,22,75
148,64,64,67,20,75
149,66,66,65,18,75
150,70,70,64,18,73
151,66,66,63,17,71
152,68,68,62,16,69
153,67,67,61,16,66
154,71,71,62,16,64
155,69,69,61,16,61
156,71,71,61,16,60
157,71,71,61,16,58
158,72,72,62,16,55
159,74,74,63,17,53
160,72,72,63,17,51
161,73,73,63,17,49
162,69,69,63,17,46
163,73,73,64,18,44
164,74,74,65,18,42
165,73,73,67,19,40
166,71,71,68,19,38
167,75,75,71,19,35
168,72,72,73,18,33
169,74,74,75,17,30
170,69,69,76,17,29
171,70,70,79,15,27
172,74,74,81,13,24
173,74,74,82,13,22
174,75,75,84,13,20
175,75,75,87,11,18
176,72,72,88,10,15
177,73,73,89,9,13
178,74,74,91,8,11
179,73,73,92,8,9
180,79,79,93,9,12
181,75,75,95,8,15
182,74,74,96,7,18
183,74,74,97,7,21
184,75,75,98,7,24
185,71,71,98,7,27
186,73,73,98,6,30
187,71,71,98,6,33
188,73,73,99,6,36
189,71,71,98,6,39
190,72,72,98,6,42
191,72,72,98,6,45
192,71,71,98,6,48
193,72,72,98,6,51
194,68,68,97,7,54
195,71,71,97,7,57
196,69,69,96,7,60
197,76,76,97,7,63
198,78,78,98,8,66
199,69,69,97,9,69
200,71,71,97,8,72
201,68,68,97,9,75
202,66,66,96,10,78
203,70,70,95,10,81
204,68,68,94,10,84
205,73,73,94,10,87
206,70,70,93,10,90
207,70,70,93,10,93
208,71,71,92,10,96
209,69,69,92,10,99
210,72,72,91,9,98
211,71,71,90,9,98
212,68,68,89,9,97
213,69,69,89,8,97
214,69,69,88,8,96
215,71,71,88,8,95
216,75,75,88,8,95
217,80,80,89,10,94
218,74,74,89,10,94
219,77,77,90,11,93
220,78,78,91,11,92
221,75,75,92,12,92
222,70,70,92,12,91
223,70,70,91,12,91
224,74,74,92,12,90
225,69,69,92,12,89
226,69,69,92,12,89
227,64,64,90,12,88
228,69,69,89,12,88
229,63,63,88,13,87
230,66,66,87,13,86
231,68,68,87,13,86
232,63,63,87,13,85
233,64,64,86,14,84
234,66,66,85,14,84
235,69,69,85,14,83
236,64,64,84,15,83
237,60,60,82,16,82
238,57,57,80,18,81
239,57,57,78,19,81
240,54,54,75,21,78
241,58,58,73,22,76
242,63,63,72,22,74
243,68,68,72,22,71
244,64,64,71,22,69
245,69,69,71,22,66
246,74,74,71,22,64
247,72,72,70,21,61
248,74,74,70,21,59
249,72,72,69,20,57
250,74,74,69,20,55
251,72,72,68,19,52
252,74,74,69,19,49
253,73,73,69,20,47
254,73,73,69,20,45
255,71,71,69,20,43
256,71,71,70,20,40
257,74,74,71,20,38
258,70,70,71,20,35
259,71,71,73,20,33
260,70,70,73,20,30
261,69,69,73,20,27
262,71,71,75,20,26
263,71,71,76,20,23
264,74,74,77,20,21
265,74,74,78,21,19
266,72,72,79,20,16
267,73,73,81,20,13
268,74,74,84,18,11
269,72,72,86,16,9
270,70,70,88,12,12
271,69,69,90,9,13
272,72,72,92,7,17
273,72,72,92,7,19
274,70,70,93,5,22
275,71,71,93,5,24
276,68,68,92,5,27
277,70,70,92,5,29
278,72,72,92,5,32
279,71,71,91,5,34
280,66,66,90,6,37
281,67,67,89,7,39
282,72,72,89,6,42
283,64,64,88,8,44
284,72,72,87,7,47
285,67,67,87,8,49
286,69,69,86,8,52
287,68,68,86,8,54
288,67,67,85,8,57
289,75,75,85,8,59
290,74,74,86,9,61
291,73,73,87,9,65
292,71,71,87,9,67
293,73,73,87,9,70
294,75,75,87,9,72
295,70,70,87,9,75
296,74,74,87,9,77
297,70,70,86,9,80
298,62,62,85,10,82
299,35,35,79,24,85
