time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,99,99,99,0,29
1,96,96,97,3,29
2,88,88,91,11,29
3,79,79,85,20,29
4,76,76,79,24,29
5,81,81,77,23,29
6,79,79,75,22,29
7,74,74,73,23,29
8,78,78,72,22,29
9,71,71,70,24,29
10,73,73,68,24,29
11,58,58,65,29,29
12,17,17,56,53,29
13,17,17,49,65,29
14,9,9,42,76,29
15,6,6,35,83,29
16,15,15,30,87,29
17,17,17,26,88,29
18,14,14,22,90,29
19,12,12,18,91,29
20,17,17,15,92,29
21,19,19,12,92,29
22,59,59,13,90,29
23,81,81,15,89,29
24,89,89,18,90,29
25,97,97,21,91,29
26,90,90,23,91,29
27,85,85,25,91,29
28,86,86,27,90,29
29,87,87,28,90,29
30,82,82,27,88,29
31,79,79,26,87,29
32,73,73,25,86,29
33,76,76,25,86,29
34,71,71,25,86,29
35,69,69,24,85,29
36,70,70,24,84,29
37,42,42,22,84,29
38,15,15,18,86,29
39,7,7,14,88,29
40,10,10,11,90,29
41,8,8,8,92,29
42,17,17,8,92,29
43,14,14,7,92,29
44,17,17,8,91,29
45,14,14,8,90,29
46,17,17,8,90,29
47,18,18,9,90,29
48,61,61,11,89,29
49,78,78,15,88,29
50,84,84,19,87,29
51,95,95,24,88,29
52,89,89,26,89,29
53,86,86,26,89,29
54,82,82,25,89,29
55,82,82,24,87,29
56,77,77,24,86,29
57,79,79,23,86,29
58,74,74,23,85,29
59,77,77,22,84,29
60,78,78,22,84,29
61,74,74,22,84,29
62,65,65,21,83,29
63,60,60,20,83,29
64,25,25,17,84,29
65,6,6,14,86,29
66,7,7,10,88,29
67,13,13,8,90,29
68,14,14,8,90,29
69,13,13,8,89,29
70,17,17,9,89,29
71,14,14,9,88,29
72,13,13,9,88,29
73,19,19,9,88,29
74,53,53,11,87,29
75,73,73,15,85,29
76,89,89,19,85,29
77,87,87,23,85,29
78,93,93,25,87,29
79,83,83,25,87,29
80,86,86,26,87,29
81,77,77,25,86,29
82,78,78,24,85,29
83,77,77,23,84,29
84,70,70,23,84,29
85,73,73,22,83,29
86,68,68,22,83,29
87,70,70,21,82,29
88,62,62,20,81,29
89,66,66,20,81,29
90,43,43,18,80,30
91,9,9,14,82,32
92,9,9,10,84,33
93,4,4,7,87,35
94,17,17,7,87,36
95,15,15,7,86,37
96,12,12,8,86,39
97,17,17,8,86,40
98,20,20,8,85,42
99,15,15,8,85,43
100,40,40,10,84,44
101,70,70,13,82,46
102,88,88,17,82,47
103,92,92,22,82,48
104,93,93,24,84,49
105,89,89,25,85,51
106,95,95,25,86,52
107,78,78,25,85,54
108,82,82,24,84,55
109,82,82,24,84,57
110,73,73,23,83,58
111,78,78,23,83,59
112,70,70,23,83,61
113,68,68,22,82,61
114,77,77,23,83,63
115,73,73,23,83,65
116,37,37,21,83,66
117,12,12,18,85,67
118,16,16,15,87,69
119,4,4,11,90,70
120,6,6,9,92,70
121,7,7,9,93,69
122,0,0,8,94,69
123,6,6,8,94,68
124,18,18,8,93,68
125,3,3,8,95,68
126,28,28,9,94,67
127,59,59,11,92,67
128,78,78,15,92,66
129,92,92,19,92,66
130,97,97,22,94,65
131,90,90,24,96,65
132,93,93,24,96,65
133,82,82,23,95,64
134,78,78,22,94,64
135,85,85,22,94,63
136,72,72,21,92,63
137,76,76,21,92,61
138,75,75,20,92,61
139,73,73,20,91,61
140,73,73,20,91,61
141,65,65,19,90,61
142,26,26,17,91,60
143,6,6,13,93,60
144,6,6,9,95,59
145,7,7,5,96,59
146,7,7,3,98,59
147,7,7,3,98,58
148,14,14,3,99,58
149,9,9,3,98,57
150,11,11,3,98,55
151,11,11,3,97,55
152,23,23,5,95,55
153,61,61,8,93,54
154,80,80,12,93,53
155,89,89,17,92,52
156,93,93,21,93,51
157,88,88,22,95,49
158,84,84,23,95,49
159,83,83,22,94,48
160,76,76,21,93,47
161,71,71,20,91,46
162,73,73,19,90,45
163,74,74,18,89,44
164,74,74,18,89,43
165,70,70,17,88,42
166,71,71,17,88,42
167,63,63,16,87,41
168,51,51,15,86,40
169,19,19,12,87,39
170,7,7,8,89,38
171,5,5,4,90,37
172,8,8,3,92,36
173,18,18,4,91,35
174,12,12,4,90,34
175,13,13,4,90,33
176,15,15,5,89,32
177,12,12,5,88,30
178,26,26,6,87,30
179,60,60,9,86,29
180,82,82,13,85,30
181,87,87,18,84,30
182,94,94,22,85,30
183,90,90,24,87,30
184,84,84,24,87,30
185,82,82,23,87,30
186,74,74,22,85,30
187,78,78,22,84,30
188,71,71,21,83,30
189,75,75,20,83,30
190,71,71,20,82,32
191,73,73,20,83,32
192,70,70,20,82,32
193,70,70,20,82,32
194,52,52,18,82,32
195,19,19,15,83,32
196,9,9,12,85,33
197,7,7,8,87,33
198,9,9,6,89,33
199,14,14,6,89,33
200,16,16,6,88,33
201,12,12,7,88,34
202,15,15,7,87,34
203,14,14,7,87,34
204,20,20,7,87,34
205,43,43,9,85,34
206,69,69,12,84,34
207,82,82,16,83,35
208,85,85,20,83,35
209,86,86,21,85,35
210,86,86,22,85,34
211,91,91,22,85,33
212,77,77,21,84,30
213,72,72,20,83,30
214,69,69,19,81,29
215,74,74,18,81,27
216,70,70,18,81,27
217,72,72,18,80,26
218,72,72,18,80,24
219,63,63,17,80,23
220,53,53,16,79,22
221,20,20,13,80,21
222,16,16,10,81,20
223,5,5,6,83,19
224,9,9,3,85,17
225,8,8,3,86,16
226,12,12,3,86,15
227,15,15,3,85,13
228,17,17,4,84,13
229,16,16,4,84,12
230,22,22,4,84,10
231,30,30,5,82,9
232,62,62,8,81,8
233,80,80,12,81,6
234,90,90,16,81,6
235,86,86,19,83,5
236,89,89,20,84,3
237,80,80,20,84,2
238,74,74,19,83,1
239,74,74,18,82,0
240,75,75,18,82,0
241,73,73,17,80,0
242,72,72,16,80,0
243,70,70,16,80,0
244,67,67,16,79,0
245,69,69,16,79,0
246,69,69,16,79,0
247,48,48,14,78,0
248,15,15,11,80,0
249,13,13,8,81,0
250,8,8,5,84,0
251,9,9,5,85,0
252,9,9,4,85,0
253,8,8,5,85,1
254,12,12,5,85,1
255,15,15,5,84,1
256,11,11,5,84,1
257,18,18,5,84,1
258,46,46,7,82,1
259,75,75,11,82,1
260,84,84,14,82,1
261,86,86,17,84,1
262,82,82,19,85,1
263,83,83,19,85,1
264,79,79,18,84,1
265,65,65,17,82,1
266,69,69,16,81,1
267,70,70,15,80,1
268,72,72,15,80,1
269,85,85,16,81,1
270,78,78,16,81,4
271,78,78,16,82,8
272,65,65,16,81,11
273,26,26,13,82,13
274,6,6,10,84,17
275,9,9,6,86,21
276,1,1,2,88,24
277,10,10,0,89,27
278,13,13,0,89,30
279,11,11,0,89,34
280,11,11,0,89,37
281,16,16,0,89,40
282,13,13,0,88,44
283,23,23,1,87,47
284,61,61,4,86,49
285,83,83,8,86,53
286,86,86,13,86,57
287,88,88,17,86,60
288,89,89,19,88,63
289,84,84,20,89,66
290,75,75,19,88,70
291,78,78,19,87,73
292,76,76,18,87,76
293,74,74,18,86,79
294,76,76,18,86,83
295,74,74,18,87,86
296,77,77,19,87,89
297,77,77,19,87,92
298,77,77,19,88,96
299,57,57,18,86,99
