time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,20,20,24,0,74
1,27,27,28,8,74
2,35,35,33,15,74
3,42,42,38,21,74
4,49,49,42,26,74
5,55,55,46,30,74
6,61,61,51,35,74
7,66,66,54,38,74
8,69,69,58,41,74
9,72,72,61,44,74
10,74,74,64,45,74
11,74,74,66,46,74
12,75,75,68,46,74
13,74,74,70,46,74
14,74,74,72,46,74
15,73,73,73,46,74
16,71,71,74,45,74
17,70,70,74,44,74
18,69,69,75,43,74
19,67,67,75,42,74
20,65,65,76,41,74
21,62,62,76,40,74
22,58,58,76,39,74
23,54,54,75,39,74
24,50,50,75,38,74
25,46,46,74,38,74
26,43,43,73,38,74
27,40,40,72,39,74
28,38,38,71,39,74
29,37,37,71,40,74
30,36,36,71,37,74
31,36,36,72,36,74
32,36,36,72,36,74
33,35,35,71,36,74
34,35,35,71,38,74
35,35,35,70,39,74
36,34,34,69,40,74
37,33,33,67,41,74
38,33,33,66,42,74
39,32,32,64,42,74
40,30,30,62,42,74
41,29,29,60,41,74
42,28,28,59,40,74
43,27,27,56,39,74
44,25,25,54,38,74
45,24,24,52,37,74
46,22,22,50,35,74
47,20,20,48,34,74
48,19,19,46,32,74
49,18,18,44,30,74
50,16,16,42,28,74
51,15,15,40,26,74
52,14,14,38,25,74
53,12,12,36,24,74
54,11,11,35,23,74
55,10,10,33,23,74
56,9,9,32,24,74
57,9,9,30,24,74
58,8,8,29,25,74
59,8,8,28,25,74
60,8,8,27,25,72
61,8,8,26,25,69
62,8,8,24,25,67
63,8,8,23,25,64
64,8,8,22,24,61
65,7,7,21,23,59
66,7,7,20,22,57
67,7,7,19,22,54
68,7,7,18,20,52
69,7,7,17,19,49
70,7,7,16,18,47
71,7,7,15,17,45
72,7,7,14,15,42
73,7,7,13,14,40
74,7,7,12,13,37
75,6,6,12,11,35
76,7,7,11,10,32
77,7,7,10,9,30
78,8,8,10,7,27
79,9,9,9,6,24
80,13,13,9,5,22
81,17,17,9,6,20
82,21,21,10,8,17
83,28,28,10,11,15
84,37,37,11,17,12
85,46,46,13,23,10
86,53,53,15,30,6
87,59,59,17,36,5
88,64,64,19,43,2
89,67,67,22,48,0
90,68,68,24,53,3
91,69,69,27,57,6
92,70,70,30,61,8
93,70,70,32,64,11
94,70,70,35,66,13
95,69,69,37,68,17
96,69,69,40,69,20
97,68,68,43,70,22
98,67,67,45,70,24
99,66,66,48,70,27
100,63,63,50,69,30
101,60,60,52,68,34
102,57,57,54,66,36
103,54,54,56,63,39
104,51,51,58,61,42
105,46,46,60,58,45
106,43,43,61,54,47
107,40,40,63,51,49
108,38,38,64,47,53
109,38,38,65,43,55
110,37,37,66,39,59
111,36,36,67,36,61
112,36,36,68,34,64
113,35,35,68,33,67
114,34,34,68,33,70
115,34,34,67,34,73
116,33,33,67,36,75
117,32,32,65,37,78
118,31,31,64,38,81
119,30,30,62,39,84
120,29,29,61,39,82
121,28,28,59,39,81
122,27,27,57,39,80
123,26,26,55,38,79
124,25,25,53,37,77
125,24,24,51,36,76
126,23,23,49,35,75
127,22,22,48,33,73
128,20,20,46,31,72
129,19,19,44,29,71
130,17,17,42,27,69
131,16,16,40,26,68
132,14,14,38,24,67
133,13,13,36,23,66
134,12,12,35,23,64
135,11,11,33,22,63
136,11,11,32,22,61
137,10,10,30,23,60
138,10,10,29,23,59
139,10,10,28,23,58
140,9,9,27,23,55
141,9,9,26,23,55
142,9,9,25,22,54
143,8,8,24,22,53
144,7,7,22,22,51
145,6,6,21,21,49
146,5,5,20,21,49
147,4,4,19,20,47
148,3,3,18,20,46
149,3,3,17,19,45
150,2,2,15,19,45
151,2,2,14,19,45
152,2,2,13,18,44
153,2,2,12,17,44
154,2,2,11,16,44
155,2,2,10,16,44
156,3,3,10,14,44
157,3,3,9,13,44
158,3,3,8,12,44
159,3,3,7,11,44
160,3,3,7,10,43
161,3,3,6,9,43
162,3,3,6,9,43
163,2,2,5,8,43
164,1,1,5,8,43
165,1,1,4,7,43
166,0,0,4,7,43
167,0,0,4,7,43
168,0,0,3,7,42
169,1,1,3,6,42
170,1,1,3,6,42
171,2,2,2,5,42
172,1,1,2,4,42
173,1,1,2,4,42
174,1,1,1,3,42
175,0,0,1,3,42
176,0,0,1,2,41
177,0,0,1,2,41
178,0,0,0,2,41
179,0,0,0,2,41
180,0,0,0,3,43
181,1,1,0,3,45
182,1,1,0,3,47
183,1,1,0,3,49
184,1,1,0,3,51
185,1,1,0,2,53
186,1,1,0,2,55
187,1,1,0,2,57
188,1,1,0,2,58
189,1,1,0,2,60
190,1,1,0,2,61
191,1,1,0,1,64
192,1,1,0,1,66
193,1,1,0,1,68
194,2,2,0,1,70
195,3,3,0,1,72
196,3,3,0,2,74
197,4,4,0,2,76
198,4,4,0,2,78
199,5,5,0,3,80
200,5,5,0,3,82
201,5,5,1,4,84
202,6,6,1,4,85
203,6,6,1,4,87
204,6,6,1,5,89
205,6,6,1,5,91
206,6,6,2,5,93
207,6,6,2,5,95
208,6,6,2,5,97
209,7,7,3,5,99
210,8,8,3,5,98
211,8,8,3,6,97
212,9,9,4,6,97
213,9,9,4,6,96
214,9,9,4,6,95
215,9,9,4,6,94
216,9,9,5,6,93
217,8,8,5,6,93
218,9,9,5,6,92
219,9,9,6,6,91
220,9,9,6,6,90
221,8,8,6,6,89
222,8,8,7,5,88
223,8,8,7,4,88
224,8,8,7,4,87
225,8,8,7,4,86
226,8,8,8,3,85
227,9,9,8,3,84
228,9,9,8,3,84
229,9,9,8,2,83
230,9,9,8,2,82
231,9,9,8,2,81
232,9,9,8,2,80
233,9,9,9,2,80
234,9,9,9,2,79
235,9,9,9,1,78
236,9,9,9,1,77
237,9,9,9,1,76
238,9,9,9,1,76
239,9,9,9,0,75
240,10,10,9,1,75
241,13,13,9,2,76
242,17,17,10,4,77
243,24,24,10,8,77
244,33,33,11,13,78
245,42,42,13,19,78
246,53,53,15,27,79
247,63,63,17,35,80
248,72,72,20,44,80
249,80,80,23,52,81
250,86,86,26,60,82
251,91,91,30,68,82
252,93,93,33,74,83
253,96,96,37,80,83
254,97,97,41,85,84
255,98,98,44,89,85
256,99,99,48,92,85
257,99,99,52,95,86
258,99,99,56,97,87
259,98,98,60,98,87
260,96,96,63,99,88
261,93,93,67,98,89
262,90,90,70,97,89
263,86,86,74,95,90
264,83,83,77,93,90
265,79,79,80,90,91
266,75,75,82,86,92
267,72,72,85,81,92
268,68,68,88,76,93
269,65,65,90,70,94
270,62,62,92,64,92
271,59,59,94,58,91
272,57,57,96,52,89
273,55,55,97,46,87
274,54,54,98,43,86
275,53,53,99,41,84
276,51,51,98,41,83
277,49,49,98,43,81
278,48,48,97,45,80
279,46,46,95,47,78
280,44,44,94,49,77
281,42,42,91,51,75
282,40,40,89,52,74
283,38,38,87,53,72
284,37,37,84,54,71
285,35,35,82,54,69
286,34,34,79,53,68
287,33,33,76,53,66
288,32,32,73,51,65
289,31,31,70,49,63
290,29,29,68,47,61
291,27,27,65,45,60
292,25,25,62,43,59
293,24,24,60,42,57
294,22,22,57,40,55
295,21,21,54,38,54
296,20,20,52,37,53
297,19,19,50,36,51
298,18,18,48,35,49
299,16,16,46,34,48
