time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,33,33,18,0,66
1,30,30,15,4,66
2,26,26,10,9,66
3,23,23,6,12,66
4,21,21,2,15,66
5,20,20,0,16,66
6,34,34,2,17,66
7,49,49,9,30,66
8,57,57,17,41,66
9,71,71,27,55,66
10,84,84,38,70,66
11,90,90,48,82,66
12,94,94,58,90,66
13,96,96,67,96,66
14,89,89,73,98,66
15,85,85,78,99,66
16,78,78,81,97,66
17,65,65,82,95,66
18,57,57,82,92,66
19,48,48,81,90,66
20,45,45,79,88,66
21,41,41,77,87,66
22,36,36,75,86,66
23,34,34,73,86,66
24,31,31,70,85,66
25,27,27,68,85,66
26,25,25,65,86,66
27,21,21,62,86,66
28,19,19,60,87,66
29,23,23,57,87,66
30,46,46,59,87,66
31,66,66,62,87,66
32,85,85,67,88,66
33,96,96,73,90,66
34,91,91,79,90,66
35,96,96,85,90,66
36,95,95,90,91,66
37,95,95,94,93,66
38,92,92,97,95,66
39,84,84,98,95,66
40,68,68,97,95,66
41,56,56,94,93,66
42,50,50,90,91,66
43,42,42,86,89,66
44,38,38,82,88,66
45,32,32,77,88,66
46,29,29,73,88,66
47,26,26,70,90,66
48,25,25,67,91,66
49,26,26,65,93,66
50,26,26,63,94,66
51,26,26,62,95,66
52,26,26,61,96,66
53,27,27,61,96,66
54,28,28,61,97,66
55,32,32,61,96,66
56,38,38,62,95,66
57,41,41,64,94,66
58,46,46,66,91,66
59,52,52,69,90,66
60,59,59,70,90,64
61,64,64,69,89,61
62,64,64,67,87,59
63,59,59,64,83,57
64,46,46,61,79,55
65,38,38,56,73,53
66,34,34,50,67,51
67,33,33,45,60,48
68,30,30,40,52,46
69,29,29,35,45,44
70,29,29,32,42,42
71,29,29,30,41,40
72,28,28,28,40,37
73,26,26,26,41,35
74,26,26,25,41,33
75,25,25,25,41,30
76,25,25,24,42,29
77,27,27,24,42,26
78,33,33,25,41,24
79,40,40,26,41,22
80,46,46,28,41,20
81,53,53,30,41,18
82,57,57,33,42,15
83,57,57,35,43,13
84,52,52,37,43,11
85,51,51,39,43,9
86,50,50,40,43,6
87,41,41,40,43,4
88,37,37,39,43,2
89,36,36,38,43,0
90,36,36,36,42,3
91,34,34,34,39,6
92,33,33,31,36,10
93,33,33,29,33,13
94,32,32,28,33,17
95,32,32,27,33,20
96,32,32,27,33,23
97,31,31,27,33,26
98,31,31,27,33,30
99,31,31,27,33,33
100,32,32,27,33,36
101,32,32,27,33,40
102,33,33,28,32,43
103,34,34,29,32,46
104,37,37,29,31,49
105,42,42,31,30,53
106,49,49,33,29,55
107,51,51,35,29,59
108,54,54,37,30,63
109,53,53,38,31,66
110,55,55,39,33,69
111,49,49,38,32,73
112,42,42,37,30,76
113,33,33,35,29,79
114,31,31,33,28,82
115,31,31,32,27,86
116,27,27,30,27,89
117,26,26,28,28,92
118,25,25,27,29,96
119,24,24,26,30,99
120,22,22,25,31,97
121,19,19,24,33,96
122,17,17,22,35,94
123,18,18,21,36,92
124,15,15,20,38,90
125,16,16,18,39,89
126,26,26,18,40,87
127,31,31,18,40,85
128,37,37,18,40,83
129,43,43,19,40,82
