time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,67,67,96,0,27
1,70,70,99,6,27
2,62,62,95,12,27
3,47,47,86,34,27
4,33,33,75,55,27
5,23,23,65,69,27
6,19,19,57,78,27
7,16,16,50,83,27
8,14,14,44,86,27
9,13,13,39,87,27
10,13,13,35,87,27
11,13,13,32,86,27
12,13,13,29,85,27
13,13,13,27,84,27
14,13,13,25,83,27
15,13,13,23,82,27
16,14,14,21,80,27
17,14,14,20,79,27
18,14,14,19,78,27
19,14,14,18,76,27
20,14,14,17,75,27
21,15,15,16,74,27
22,17,17,15,72,27
23,17,17,15,71,27
24,17,17,14,70,27
25,17,17,14,69,27
26,17,17,13,67,27
27,17,17,13,66,27
28,17,17,13,65,27
29,17,17,12,64,27
30,17,17,9,55,27
31,17,17,6,42,27
32,17,17,3,26,27
33,16,16,1,14,27
34,17,17,0,8,27
35,17,17,0,6,27
36,17,17,0,5,27
37,25,25,0,8,27
38,24,24,1,10,27
39,23,23,1,11,27
40,23,23,2,12,27
41,23,23,2,13,27
42,23,23,3,13,27
43,23,23,4,13,27
44,23,23,4,13,27
45,23,23,5,13,27
46,23,23,5,14,27
47,23,23,6,13,27
48,22,22,6,13,27
49,22,22,7,13,27
50,22,22,7,13,27
51,22,22,8,12,27
52,20,20,8,12,27
53,20,20,8,12,27
54,20,20,8,12,27
55,20,20,9,11,27
56,20,20,9,11,27
57,21,21,9,11,27
58,23,23,9,10,27
59,23,23,10,10,27
60,23,23,10,10,29
61,23,23,11,9,32
62,23,23,11,9,34
63,23,23,11,8,36
64,23,23,12,7,39
65,23,23,12,6,41
66,23,23,12,4,44
67,22,22,12,4,46
68,22,22,12,4,49
69,23,23,12,4,51
70,23,23,12,4,53
71,23,23,12,4,55
72,22,22,12,4,58
73,22,22,12,4,61
74,22,22,12,4,63
75,21,21,12,4,65
76,20,20,12,4,68
77,20,20,11,4,70
78,20,20,11,4,73
79,21,21,11,4,75
80,21,21,11,4,77
81,21,21,11,4,80
82,21,21,11,4,82
83,22,22,11,4,85
84,22,22,12,4,87
85,21,21,12,3,89
86,18,18,12,4,92
87,19,19,11,4,94
88,23,23,11,4,97
89,30,30,12,8,99
90,42,42,13,16,99
91,58,58,15,30,99
92,81,81,19,50,98
93,99,99,24,72,98
94,88,88,28,84,98
95,56,56,30,86,98
96,21,21,30,86,98
97,0,0,28,89,97
98,0,0,27,91,97
99,5,5,26,93,97
100,10,10,25,94,97
101,11,11,24,94,97
102,11,11,24,95,97
103,12,12,23,96,96
104,12,12,22,96,96
105,12,12,22,97,96
106,13,13,21,97,96
107,13,13,21,98,96
108,14,14,21,98,95
109,16,16,20,98,95
110,17,17,20,98,95
111,19,19,20,99,95
112,21,21,20,99,95
113,23,23,20,98,94
114,23,23,20,98,94
115,23,23,20,98,94
116,24,24,20,98,94
117,25,25,21,98,94
118,26,26,21,98,94
119,27,27,21,98,93
120,28,28,20,97,91
121,28,28,18,95,89
122,29,29,15,85,86
123,29,29,10,65,84
124,30,30,7,42,82
125,30,30,5,34,79
126,30,30,6,35,77
127,30,30,8,33,74
128,30,30,10,30,72
129,30,30,11,29,70
130,30,30,12,28,67
131,29,29,14,27,65
132,28,28,15,26,63
133,27,27,16,25,60
134,26,26,16,23,58
135,26,26,17,21,55
136,26,26,18,19,53
