time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,1,1,1,0,70
1,1,1,1,0,70
2,1,1,1,0,70
3,1,1,1,0,70
4,1,1,1,0,70
5,1,1,1,0,70
6,1,1,1,0,70
7,1,1,1,0,70
8,1,1,1,0,70
9,1,1,1,0,70
10,1,1,1,0,70
11,1,1,1,0,70
12,1,1,1,0,70
13,1,1,1,0,70
14,1,1,1,0,70
15,0,0,1,0,70
16,0,0,1,0,70
17,0,0,0,0,70
18,0,0,0,0,70
19,0,0,0,0,70
20,0,0,0,0,70
21,0,0,0,0,70
22,0,0,0,0,70
23,0,0,0,0,70
24,0,0,0,0,70
25,0,0,0,0,70
26,0,0,0,0,70
27,0,0,0,1,70
28,0,0,0,1,70
29,0,0,0,1,70
30,0,0,0,1,70
31,0,0,0,1,70
32,0,0,0,1,70
33,0,0,0,1,70
34,0,0,0,1,70
35,0,0,0,1,70
36,0,0,0,1,70
37,0,0,0,1,70
38,0,0,0,1,70
39,0,0,0,1,70
40,0,0,0,1,70
41,0,0,0,1,70
42,0,0,0,1,70
43,0,0,0,1,70
44,0,0,0,1,70
45,0,0,0,0,70
46,1,1,0,1,70
47,1,1,0,1,70
48,1,1,0,1,70
49,1,1,0,1,70
50,1,1,0,1,70
51,1,1,0,1,70
52,1,1,0,2,70
53,1,1,0,2,70
54,1,1,0,2,70
55,1,1,0,2,70
56,1,1,0,2,70
57,1,1,0,2,70
58,1,1,0,2,70
59,1,1,0,2,70
60,1,1,0,2,71
61,1,1,0,2,72
62,1,1,0,2,73
63,2,2,0,2,74
64,2,2,0,2,74
65,2,2,1,2,75
66,2,2,1,2,76
67,2,2,1,2,77
68,2,2,1,2,78
69,2,2,1,2,79
70,2,2,1,2,80
71,2,2,1,2,81
72,2,2,1,1,82
73,2,2,1,1,83
74,2,2,1,1,84
75,2,2,1,0,85
76,2,2,1,0,86
77,2,2,1,0,87
78,2,2,1,0,88
79,2,2,2,0,89
80,2,2,2,0,90
81,2,2,2,0,91
82,2,2,2,0,92
83,2,2,2,0,93
84,2,2,2,0,94
85,2,2,2,0,95
86,2,2,2,0,96
87,2,2,2,0,97
88,2,2,2,0,98
89,2,2,2,0,99
90,2,2,2,0,97
91,2,2,2,0,95
92,2,2,2,0,94
93,2,2,2,0,92
94,2,2,2,0,90
95,2,2,2,0,88
96,2,2,2,0,86
97,2,2,2,0,84
98,2,2,2,0,83
99,2,2,2,0,81
100,2,2,2,0,79
101,2,2,2,0,77
102,2,2,2,0,75
103,2,2,2,0,74
104,2,2,2,0,72
105,2,2,2,0,70
106,2,2,2,0,68
107,2,2,2,0,66
108,2,2,2,0,65
109,2,2,2,0,63
110,3,3,2,0,61
111,3,3,2,0,59
112,3,3,2,0,57
113,3,3,2,0,55
114,3,3,2,0,54
115,3,3,2,0,52
116,3,3,2,1,49
117,3,3,2,1,48
118,3,3,2,1,46
119,3,3,2,1,45
120,3,3,2,1,43
121,3,3,2,1,42
122,3,3,3,1,40
123,3,3,3,1,39
124,3,3,3,1,37
125,3,3,3,1,36
126,3,3,3,1,34
127,3,3,3,1,33
128,3,3,3,1,30
129,3,3,3,1,30
130,3,3,3,1,27
131,3,3,3,1,27
132,3,3,3,1,24
133,3,3,3,1,24
134,4,4,3,1,22
135,4,4,3,1,21
136,5,5,3,1,19
137,5,5,3,1,18
138,6,6,3,2,16
139,7,7,4,3,15
140,8,8,4,4,13
141,10,10,4,5,12
142,12,12,4,6,10
143,14,14,5,8,9
144,16,16,5,10,6
145,19,19,6,13,6
146,22,22,7,16,4
147,25,25,7,19,3
148,28,28,8,22,1
149,32,32,10,26,0
150,35,35,11,30,2
151,39,39,12,34,4
152,43,43,14,38,6
153,47,47,15,42,8
154,50,50,17,47,9
155,54,54,19,51,11
156,57,57,21,55,13
157,60,60,23,59,15
158,62,62,25,63,17
159,64,64,28,66,19
160,66,66,30,69,21
161,67,67,33,71,23
162,67,67,35,73,24
163,67,67,37,74,26
164,66,66,40,74,27
165,65,65,42,73,30
166,63,63,44,72,32
167,60,60,46,70,34
168,57,57,48,68,36
169,54,54,50,65,38
170,50,50,52,61,40
171,47,47,53,57,42
172,43,43,54,53,44
173,39,39,55,50,45
174,36,36,56,46,47
175,32,32,57,44,49
176,29,29,57,42,51
177,26,26,57,42,53
178,24,24,57,43,55
179,22,22,56,45,57
180,21,21,56,47,55
181,20,20,55,50,55
182,19,19,54,52,55
183,19,19,53,55,55
184,19,19,52,57,55
185,20,20,51,59,55
186,21,21,49,60,55
187,23,23,48,60,54
188,24,24,46,60,54
189,27,27,45,59,54
190,29,29,44,57,54
191,32,32,42,54,53
192,35,35,41,52,53
193,38,38,40,48,53
194,41,41,39,45,52
195,44,44,38,42,52
196,48,48,38,39,52
197,51,51,37,37,51
198,55,55,37,37,51
199,59,59,37,38,51
200,62,62,38,40,51
201,66,66,39,43,49
202,69,69,39,47,49
203,72,72,41,52,49
204,75,75,42,57,49
205,78,78,44,61,49
206,81,81,46,65,49
207,84,84,48,69,49
208,87,87,51,73,48
209,89,89,53,76,48
210,91,91,56,78,47
211,93,93,59,80,47
212,95,95,61,81,46
213,96,96,64,82,45
214,97,97,67,82,45
215,98,98,70,81,44
216,98,98,73,80,43
217,99,99,76,78,42
218,98,98,79,76,42
219,98,98,82,73,41
220,97,97,84,70,40
221,96,96,87,67,40
222,94,94,89,63,39
223,92,92,91,58,38
224,90,90,93,54,38
225,87,87,94,49,37
226,84,84,96,44,36
227,81,81,97,40,36
228,77,77,98,36,35
229,74,74,98,33,34
230,70,70,99,32,34
231,65,65,98,32,33
232,61,61,98,33,32
233,57,57,98,37,30
234,53,53,97,41,30
235,48,48,96,46,30
236,44,44,94,51,29
237,40,40,92,57,29
238,35,35,91,63,27
239,31,31,88,68,27
240,28,28,86,74,27
241,24,24,83,79,29
242,21,21,81,83,29
243,18,18,78,87,30
244,15,15,74,91,30
245,12,12,71,93,30
246,10,10,68,96,32
247,8,8,64,97,33
248,6,6,61,98,34
249,5,5,57,99,34
250,4,4,54,98,35
251,3,3,50,97,36
252,2,2,47,95,36
253,1,1,43,93,37
254,1,1,40,91,38
255,1,1,37,87,38
256,0,0,34,84,39
257,0,0,31,80,40
258,0,0,28,75,40
259,0,0,25,71,41
260,1,1,22,66,42
261,1,1,20,61,42
262,1,1,17,56,43
263,1,1,15,51,44
264,1,1,13,46,45
265,1,1,12,41,45
266,1,1,10,36,46
267,2,2,9,32,47
268,2,2,7,28,47
269,2,2,6,24,48
270,3,3,5,20,47
271,3,3,5,17,46
272,4,4,4,14,45
273,5,5,3,11,44
274,6,6,3,9,43
275,7,7,3,8,42
276,9,9,3,8,41
277,11,11,3,8,41
278,13,13,3,10,40
279,15,15,4,12,39
280,18,18,4,14,38
281,21,21,5,17,37
282,24,24,6,20,36
283,27,27,7,24,35
284,31,31,8,27,34
285,35,35,9,31,33
286,39,39,11,35,32
287,43,43,12,40,30
288,47,47,14,44,30
289,52,52,16,49,29
290,56,56,18,54,27
291,60,60,20,58,27
292,65,65,23,63,26
293,69,69,25,68,26
294,73,73,28,73,24
295,77,77,31,77,24
296,81,81,34,81,23
297,84,84,37,85,22
298,87,87,40,89,21
299,90,90,43,92,20
