time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,36,36,39,0,0
1,35,35,38,1,0
2,34,34,37,2,0
3,33,33,37,4,0
4,32,32,36,5,0
5,31,31,35,6,0
6,30,30,35,7,0
7,30,30,34,8,0
8,29,29,34,9,0
9,28,28,33,9,0
10,27,27,33,10,0
11,26,26,32,11,0
12,26,26,32,12,0
13,25,25,31,13,0
14,25,25,31,13,0
15,24,24,30,14,0
16,23,23,30,14,0
17,23,23,29,15,0
18,22,22,29,15,0
19,22,22,28,16,0
20,21,21,28,16,0
21,21,21,28,16,0
22,21,21,27,17,0
23,20,20,27,17,0
24,20,20,27,18,0
25,19,19,26,18,0
26,18,18,26,19,0
27,18,18,25,19,0
28,17,17,25,20,0
29,16,16,25,20,0
30,15,15,24,20,0
31,14,14,23,20,0
32,13,13,22,20,0
33,13,13,21,20,0
34,12,12,20,20,0
35,13,13,19,19,0
36,12,12,19,19,0
37,12,12,18,19,0
38,11,11,17,19,0
39,10,10,16,19,0
40,10,10,16,19,0
41,9,9,15,19,0
42,8,8,14,19,0
43,8,8,13,19,0
44,7,7,13,19,0
45,6,6,12,19,0
46,5,5,11,20,0
47,4,4,10,20,0
48,4,4,10,20,0
49,4,4,9,20,0
50,4,4,8,20,0
51,4,4,7,20,0
52,6,6,7,19,0
53,8,8,6,18,0
54,11,11,6,17,0
55,15,15,6,16,0
56,20,20,6,17,0
57,25,25,6,19,0
58,31,31,7,23,0
59,36,36,8,28,0
60,41,41,9,34,0
61,46,46,10,41,1
62,50,50,12,48,1
63,53,53,13,54,2
64,57,57,15,60,2
65,58,58,17,66,3
66,61,61,19,72,3
67,63,63,21,77,3
68,64,64,24,81,4
69,64,64,26,85,4
70,64,64,28,88,5
71,64,64,31,90,5
72,64,64,33,91,5
73,63,63,35,92,6
74,63,63,38,93,6
75,63,63,40,92,6
76,63,63,43,91,6
77,64,64,45,89,8
78,64,64,48,86,8
79,65,65,50,83,8
80,66,66,53,79,9
81,67,67,56,74,9
82,69,69,58,69,10
83,71,71,61,63,10
84,72,72,64,57,10
85,74,74,66,51,11
86,75,75,69,45,11
