time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,65,65,68,0,43
1,66,66,70,1,43
2,67,67,73,2,43
3,62,62,68,5,43
4,63,63,66,5,43
5,65,65,66,4,43
6,62,62,64,5,43
7,62,62,63,5,43
8,62,62,61,5,43
9,61,61,60,6,43
10,64,64,60,5,43
11,65,65,61,5,43
12,65,65,61,5,43
13,64,64,62,5,43
14,66,66,62,5,43
15,69,69,64,6,43
16,69,69,66,7,43
17,62,62,65,7,43
18,51,51,61,12,43
19,44,44,56,18,43
20,43,43,50,23,43
21,51,51,48,23,43
22,64,64,48,23,43
23,74,74,51,24,43
24,76,76,54,25,43
25,75,75,57,26,43
26,74,74,59,26,43
27,69,69,60,26,43
28,70,70,61,26,43
29,72,72,63,26,43
30,69,69,64,26,43
31,69,69,64,26,43
32,66,66,64,26,43
33,63,63,64,26,43
34,65,65,65,26,43
35,62,62,64,26,43
36,65,65,65,26,43
37,63,63,65,26,43
38,62,62,65,26,43
39,64,64,65,26,43
40,61,61,65,26,43
41,65,65,65,26,43
42,66,66,65,26,43
43,64,64,65,26,43
44,65,65,65,26,43
45,63,63,64,26,43
46,63,63,62,26,43
47,60,60,62,26,43
48,60,60,64,25,43
49,63,63,67,21,43
50,68,68,72,17,43
51,67,67,75,14,43
52,60,60,74,14,43
53,49,49,70,17,43
54,42,42,64,20,43
55,41,41,57,24,43
56,47,47,53,24,43
57,62,62,51,24,43
58,73,73,52,25,43
59,76,76,53,25,43
60,74,74,54,26,44
61,74,74,54,27,45
62,67,67,55,27,46
63,68,68,55,27,47
64,69,69,56,27,48
65,66,66,57,27,48
66,68,68,57,27,49
67,64,64,58,27,49
68,65,65,58,27,51
69,63,63,58,27,52
70,62,62,58,27,52
71,65,65,58,27,53
72,65,65,58,27,54
73,65,65,58,27,55
74,62,62,58,27,55
75,61,61,58,27,57
76,60,60,57,27,57
77,61,61,57,27,58
78,64,64,58,27,59
79,59,59,57,27,60
80,61,61,56,27,61
81,61,61,55,27,61
82,62,62,55,27,61
83,66,66,58,26,63
84,68,68,63,23,64
85,65,65,68,17,65
86,57,57,69,15,66
87,46,46,67,18,67
88,42,42,61,22,67
89,47,47,56,23,68
90,56,56,52,22,68
91,66,66,51,21,68
92,70,70,51,21,67
93,71,71,52,21,67
94,73,73,53,22,67
95,71,71,54,23,66
96,74,74,55,23,66
97,71,71,56,24,66
98,68,68,57,24,65
99,65,65,57,24,65
100,62,62,57,24,65
101,65,65,57,24,65
102,65,65,57,24,64
103,67,67,58,24,64
104,64,64,58,24,64
105,62,62,58,24,63
106,60,60,58,24,63
107,61,61,58,24,63
108,65,65,58,24,61
109,64,64,59,24,61
110,62,62,59,24,61
111,62,62,59,24,61
112,61,61,59,24,61
113,62,62,58,24,61
114,64,64,57,24,61
115,67,67,58,24,60
116,64,64,59,24,60
117,56,56,61,22,60
118,47,47,62,20,60
119,45,45,61,21,59
120,45,45,59,23,59
121,54,54,57,24,58
122,65,65,56,23,58
123,75,75,57,24,57
124,74,74,57,24,57
125,74,74,58,24,55
126,73,73,57,24,55
127,72,72,58,24,55
128,75,75,59,25,55
129,69,69,59,25,54
130,67,67,60,25,54
131,65,65,60,25,54
132,63,63,60,25,53
133,70,70,60,26,53
134,65,65,60,26,52
135,59,59,60,26,52
136,56,56,59,26,51
137,58,58,59,26,51
138,63,63,58,26,49
139,62,62,58,26,49
140,63,63,58,26,49
141,61,61,58,26,49
142,62,62,58,26,48
143,65,65,58,26,48
144,63,63,58,26,47
145,65,65,58,26,47
146,66,66,58,26,46
147,68,68,60,26,46
148,67,67,64,24,46
149,60,60,67,21,45
150,49,49,67,20,46
151,43,43,65,23,47
152,41,41,61,27,48
153,50,50,56,27,48
154,62,62,54,26,49
155,76,76,55,27,49
156,77,77,55,27,51
157,77,77,56,28,52
158,74,74,56,28,52
159,70,70,56,28,53
160,75,75,58,29,54
161,71,71,59,29,55
162,69,69,60,29,55
163,67,67,60,29,57
164,62,62,59,29,57
165,64,64,60,29,58
166,64,64,61,29,59
167,66,66,63,29,60
168,65,65,63,29,61
169,63,63,64,29,61
170,63,63,64,29,61
171,61,61,64,29,63
172,62,62,64,28,64
173,60,60,63,29,65
174,59,59,62,29,66
175,62,62,62,29,66
176,59,59,61,29,67
177,58,58,59,29,68
178,62,62,58,29,69
179,59,59,58,29,70
180,44,44,57,30,67
181,10,10,51,42,65
182,0,0,43,55,63
183,3,3,35,64,60
184,23,23,27,68,58
185,45,45,22,67,55
186,44,44,16,66,53
187,49,49,11,65,51
188,83,83,12,66,49
189,90,90,16,69,46
190,77,77,16,69,44
191,74,74,17,69,42
192,87,87,20,71,40
193,85,85,23,73,37
194,81,81,27,75,35
195,75,75,29,75,33
196,64,64,29,75,30
197,43,43,25,76,27
198,17,17,16,79,26
199,12,12,7,83,23
200,24,24,0,85,21
201,71,71,1,85,19
202,91,91,7,88,16
203,99,99,14,92,13
204,90,90,19,94,12
205,83,83,23,96,9
206,83,83,27,97,6
207,73,73,30,97,5
208,75,75,32,98,2
209,76,76,36,98,0
210,78,78,42,99,1
211,80,80,54,94,3
212,70,70,67,86,4
213,69,69,79,77,5
214,65,65,87,72,6
215,60,60,89,71,8
216,63,63,93,69,9
217,59,59,95,68,10
218,59,59,91,68,11
219,64,64,86,67,13
220,63,63,83,67,13
221,65,65,82,67,15
222,63,63,77,66,17
223,65,65,74,65,18
224,72,72,72,64,19
225,66,66,70,64,20
226,66,66,71,64,22
227,65,65,75,62,23
228,61,61,83,55,24
229,63,63,92,43,26
230,60,60,99,33,27
231,51,51,95,35,27
232,44,44,86,36,29
233,43,43,76,34,30
234,44,44,68,34,32
235,54,54,63,32,33
236,67,67,60,30,34
237,76,76,60,31,36
238,78,78,61,31,37
239,69,69,60,30,38
240,68,68,58,29,40
241,65,65,55,27,42
242,60,60,53,27,44
243,65,65,52,27,46
244,63,63,52,26,48
245,65,65,53,26,49
246,71,71,54,27,52
247,65,65,55,27,55
248,62,62,56,27,57
249,63,63,56,27,59
250,59,59,55,27,61
251,62,62,54,27,63
252,61,61,54,27,65
253,58,58,53,27,67
254,63,63,51,26,69
255,63,63,51,26,71
256,65,65,50,26,73
257,70,70,51,26,75
258,65,65,52,27,77
259,65,65,52,27,79
260,64,64,53,27,81
261,62,62,55,26,83
262,65,65,59,23,85
263,65,65,63,19,87
264,67,67,67,15,89
