time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,68,68,49,0,9
1,65,65,43,5,9
2,63,63,39,6,9
3,63,63,37,6,9
4,62,62,35,6,9
5,60,60,33,7,9
6,57,57,30,9,9
7,56,56,28,11,9
8,56,56,26,11,9
9,56,56,24,12,9
10,56,56,23,12,9
11,57,57,22,12,9
12,59,59,22,11,9
13,61,61,22,11,9
14,62,62,22,10,9
15,63,63,23,10,9
16,64,64,24,10,9
17,64,64,24,10,9
18,64,64,25,10,9
19,65,65,26,10,9
20,65,65,26,11,9
21,65,65,27,11,9
22,67,67,28,11,9
23,67,67,28,11,9
24,68,68,29,11,9
25,69,69,30,12,9
26,69,69,31,12,9
27,69,69,32,12,9
28,70,70,32,13,9
29,70,70,33,13,9
30,71,71,33,14,9
31,72,72,34,14,9
32,72,72,35,15,9
33,73,73,36,16,9
34,74,74,38,17,9
35,74,74,39,17,9
36,75,75,41,17,9
37,74,74,43,17,9
38,75,75,45,17,9
39,75,75,47,16,9
40,74,74,49,15,9
41,75,75,51,14,9
42,75,75,52,13,9
43,75,75,54,13,9
44,75,75,55,12,9
45,76,76,57,12,9
46,76,76,58,11,9
47,76,76,59,11,9
48,75,75,60,10,9
49,76,76,62,10,9
50,76,76,63,9,9
51,76,76,64,8,9
52,76,76,65,8,9
53,76,76,66,7,9
54,76,76,66,6,9
55,76,76,67,6,9
56,76,76,68,5,9
57,76,76,69,5,9
58,76,76,69,4,9
59,75,75,70,3,9
60,75,75,70,3,12
61,75,75,71,2,13
62,75,75,71,2,16
63,76,76,71,1,18
64,75,75,71,1,21
65,70,70,71,3,23
66,69,69,70,4,24
67,71,71,70,5,27
68,73,73,70,5,30
69,72,72,69,5,32
70,71,71,69,5,34
71,73,73,69,5,36
72,71,71,68,6,38
73,69,69,68,6,41
74,68,68,67,7,43
75,67,67,66,8,45
76,67,67,65,8,47
77,69,69,65,9,49
78,67,67,64,9,52
79,66,66,63,10,54
80,65,65,62,10,55
81,68,68,61,10,59
82,67,67,60,10,61
83,67,67,59,11,63
84,66,66,58,11,65
85,65,65,57,11,68
86,67,67,56,11,70
87,66,66,55,11,72
88,66,66,53,10,74
89,61,61,52,11,76
90,48,48,49,15,77
91,26,26,44,27,78
92,1,1,36,44,79
93,0,0,28,56,79
94,0,0,20,65,80
95,6,6,13,71,81
96,12,12,7,74,82
97,23,23,2,76,82
98,52,52,0,75,83
99,71,71,0,75,84
100,72,72,0,75,85
101,74,74,0,75,85
102,76,76,0,75,86
103,75,75,1,76,87
104,75,75,2,76,88
105,77,77,3,77,88
106,75,75,4,78,89
107,79,79,5,78,90
108,77,77,6,79,91
109,79,79,7,80,91
110,79,79,8,81,92
111,81,81,10,82,93
112,82,82,12,83,94
113,86,86,14,84,94
114,88,88,16,86,95
115,89,89,18,87,96
116,89,89,21,89,97
117,90,90,23,90,97
118,93,93,26,92,98
119,94,94,30,94,99
120,92,92,34,95,96
121,90,90,41,93,93
122,88,88,51,86,90
123,85,85,60,77,87
124,79,79,68,66,83
125,74,74,75,54,80
126,72,72,82,40,77
127,69,69,86,26,74
128,68,68,88,22,71
129,66,66,88,23,68
130,67,67,87,24,65
131,68,68,86,25,61
132,68,68,86,25,58
133,67,67,85,26,55
134,67,67,84,27,52
135,68,68,83,27,49
136,67,67,82,28,46
137,69,69,81,29,43
138,68,68,80,29,40
139,67,67,79,30,37
140,67,67,78,30,33
141,67,67,76,31,30
142,68,68,75,31,27
143,70,70,73,31,24
144,69,69,71,30,21
145,70,70,69,29,18
146,71,71,67,28,15
147,71,71,65,26,12
148,73,73,63,24,8
149,68,68,60,21,5
150,69,69,58,18,8
151,68,68,55,15,11
152,67,67,53,11,13
153,69,69,52,7,16
154,68,68,50,5,19
