time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,23,23,12,0,19
1,22,22,11,2,19
2,23,23,11,2,19
3,23,23,11,2,19
4,27,27,13,6,19
5,42,42,18,26,19
6,34,34,20,26,19
7,30,30,21,24,19
8,23,23,20,24,19
9,18,18,18,25,19
10,12,12,15,29,19
11,10,10,13,31,19
12,9,9,11,34,19
13,8,8,9,35,19
14,8,8,7,36,19
15,0,0,5,40,19
16,4,4,3,41,19
17,12,12,2,40,19
18,19,19,2,39,19
19,19,19,2,38,19
20,20,20,3,37,19
21,18,18,2,37,19
22,13,13,2,36,19
23,13,13,2,35,19
24,13,13,1,35,19
25,13,13,1,34,19
26,13,13,1,34,19
27,16,16,0,33,19
28,23,23,1,33,19
29,43,43,2,37,19
30,39,39,3,39,19
31,37,37,4,41,19
32,25,25,4,41,19
33,17,17,4,41,19
34,15,15,3,41,19
35,14,14,2,37,19
36,15,15,0,36,19
37,16,16,0,35,19
38,23,23,0,35,19
39,33,33,0,36,19
40,55,55,3,44,19
41,73,73,7,57,19
42,75,75,11,67,19
43,77,77,16,75,19
44,78,78,20,82,19
45,66,66,24,84,19
46,68,68,29,85,19
47,71,71,32,88,19
48,71,71,36,91,19
49,68,68,39,93,19
50,59,59,41,93,19
51,56,56,44,93,19
52,57,57,46,91,19
53,67,67,50,91,19
54,58,58,53,89,19
55,49,49,55,86,19
56,37,37,57,83,19
57,29,29,58,81,19
58,22,22,57,81,19
59,22,22,56,83,19
60,48,48,57,83,22
61,65,65,59,83,24
62,67,67,61,83,27
63,68,68,64,80,30
64,76,76,68,78,33
65,85,85,73,76,35
66,85,85,77,74,38
67,76,76,81,69,41
68,57,57,83,64,43
69,47,47,84,62,46
70,55,55,84,62,49
71,57,57,83,61,51
72,48,48,82,61,54
73,41,41,79,61,57
74,40,40,77,61,59
75,40,40,75,61,61
76,38,38,73,62,64
77,33,33,71,63,67
78,30,30,68,64,70
79,27,27,66,65,72
80,25,25,63,67,75
81,21,21,61,70,78
82,19,19,59,73,80
83,16,16,55,74,83
84,12,12,53,77,86
85,20,20,51,79,88
86,42,42,51,79,91
87,57,57,53,79,94
88,60,60,55,78,96
89,61,61,58,76,99
90,67,67,59,78,98
91,72,72,59,78,98
92,70,70,59,79,97
93,57,57,59,78,97
94,37,37,56,76,96
95,44,44,54,71,95
96,49,49,51,65,95
97,45,45,49,61,94
98,36,36,48,60,93
99,33,33,47,61,93
100,33,33,46,60,92
101,32,32,44,59,92
102,29,29,43,59,91
103,25,25,42,60,90
104,23,23,41,61,90
105,20,20,40,62,89
106,18,18,38,64,89
107,14,14,37,66,88
108,13,13,36,67,87
109,10,10,35,69,87
110,15,15,34,70,86
111,39,39,36,70,86
112,56,56,38,70,85
113,59,59,41,70,84
114,60,60,44,69,84
115,68,68,47,70,83
116,76,76,49,74,82
117,77,77,50,77,82
118,71,71,51,78,81
119,52,52,50,78,81
120,41,41,49,76,80
121,50,50,47,73,80
122,53,53,46,71,80
123,46,46,46,70,79
124,38,38,46,70,79
125,36,36,45,70,79
126,37,37,44,70,79
127,34,34,44,70,78
128,30,30,43,71,78
129,27,27,43,71,78
130,25,25,42,71,77
131,22,22,42,72,77
132,23,23,41,73,77
133,25,25,41,73,76
134,30,30,42,72,76
135,49,49,44,71,76
136,67,67,47,72,75
137,84,84,51,75,75
138,89,89,56,78,75
139,90,90,61,79,75
140,83,83,66,78,74
141,75,75,68,80,74
142,77,77,69,81,74
143,79,79,70,83,73
144,80,80,72,85,73
145,73,73,72,85,73
146,67,67,72,84,72
147,62,62,71,83,72
148,59,59,70,82,72
149,71,71,71,83,71
150,59,59,72,83,69
151,50,50,72,83,67
152,43,43,72,83,64
153,30,30,71,85,61
154,24,24,70,87,60
155,20,20,69,89,57
156,20,20,67,91,55
157,21,21,67,93,53
158,26,26,66,93,49
159,27,27,66,93,48
160,37,37,67,92,46
161,53,53,69,90,43
162,59,59,71,87,41
163,56,56,73,85,39
164,51,51,75,83,36
165,42,42,74,83,34
166,40,40,72,84,32
167,32,32,69,82,29
168,38,38,66,79,27
169,38,38,63,75,24
170,38,38,60,71,22
171,36,36,57,69,20
172,44,44,55,66,18
173,53,53,53,62,15
174,45,45,51,57,13
175,40,40,49,53,11
176,31,31,47,51,8
177,25,25,44,50,6
178,18,18,42,50,4
179,15,15,38,47,1
180,14,14,35,47,2
181,15,15,33,48,4
182,16,16,31,49,5
183,18,18,31,50,6
184,9,9,30,53,6
185,17,17,29,53,8
186,23,23,30,53,9
187,27,27,30,52,10
188,27,27,30,52,11
189,25,25,30,52,12
190,21,21,29,53,13
191,19,19,27,51,13
192,19,19,24,48,15
