time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,83,83,78,0,45
1,86,86,80,3,45
2,88,88,82,5,45
3,90,90,83,6,45
4,91,91,84,6,45
5,92,92,85,7,45
6,92,92,86,7,45
7,93,93,87,7,45
8,93,93,87,8,45
9,94,94,88,8,45
10,94,94,89,8,45
11,94,94,89,8,45
12,95,95,89,8,45
13,95,95,90,8,45
14,95,95,90,8,45
15,95,95,90,8,45
16,95,95,91,8,45
17,95,95,91,8,45
18,95,95,91,8,45
19,96,96,91,8,45
20,96,96,92,8,45
21,96,96,92,8,45
22,97,97,92,8,45
23,96,96,92,8,45
24,96,96,92,8,45
25,96,96,93,8,45
26,96,96,93,8,45
27,97,97,93,8,45
28,97,97,93,8,45
29,97,97,93,8,45
30,97,97,94,6,45
31,97,97,94,5,45
32,97,97,95,5,45
33,98,98,95,4,45
34,98,98,96,4,45
35,98,98,96,3,45
36,97,97,96,3,45
37,97,97,96,3,45
38,98,98,97,3,45
39,98,98,97,3,45
40,98,98,97,3,45
41,97,97,97,2,45
42,97,97,97,2,45
43,98,98,97,2,45
44,97,97,97,2,45
45,97,97,98,2,45
46,97,97,98,1,45
47,97,97,98,1,45
48,97,97,98,1,45
49,97,97,98,1,45
50,97,97,98,1,45
51,97,97,98,1,45
52,96,96,98,1,45
53,96,96,98,1,45
54,96,96,98,1,45
55,96,96,98,1,45
56,96,96,98,1,45
57,96,96,98,1,45
58,96,96,98,1,45
59,96,96,98,1,45
60,95,95,98,1,45
61,95,95,98,1,46
62,95,95,98,1,46
63,95,95,97,2,46
64,96,96,97,2,47
65,95,95,97,2,47
66,95,95,97,2,47
67,95,95,97,2,48
68,94,94,97,2,48
69,93,93,97,2,48
70,93,93,96,2,49
71,90,90,96,3,49
72,81,81,95,7,49
73,69,69,94,14,49
74,56,56,92,22,49
75,48,48,90,30,49
76,41,41,87,37,51
77,35,35,84,45,51
78,30,30,81,52,51
79,25,25,77,58,52
80,20,20,74,64,52
81,17,17,70,70,52
82,13,13,66,75,53
83,10,10,62,80,53
84,8,8,57,84,53
85,6,6,53,88,54
86,4,4,49,91,54
87,3,3,44,94,54
88,1,1,40,96,55
89,0,0,35,98,55
90,0,0,30,99,55
91,3,3,26,98,55
92,12,12,22,97,57
93,22,22,18,94,57
94,32,32,15,91,58
95,41,41,13,87,58
96,53,53,11,83,59
97,62,62,9,79,60
98,68,68,8,76,60
99,73,73,7,73,61
100,77,77,6,70,61
101,82,82,6,69,61
102,85,85,6,69,61
103,87,87,7,72,63
104,88,88,8,75,63
105,89,89,10,79,64
106,91,91,12,83,65
107,92,92,15,87,65
108,92,92,18,90,66
109,92,92,21,92,66
110,93,93,25,94,67
111,94,94,29,96,67
112,94,94,33,96,68
113,94,94,37,96,68
114,94,94,41,95,69
115,95,95,45,93,70
116,95,95,49,91,70
117,96,96,54,87,71
118,96,96,58,82,71
119,96,96,63,76,72
120,96,96,68,69,70
121,96,96,72,60,67
122,96,96,76,51,65
123,96,96,80,43,63
124,96,96,83,35,60
125,96,96,86,28,58
126,97,97,88,22,55
127,97,97,89,18,53
128,98,98,91,15,51
129,98,98,92,12,49
130,98,98,93,10,47
