time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,89,89,86,0,64
1,91,91,88,2,64
2,90,90,87,1,64
3,89,89,87,1,64
4,90,90,87,1,64
5,90,90,87,1,64
6,89,89,87,1,64
7,91,91,87,1,64
8,91,91,88,1,64
9,89,89,87,1,64
10,90,90,88,1,64
11,89,89,87,1,64
12,89,89,87,1,64
13,89,89,87,1,64
14,89,89,87,1,64
15,90,90,87,1,64
16,88,88,87,1,64
17,89,89,87,2,64
18,88,88,87,2,64
19,88,88,87,2,64
20,88,88,87,2,64
21,87,87,86,2,64
22,87,87,86,2,64
23,87,87,86,2,64
24,87,87,86,3,64
25,87,87,86,3,64
26,86,86,86,3,64
27,86,86,85,3,64
28,85,85,85,3,64
29,78,78,85,6,64
30,61,61,83,14,64
31,53,53,81,21,64
32,46,46,79,28,64
33,39,39,76,35,64
34,33,33,73,42,64
35,28,28,70,49,64
36,24,24,66,55,64
37,20,20,63,61,64
38,16,16,59,66,64
39,13,13,55,71,64
40,11,11,51,75,64
41,8,8,46,79,64
42,5,5,42,83,64
43,4,4,37,86,64
44,3,3,33,89,64
45,1,1,28,91,64
46,1,1,23,92,64
47,0,0,19,93,64
48,14,14,15,92,64
49,28,28,12,90,64
50,42,42,9,87,64
51,50,50,7,84,64
52,59,59,6,81,64
53,62,62,4,79,64
54,68,68,3,76,64
55,71,71,2,74,64
56,76,76,2,73,64
57,78,78,2,72,64
58,80,80,1,71,64
59,82,82,1,71,64
60,83,83,3,74,64
61,83,83,4,77,64
62,84,84,6,80,64
63,84,84,9,83,64
64,85,85,11,85,63
65,85,85,14,87,63
66,87,87,18,89,63
67,86,86,21,90,63
68,86,86,25,90,63
69,88,88,29,90,63
70,88,88,33,89,63
71,88,88,37,87,63
72,87,87,42,84,63
73,88,88,46,80,63
74,88,88,51,75,63
75,89,89,55,69,63
76,88,88,60,60,63
77,88,88,65,49,63
78,89,89,69,39,61
79,88,88,72,31,61
80,89,89,74,25,61
81,89,89,76,20,61
82,89,89,78,17,61
83,90,90,79,13,61
84,89,89,80,11,61
85,90,90,81,9,61
86,91,91,82,7,61
87,90,90,83,7,61
88,91,91,83,6,61
89,91,91,84,5,61
90,91,91,84,5,63
91,90,90,85,5,64
92,91,91,85,4,65
93,91,91,85,4,67
94,90,90,86,4,68
95,90,90,86,3,69
96,90,90,86,3,70
97,90,90,86,3,72
98,90,90,87,3,73
99,90,90,87,3,74
100,89,89,87,2,75
101,90,90,87,2,77
102,90,90,87,2,78
103,90,90,87,2,79
104,91,91,87,2,80
105,90,90,87,2,82
106,90,90,87,2,83
107,91,91,88,2,84
108,89,89,88,2,85
109,90,90,88,1,87
110,90,90,88,1,88
111,89,89,88,1,89
112,88,88,88,1,90
113,88,88,88,2,92
114,88,88,88,2,93
115,88,88,87,2,94
116,88,88,87,2,95
117,87,87,87,2,97
118,87,87,87,2,98
119,87,87,87,3,99
120,86,86,86,3,98
121,86,86,86,3,96
122,86,86,86,3,95
123,87,87,86,3,93
124,86,86,86,3,92
125,86,86,85,3,90
126,81,81,85,5,89
127,66,66,84,11,88
128,57,57,82,18,86
