time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,95,95,93,0,44
1,96,96,94,0,44
2,96,96,94,0,44
3,95,95,93,1,44
4,95,95,93,1,44
5,94,94,93,1,44
6,95,95,93,1,44
7,95,95,93,1,44
8,95,95,93,1,44
9,96,96,93,1,44
10,95,95,93,1,44
11,94,94,93,1,44
12,95,95,93,1,44
13,95,95,93,1,44
14,95,95,93,1,44
15,95,95,93,1,44
16,94,94,93,1,44
17,94,94,92,1,44
18,94,94,92,1,44
19,94,94,92,1,44
20,94,94,92,1,44
21,94,94,92,1,44
22,95,95,92,1,44
23,94,94,92,1,44
24,94,94,92,1,44
25,94,94,92,1,44
26,94,94,92,1,44
27,93,93,92,2,44
28,93,93,92,2,44
29,92,92,92,2,44
30,89,89,91,3,44
31,78,78,90,8,44
32,62,62,88,16,44
33,54,54,86,24,44
34,47,47,83,32,44
35,40,40,80,39,44
36,35,35,77,46,44
37,30,30,73,53,44
38,26,26,69,59,44
39,23,23,65,65,44
40,20,20,61,70,44
41,16,16,57,75,44
42,14,14,52,79,44
43,11,11,47,83,44
44,9,9,43,87,44
45,9,9,38,89,44
46,8,8,33,92,44
47,6,6,28,93,44
48,5,5,23,95,44
49,7,7,18,95,44
50,24,24,14,93,44
51,37,37,11,91,44
52,50,50,8,88,44
53,60,60,7,85,44
54,67,67,5,82,44
55,76,76,4,80,44
56,80,80,3,78,44
57,83,83,3,77,44
58,86,86,2,76,44
59,87,87,2,75,44
60,90,90,2,75,44
61,90,90,3,77,44
62,91,91,4,80,44
63,92,92,6,83,44
64,92,92,9,86,44
65,93,93,12,88,44
66,94,94,15,91,44
67,93,93,19,93,44
68,94,94,23,94,44
69,93,93,27,94,45
70,94,94,31,95,45
71,93,93,35,94,45
72,94,94,40,92,45
73,94,94,44,89,45
74,94,94,49,86,45
75,94,94,54,81,45
76,96,96,59,76,45
77,95,95,64,68,45
78,95,95,69,59,45
79,95,95,74,47,45
80,96,96,78,37,45
81,95,95,81,29,45
82,95,95,84,22,45
83,95,95,86,17,45
84,95,95,87,12,46
85,96,96,88,10,46
86,97,97,89,8,46
87,96,96,90,6,46
88,96,96,91,5,46
89,96,96,91,4,46
90,96,96,91,4,48
91,97,97,92,4,49
92,97,97,92,3,51
93,97,97,92,3,53
94,96,96,93,3,55
95,96,96,93,3,55
96,97,97,93,3,58
97,97,97,93,3,60
98,96,96,93,3,61
99,97,97,94,2,64
100,97,97,94,2,65
101,97,97,94,2,67
102,96,96,94,2,69
103,96,96,94,2,71
104,96,96,94,1,72
105,96,96,94,1,74
106,97,97,94,1,76
107,96,96,94,1,78
108,96,96,94,1,80
109,95,95,95,1,81
110,95,95,94,1,83
111,96,96,95,1,85
112,95,95,94,1,87
113,95,95,95,1,88
