time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,96,96,98,0,37
1,96,96,97,0,37
2,97,97,98,1,37
3,96,96,98,0,37
4,96,96,98,0,37
5,95,95,98,1,37
6,96,96,98,1,37
7,96,96,97,1,37
8,96,96,97,1,37
9,95,95,97,1,37
10,95,95,97,1,37
11,94,94,97,1,37
12,96,96,97,1,37
13,94,94,97,1,37
14,94,94,96,1,37
15,94,94,96,2,37
16,94,94,96,2,37
17,94,94,96,2,37
18,93,93,96,2,37
19,93,93,96,2,37
20,93,93,96,2,37
21,93,93,95,2,37
22,94,94,95,2,37
23,92,92,95,2,37
24,93,93,95,2,37
25,92,92,95,3,37
26,82,82,94,6,37
27,69,69,93,12,37
28,59,59,91,19,37
29,51,51,88,25,37
30,44,44,85,32,37
31,37,37,82,38,37
32,32,32,78,45,37
33,28,28,75,50,37
34,23,23,70,56,37
35,20,20,66,61,37
36,16,16,62,66,37
37,13,13,57,70,37
38,10,10,52,74,37
39,8,8,47,77,37
40,6,6,42,80,37
41,4,4,37,83,37
42,3,3,32,85,37
43,1,1,27,87,37
44,0,0,21,88,37
45,14,14,17,87,37
46,25,25,13,85,37
47,40,40,10,83,37
48,50,50,7,80,37
49,60,60,6,77,37
50,67,67,4,75,37
51,71,71,3,72,37
52,75,75,2,70,37
53,80,80,1,69,37
54,82,82,0,67,37
55,85,85,0,66,37
56,86,86,0,67,37
57,88,88,1,69,37
58,89,89,3,72,37
59,90,90,5,75,37
60,90,90,8,77,37
61,90,90,11,80,36
62,90,90,14,82,36
63,91,91,18,84,36
64,91,91,22,85,36
65,92,92,26,85,36
66,93,93,30,85,35
67,92,92,34,84,35
68,92,92,39,83,35
69,94,94,44,80,35
70,93,93,49,77,35
71,94,94,54,72,34
72,94,94,59,67,34
73,95,95,64,59,34
74,94,94,69,49,34
75,94,94,74,40,33
76,94,94,78,32,33
77,95,95,81,25,33
78,95,95,84,20,33
79,95,95,86,16,33
80,96,96,87,14,32
81,95,95,89,11,32
82,95,95,90,9,32
83,96,96,91,7,32
84,96,96,91,6,32
85,97,97,92,6,30
86,97,97,93,5,30
87,97,97,93,5,30
88,98,98,94,5,30
89,97,97,94,5,30
90,98,98,95,5,32
91,98,98,95,5,33
92,98,98,95,4,34
93,98,98,96,4,35
94,97,97,96,4,36
95,96,96,96,4,37
96,96,96,97,4,38
97,96,96,97,3,39
98,96,96,97,3,40
99,96,96,97,3,41
100,96,96,97,3,42
101,96,96,98,3,43
102,95,95,98,2,44
103,96,96,98,2,45
104,96,96,98,2,46
105,95,95,98,2,47
106,96,96,98,2,48
107,95,95,98,2,49
108,96,96,98,2,49
109,96,96,98,2,51
110,94,94,98,2,52
111,94,94,98,2,53
112,95,95,98,2,54
113,94,94,98,2,55
114,94,94,98,2,55
115,94,94,97,2,57
116,94,94,97,3,58
117,93,93,97,3,59
118,94,94,97,3,60
119,93,93,97,3,61
120,94,94,96,3,61
121,93,93,96,3,60
122,92,92,96,3,59
123,92,92,95,3,59
124,87,87,95,4,58
125,74,74,94,9,57
126,63,63,92,16,57
127,54,54,89,23,55
128,47,47,86,29,55
129,40,40,83,36,55
130,34,34,80,42,54
131,29,29,76,48,53
132,25,25,72,54,53
133,21,21,68,59,52
134,18,18,64,64,51
135,14,14,59,68,49
136,11,11,54,72,49
137,8,8,49,76,49
138,6,6,44,79,48
139,4,4,39,82,48
140,3,3,34,84,47
141,1,1,29,86,46
142,0,0,23,88,46
143,4,4,18,88,45
144,22,22,14,86,44
145,92,92,14,86,44
146,92,92,14,86,43
147,94,94,14,86,42
148,93,93,14,86,42
149,93,93,14,86,41
150,93,93,14,86,43
151,94,94,14,86,45
152,94,94,14,86,47
153,94,94,14,86,49
154,95,95,15,87,51
155,94,94,16,89,53
156,95,95,18,91,54
157,95,95,20,93,55
158,95,95,23,95,58
159,95,95,26,96,60
160,95,95,29,98,61
161,97,97,33,98,64
162,96,96,37,99,66
163,97,97,41,98,68
164,96,96,46,97,70
165,97,97,50,95,72
166,98,98,55,93,74
167,97,97,60,89,76
168,97,97,65,84,78
169,98,98,71,79,80
170,97,97,76,71,82
171,97,97,81,61,84
172,96,96,87,49,85
173,96,96,92,31,87
174,97,97,96,4,89
175,96,96,97,3,91
176,96,96,97,3,93
177,96,96,97,3,95
178,96,96,97,3,97
179,97,97,97,2,99
180,96,96,97,2,96
181,95,95,97,2,92
182,96,96,98,2,89
183,95,95,98,2,86
184,96,96,98,2,83
185,95,95,98,2,79
186,95,95,98,1,76
