time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,96,96,97,0,44
1,97,97,98,0,44
2,98,98,98,1,44
3,97,97,98,1,44
4,98,98,98,1,44
5,98,98,99,1,44
6,96,96,98,1,44
7,96,96,98,1,44
8,96,96,98,2,44
9,97,97,98,1,44
10,96,96,98,1,44
11,96,96,98,1,44
12,96,96,98,1,44
13,97,97,98,1,44
14,96,96,98,1,44
15,96,96,98,1,44
16,96,96,98,1,44
17,96,96,97,1,44
18,97,97,98,1,44
19,96,96,97,1,44
20,96,96,97,1,44
21,95,95,97,1,44
22,95,95,97,1,44
23,96,96,97,1,44
24,96,96,97,1,44
25,95,95,97,2,44
26,95,95,97,2,44
27,96,96,97,2,44
28,96,96,97,2,44
29,94,94,97,2,44
30,95,95,97,2,44
31,95,95,97,2,44
32,95,95,97,2,44
33,94,94,97,2,44
34,93,93,96,2,44
35,93,93,96,2,44
36,92,92,96,3,44
37,85,85,96,5,44
38,73,73,95,11,44
39,63,63,93,18,44
40,54,54,91,26,44
41,46,46,89,33,44
42,39,39,87,41,44
43,33,33,84,48,44
44,28,28,81,55,44
45,24,24,78,61,44
46,20,20,75,67,44
47,16,16,72,73,44
48,14,14,68,77,44
49,12,12,64,82,44
50,8,8,61,86,44
51,7,7,57,89,44
52,4,4,53,92,44
53,2,2,49,95,44
54,2,2,45,97,44
55,1,1,41,98,44
56,3,3,37,98,44
57,4,4,33,98,44
58,6,6,29,97,44
59,8,8,26,95,44
60,10,10,22,92,43
61,12,12,19,88,43
62,14,14,15,84,43
63,18,18,12,78,42
64,22,22,9,72,42
65,26,26,6,65,41
66,30,30,3,56,41
67,36,36,1,48,40
68,42,42,0,42,40
69,49,49,0,39,39
70,58,58,0,40,39
71,68,68,1,45,38
72,80,80,2,52,38
73,92,92,5,61,37
74,93,93,8,69,37
75,94,94,11,76,36
76,93,93,14,82,36
77,95,95,17,87,35
78,94,94,20,90,35
79,94,94,24,94,34
80,94,94,27,96,34
81,95,95,31,97,33
82,95,95,35,98,33
83,96,96,39,98,32
84,96,96,43,97,32
85,95,95,47,96,30
86,96,96,51,94,30
87,95,95,55,91,30
88,96,96,59,88,30
