time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,60,60,29,0,53
1,59,59,27,2,53
2,56,56,23,6,53
3,54,54,20,8,53
4,52,52,17,9,53
5,50,50,14,11,53
6,49,49,11,12,53
7,51,51,10,12,53
8,51,51,9,12,53
9,58,58,10,12,53
10,64,64,13,15,53
11,68,68,17,20,53
12,71,71,21,24,53
13,74,74,25,28,53
14,75,75,28,31,53
15,75,75,31,33,53
16,77,77,34,34,53
17,73,73,37,35,53
18,78,78,39,36,53
19,78,78,42,37,53
20,80,80,44,38,53
21,80,80,47,39,53
22,81,81,49,40,53
23,84,84,51,41,53
24,86,86,54,43,53
25,90,90,57,45,53
26,94,94,60,47,53
27,98,98,63,50,53
28,99,99,66,52,53
29,97,97,69,54,53
30,94,94,73,55,53
31,90,90,76,55,53
32,84,84,79,54,53
33,76,76,82,52,53
34,61,61,82,51,53
35,54,54,83,50,53
36,54,54,83,49,53
37,64,64,85,47,53
38,76,76,87,44,53
39,88,88,91,42,53
40,95,95,94,42,53
41,95,95,97,43,53
42,86,86,99,42,53
43,71,71,98,43,53
44,60,60,97,45,53
45,46,46,93,50,53
46,18,18,87,64,53
47,3,3,79,80,53
48,14,14,72,89,53
49,30,30,67,93,53
50,39,39,63,95,53
51,41,41,59,97,53
52,42,42,54,98,53
53,43,43,50,99,53
54,45,45,46,98,53
55,47,47,41,98,53
56,49,49,36,96,53
57,51,51,31,93,53
58,52,52,26,90,53
59,53,53,21,86,53
60,55,55,17,83,53
61,56,56,13,79,52
62,57,57,10,77,52
63,60,60,9,76,52
64,62,62,9,76,52
65,63,63,10,76,52
66,64,64,11,76,52
67,65,65,11,76,51
68,65,65,10,75,51
69,66,66,7,72,51
70,67,67,4,68,51
71,68,68,1,62,51
72,69,69,0,59,51
73,70,70,0,59,49
74,71,71,1,60,49
75,71,71,3,61,49
76,71,71,9,58,49
77,71,71,16,49,49
78,71,71,23,40,49
79,71,71,27,37,49
80,71,71,31,35,49
81,71,71,34,34,49
82,72,72,37,32,49
83,72,72,40,30,49
84,72,72,43,28,49
85,72,72,46,26,48
86,71,71,48,24,48
87,71,71,50,22,48
88,70,70,52,20,48
89,69,69,54,18,48
90,69,69,55,15,46
91,68,68,57,13,45
92,67,67,58,11,43
93,66,66,59,10,42
94,65,65,59,9,40
95,64,64,59,9,38
96,63,63,59,9,37
97,61,61,58,10,35
