time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,44,44,11,0,11
1,35,35,0,14,11
2,50,50,7,18,11
3,68,68,21,36,11
4,69,69,30,39,11
5,67,67,35,39,11
6,63,63,38,37,11
7,61,61,39,35,11
8,60,60,39,33,11
9,59,59,40,31,11
10,59,59,40,30,11
11,59,59,40,28,11
12,58,58,40,27,11
13,58,58,40,26,11
14,58,58,40,25,11
15,58,58,41,25,11
16,58,58,41,24,11
17,58,58,41,23,11
18,58,58,41,22,11
19,58,58,41,22,11
20,57,57,41,21,11
21,57,57,40,21,11
22,57,57,40,20,11
23,56,56,40,20,11
24,56,56,40,20,11
25,55,55,40,19,11
26,54,54,40,19,11
27,54,54,39,19,11
28,53,53,39,18,11
29,53,53,39,18,11
30,53,53,39,17,11
31,52,52,41,12,11
32,52,52,41,12,11
33,53,53,40,11,11
34,54,54,39,9,11
35,56,56,38,7,11
36,57,57,37,6,11
37,58,58,37,6,11
38,59,59,37,6,11
39,59,59,37,6,11
40,60,60,37,6,11
41,60,60,37,6,11
42,60,60,38,7,11
43,60,60,38,7,11
44,60,60,38,7,11
45,60,60,38,7,11
46,60,60,38,8,11
47,60,60,38,8,11
48,60,60,39,8,11
49,60,60,39,8,11
50,60,60,39,8,11
51,60,60,39,8,11
52,60,60,40,9,11
53,60,60,40,9,11
54,60,60,40,9,11
55,60,60,41,9,11
56,60,60,41,9,11
57,61,61,42,9,11
58,61,61,42,8,11
59,61,61,43,8,11
60,61,61,43,7,11
61,61,61,44,6,10
62,61,61,44,5,10
63,61,61,45,4,10
64,61,61,46,3,9
65,61,61,46,2,9
66,61,61,46,1,9
67,61,61,47,1,8
68,61,61,47,1,8
69,61,61,47,1,6
70,61,61,47,1,6
71,61,61,47,1,6
72,60,60,47,1,6
73,60,60,47,1,6
74,60,60,47,1,6
75,60,60,47,1,5
76,59,59,47,1,5
77,59,59,47,1,4
78,60,60,47,1,4
79,60,60,47,1,4
80,60,60,47,1,3
81,60,60,47,1,3
82,61,61,47,1,3
83,62,62,47,1,2
84,62,62,47,1,2
85,62,62,47,1,1
86,61,61,47,1,1
87,61,61,47,1,1
88,61,61,47,1,0
89,61,61,47,1,0
90,62,62,47,2,3
91,62,62,48,2,6
92,57,57,47,2,10
93,46,46,46,8,13
94,41,41,45,13,16
95,55,55,44,13,20
96,68,68,45,14,23
97,69,69,45,15,26
98,68,68,46,15,30
99,65,65,46,15,33
100,63,63,46,15,36
101,61,61,46,15,40
102,61,61,46,15,43
103,61,61,46,15,46
104,61,61,46,15,49
105,60,60,46,15,53
106,60,60,46,15,55
107,60,60,47,15,59
108,60,60,47,15,63
109,60,60,47,15,66
110,60,60,47,15,69
111,60,60,47,15,73
112,60,60,46,15,76
113,59,59,46,15,79
114,59,59,46,15,82
115,62,62,46,15,86
116,62,62,46,16,89
117,62,62,46,16,92
118,61,61,46,15,96
119,61,61,46,15,99
120,61,61,46,15,97
121,62,62,46,15,96
122,62,62,46,15,94
123,62,62,47,13,92
124,63,63,49,8,91
125,63,63,50,7,89
126,63,63,49,6,88
127,63,63,49,5,86
