time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,41,41,9,0,43
1,42,42,13,2,43
2,43,43,15,2,43
3,43,43,16,2,43
4,43,43,18,3,43
5,43,43,20,3,43
6,43,43,21,3,43
7,43,43,21,3,43
8,43,43,22,3,43
9,43,43,22,3,43
10,42,42,21,3,43
11,43,43,21,3,43
12,43,43,21,3,43
13,42,42,20,3,43
14,42,42,20,3,43
15,42,42,20,3,43
16,42,42,20,3,43
17,42,42,19,3,43
18,42,42,19,3,43
19,42,42,19,3,43
20,42,42,19,3,43
21,42,42,19,3,43
22,43,43,19,3,43
23,43,43,19,3,43
24,43,43,19,3,43
25,43,43,20,3,43
26,43,43,20,3,43
27,43,43,20,3,43
28,43,43,20,3,43
29,43,43,20,3,43
30,43,43,21,2,43
31,43,43,21,2,43
32,43,43,21,3,43
33,43,43,22,3,43
34,43,43,22,3,43
35,43,43,22,3,43
36,43,43,22,3,43
37,42,42,21,3,43
38,43,43,21,3,43
39,43,43,21,3,43
40,43,43,21,3,43
41,43,43,21,3,43
42,43,43,21,3,43
43,43,43,22,2,43
44,43,43,22,3,43
45,44,44,23,3,43
46,45,45,24,3,43
47,45,45,25,4,43
48,45,45,26,4,43
49,45,45,27,5,43
50,45,45,28,5,43
51,45,45,29,5,43
52,45,45,30,6,43
53,45,45,30,6,43
54,44,44,31,6,43
55,43,43,31,6,43
56,42,42,31,6,43
57,42,42,30,6,43
58,42,42,30,6,43
59,42,42,30,7,43
60,42,42,30,7,45
61,43,43,29,7,47
62,43,43,29,7,49
63,43,43,29,7,51
64,45,45,30,7,52
65,56,56,34,18,54
66,79,79,47,47,55
67,99,99,67,82,58
68,62,62,74,84,60
69,22,22,67,90,61
70,23,23,60,95,64
71,29,29,55,97,65
72,37,37,53,98,67
73,41,41,52,98,69
74,43,43,52,98,71
75,44,44,52,98,73
76,44,44,52,98,75
77,45,45,52,98,77
78,45,45,52,98,79
79,45,45,52,98,80
80,46,46,53,98,82
81,46,46,53,98,84
82,46,46,53,98,86
83,47,47,54,98,88
84,46,46,55,98,90
85,47,47,56,98,92
86,47,47,58,98,93
87,48,48,60,98,95
88,48,48,62,97,97
89,50,50,65,97,99
90,51,51,68,97,97
91,53,53,71,97,94
92,54,54,75,98,92
93,56,56,80,98,89
94,57,57,85,98,87
95,57,57,85,99,85
96,58,58,77,91,82
97,58,58,63,65,80
98,57,57,61,63,78
99,56,56,73,56,75
100,54,54,84,46,73
101,51,51,92,38,70
102,48,48,96,35,68
103,46,46,98,33,66
104,45,45,99,33,63
105,44,44,98,33,61
106,43,43,98,33,58
107,44,44,98,34,55
108,44,44,97,34,54
109,44,44,97,34,51
110,44,44,96,35,49
111,44,44,95,35,47
112,44,44,94,35,44
113,44,44,93,36,42
114,44,44,93,36,39
115,44,44,92,37,37
116,44,44,90,37,35
117,44,44,89,38,32
118,44,44,87,39,30
119,44,44,86,39,27
120,44,44,83,39,27
121,44,44,80,39,26
122,44,44,77,39,24
123,44,44,72,37,24
124,45,45,68,36,23
125,45,45,64,33,22
126,45,45,59,30,21
127,45,45,54,26,20
128,45,45,50,21,19
129,44,44,45,15,18
130,45,45,42,10,17
131,45,45,40,6,16
132,44,44,39,3,16
133,45,45,38,2,15
134,45,45,38,3,13
135,45,45,39,3,13
136,45,45,40,2,12
137,45,45,40,3,11
138,45,45,40,3,10
139,45,45,41,3,9
140,45,45,41,3,8
141,45,45,42,3,6
142,45,45,42,3,6
143,45,45,43,3,5
144,45,45,43,3,5
145,45,45,43,3,4
146,45,45,44,3,3
147,45,45,44,3,2
148,45,45,45,3,1
149,44,44,45,2,0
150,44,44,45,3,3
151,44,44,45,3,6
152,44,44,45,3,8
153,44,44,44,3,11
154,43,43,44,4,13
155,43,43,43,4,17
156,43,43,42,5,20
157,43,43,42,5,23
158,44,44,42,5,24
159,45,45,42,5,27
160,46,46,42,5,30
161,47,47,43,6,34
162,47,47,44,7,37
163,46,46,45,7,40
164,46,46,45,7,42
165,46,46,46,7,45
166,47,47,46,8,48
167,46,46,47,8,51
168,48,48,48,9,54
169,48,48,49,10,55
170,37,37,46,14,59
171,13,13,34,42,61
172,0,0,18,70,65
173,29,29,12,72,68
174,60,60,18,75,71
175,63,63,24,80,73
176,61,61,30,83,76
177,54,54,33,84,79
178,49,49,34,84,82
179,46,46,35,84,85
180,46,46,35,84,85
181,46,46,36,84,85
182,45,45,36,84,85
183,44,44,36,84,86
184,45,45,37,84,86
185,44,44,38,84,86
