time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,4,4,3,0,36
1,4,4,3,0,36
2,3,3,3,0,36
3,3,3,3,0,36
4,3,3,3,0,36
5,3,3,3,0,36
6,3,3,3,0,36
7,3,3,3,0,36
8,3,3,3,0,36
9,3,3,3,0,36
10,3,3,3,0,36
11,3,3,3,0,36
12,3,3,3,0,36
13,3,3,3,0,36
14,3,3,3,0,36
15,3,3,3,0,36
16,3,3,3,1,36
17,3,3,3,1,36
18,3,3,3,1,36
19,3,3,3,1,36
20,2,2,3,1,36
21,2,2,3,1,36
22,2,2,2,1,36
23,2,2,2,1,36
24,2,2,2,1,36
25,2,2,2,2,36
26,2,2,2,2,36
27,2,2,2,2,36
28,1,1,2,2,36
29,1,1,2,2,36
30,1,1,2,2,36
31,1,1,2,2,36
32,1,1,2,3,36
33,1,1,2,3,36
34,1,1,2,3,36
35,0,0,2,3,36
36,0,0,1,3,36
37,0,0,1,3,36
38,0,0,1,3,36
39,0,0,1,4,36
40,0,0,1,4,36
41,0,0,1,4,36
42,0,0,1,4,36
43,0,0,1,4,36
44,0,0,1,4,36
45,0,0,0,4,36
46,0,0,0,4,36
47,0,0,0,4,36
48,0,0,0,4,36
49,0,0,0,4,36
50,0,0,0,3,36
51,0,0,0,3,36
52,0,0,0,3,36
53,0,0,0,3,36
54,1,1,0,3,36
55,1,1,0,2,36
56,1,1,0,2,36
57,1,1,0,2,36
58,1,1,0,2,36
59,1,1,0,2,36
60,1,1,0,2,36
61,2,2,0,2,36
62,4,4,0,3,37
63,10,10,0,8,37
64,16,16,1,14,37
65,23,23,1,21,38
66,28,28,2,28,38
67,32,32,3,35,38
68,34,34,5,41,38
69,35,35,6,47,39
70,37,37,7,51,39
71,39,39,9,56,39
72,41,41,10,60,40
73,44,44,12,65,40
74,47,47,14,69,40
75,50,50,15,73,40
76,53,53,17,77,41
77,56,56,19,81,41
78,59,59,21,85,41
79,61,61,24,88,42
80,63,63,26,91,42
81,65,65,28,94,42
82,66,66,31,96,42
83,67,67,33,98,43
84,68,68,35,98,43
85,69,69,38,99,43
86,70,70,40,98,44
87,71,71,43,97,44
88,72,72,45,94,44
89,72,72,48,91,44
90,73,73,51,87,43
91,73,73,53,82,42
92,73,73,56,76,41
93,74,74,58,70,40
94,74,74,60,65,39
95,74,74,62,61,38
96,75,75,63,58,37
97,75,75,65,55,36
98,75,75,67,52,35
99,76,76,68,49,34
100,76,76,69,45,33
101,76,76,71,41,32
102,77,77,72,37,30
103,77,77,73,34,30
104,77,77,74,30,29
105,78,78,75,26,27
106,78,78,76,23,27
107,78,78,77,21,26
108,79,79,78,18,24
109,79,79,78,17,24
110,79,79,79,15,23
111,86,86,80,16,22
112,92,92,81,19,21
113,99,99,82,25,19
114,99,99,83,29,18
115,99,99,84,32,17
116,99,99,85,34,16
117,98,98,86,37,15
118,98,98,87,38,13
119,98,98,88,40,13
120,98,98,89,41,15
121,98,98,90,42,18
122,98,98,91,42,20
123,98,98,91,42,22
124,98,98,92,43,24
125,98,98,93,42,26
126,98,98,94,42,27
127,98,98,95,42,30
128,98,98,96,41,32
129,98,98,97,40,35
130,98,98,97,39,37
131,92,92,98,37,39
132,86,86,98,36,41
133,79,79,98,35,43
134,79,79,98,35,45
135,79,79,98,35,47
136,79,79,98,35,49
137,79,79,98,35,52
138,79,79,99,35,54
139,79,79,98,35,55
140,79,79,98,35,58
141,79,79,98,36,60
142,78,78,98,37,61
143,78,78,97,38,64
144,78,78,96,38,67
145,78,78,96,39,69
146,78,78,95,39,71
147,78,78,94,39,73
148,78,78,93,39,75
149,78,78,93,38,77
150,78,78,92,38,78
151,78,78,91,37,78
152,78,78,90,36,79
153,78,78,90,34,79
154,78,78,89,33,80
155,78,78,88,31,80
156,78,78,88,29,81
157,78,78,87,26,81
158,78,78,86,22,82
159,78,78,85,18,82
160,85,85,85,12,83
161,92,92,85,11,83
162,99,99,85,17,84
163,98,98,86,22,84
164,98,98,87,26,85
165,98,98,87,29,86
166,98,98,88,31,86
167,98,98,89,33,87
168,98,98,89,35,87
169,98,98,90,36,88
170,98,98,91,37,88
171,94,94,91,38,89
172,90,90,92,37,89
173,85,85,92,37,90
174,84,84,92,37,90
175,84,84,92,36,91
176,84,84,93,36,91
177,84,84,93,35,92
