time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,4,4,0,0,54
1,5,5,0,0,54
2,6,6,1,1,54
3,7,7,2,2,54
4,7,7,2,2,54
5,8,8,3,2,54
6,28,28,8,19,54
7,68,68,21,51,54
8,84,84,35,72,54
9,90,90,47,84,54
10,89,89,56,90,54
11,86,86,64,93,54
12,82,82,69,94,54
13,79,79,74,93,54
14,76,76,78,92,54
15,75,75,81,91,54
16,72,72,83,89,54
17,70,70,85,87,54
18,68,68,86,85,54
19,69,69,88,83,54
20,67,67,89,82,54
21,60,60,90,80,54
22,28,28,87,79,54
23,5,5,84,81,54
24,2,2,80,83,54
25,3,3,77,85,54
26,4,4,74,86,54
27,6,6,72,86,54
28,7,7,69,86,54
29,9,9,67,86,54
30,9,9,67,86,54
31,10,10,68,85,54
32,33,33,69,84,54
33,70,70,73,83,54
34,85,85,78,83,54
35,90,90,83,82,54
36,88,88,86,83,54
37,84,84,87,84,54
38,80,80,87,84,54
39,77,77,86,83,54
40,75,75,85,82,54
41,72,72,85,81,54
42,70,70,84,80,54
43,67,67,83,80,54
44,66,66,82,79,54
45,65,65,82,78,54
46,65,65,81,78,54
47,60,60,81,78,54
48,33,33,79,78,54
49,5,5,75,79,54
50,0,0,71,81,54
51,1,1,67,83,54
52,2,2,66,85,54
53,0,0,66,86,54
54,0,0,65,86,54
55,0,0,65,86,54
56,1,1,65,86,54
57,2,2,65,87,54
58,3,3,65,87,54
59,39,39,66,86,54
60,72,72,70,85,54
61,87,87,75,86,53
62,97,97,78,89,53
63,99,99,80,91,52
64,94,94,81,92,52
65,90,90,81,92,51
66,87,87,81,92,49
67,85,85,81,92,49
68,80,80,81,92,49
69,76,76,81,92,49
70,74,74,81,92,48
71,72,72,81,92,47
72,73,73,81,92,47
73,71,71,81,92,46
74,61,61,81,92,46
75,19,19,78,93,45
76,2,2,74,95,45
77,1,1,71,97,44
78,2,2,69,98,43
79,4,4,69,99,43
80,5,5,69,98,42
81,6,6,69,98,42
82,7,7,70,97,41
83,8,8,70,97,40
84,8,8,71,96,40
85,46,46,73,94,39
86,76,76,78,92,39
87,89,89,83,91,38
88,93,93,88,90,38
89,92,92,92,92,37
90,90,90,93,93,37
91,86,86,93,93,38
92,82,82,92,92,39
93,80,80,91,90,39
94,77,77,90,89,40
95,76,76,89,88,40
96,74,74,88,87,41
97,73,73,87,86,41
98,73,73,87,86,42
99,68,68,86,85,42
100,44,44,85,85,43
101,9,9,81,87,44
102,1,1,76,89,44
103,2,2,72,90,45
104,3,3,69,92,45
