time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,59,59,51,0,9
1,59,59,51,0,9
2,59,59,51,0,9
3,60,60,51,0,9
4,60,60,51,0,9
5,60,60,51,0,9
6,60,60,51,0,9
7,60,60,51,0,9
8,60,60,51,1,9
9,61,61,51,1,9
10,61,61,52,1,9
11,61,61,52,2,9
12,61,61,52,2,9
13,61,61,52,2,9
14,61,61,52,2,9
15,61,61,52,2,9
16,62,62,52,3,9
17,62,62,52,3,9
18,62,62,52,3,9
19,63,63,53,3,9
20,63,63,53,4,9
21,63,63,53,4,9
22,64,64,53,5,9
23,64,64,53,5,9
24,65,65,54,6,9
25,65,65,54,6,9
26,65,65,54,6,9
27,65,65,54,7,9
28,66,66,54,7,9
29,67,67,54,8,9
30,67,67,55,8,9
31,67,67,55,9,9
32,67,67,56,9,9
33,67,67,56,9,9
34,67,67,56,9,9
35,67,67,57,9,9
36,68,68,57,9,9
37,69,69,57,10,9
38,69,69,58,10,9
39,68,68,58,10,9
40,68,68,58,10,9
41,67,67,59,9,9
42,67,67,59,9,9
43,67,67,59,9,9
44,67,67,60,8,9
45,67,67,60,8,9
46,67,67,60,7,9
47,67,67,60,7,9
48,67,67,61,6,9
49,66,66,61,6,9
50,64,64,61,5,9
51,64,64,61,5,9
52,65,65,61,5,9
53,66,66,61,5,9
54,65,65,61,5,9
55,64,64,61,5,9
56,65,65,61,5,9
57,64,64,61,5,9
58,63,63,61,5,9
59,63,63,61,6,9
60,63,63,60,6,9
61,63,63,60,7,8
62,63,63,60,7,8
63,63,63,60,7,8
64,62,62,60,8,6
65,63,63,60,8,6
66,63,63,59,8,6
67,63,63,59,7,6
68,63,63,59,7,6
69,62,62,58,7,6
70,61,61,58,7,6
71,61,61,58,7,5
72,60,60,57,8,5
73,59,59,57,8,5
74,57,57,57,9,4
75,54,54,56,11,4
76,51,51,55,13,4
77,48,48,54,16,4
78,44,44,53,20,3
79,37,37,52,26,3
80,31,31,50,33,3
81,24,24,48,41,2
82,17,17,46,50,2
83,13,13,44,58,2
84,10,10,41,66,1
85,9,9,38,72,1
86,8,8,36,77,1
87,8,8,33,82,1
88,7,7,30,86,0
89,6,6,28,89,0
90,5,5,25,92,0
91,1,1,22,94,1
92,0,0,19,97,1
93,1,1,16,98,1
94,3,3,13,99,1
95,9,9,10,97,2
96,15,15,8,95,2
97,21,21,6,92,2
98,26,26,4,88,3
99,32,32,3,84,3
100,37,37,2,81,3
101,42,42,1,77,3
102,46,46,0,75,4
103,49,49,0,73,4
104,52,52,0,72,4
105,55,55,0,72,5
106,57,57,0,73,5
107,58,58,0,75,5
108,59,59,1,78,5
109,59,59,2,81,6
110,59,59,3,85,6
111,58,58,5,88,6
112,59,59,7,90,6
113,60,60,9,92,6
114,60,60,12,93,6
115,60,60,14,94,6
116,62,62,17,94,8
117,63,63,19,93,8
118,63,63,22,92,8
119,64,64,25,91,9
120,64,64,28,88,8
121,65,65,31,84,8
122,65,65,34,78,8
123,66,66,37,71,8
124,66,66,40,63,6
125,66,66,42,55,6
126,68,68,45,48,6
127,69,69,47,42,6
128,70,70,49,36,6
129,71,71,51,31,6
130,71,71,53,27,6
131,73,73,54,24,6
132,74,74,56,23,6
133,76,76,57,22,5
134,76,76,58,22,5
135,77,77,59,23,5
136,79,79,60,24,5
137,79,79,61,25,5
138,80,80,62,26,4
139,81,81,63,27,4
140,84,84,64,28,4
141,86,86,66,30,4
142,87,87,67,31,3
143,88,88,68,32,3
144,88,88,70,33,3
