time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,60,60,54,0,5
1,60,60,54,0,5
2,60,60,54,0,5
3,60,60,54,0,5
4,60,60,54,0,5
5,60,60,54,0,5
6,60,60,54,0,5
7,60,60,54,0,5
8,60,60,54,0,5
9,61,61,54,0,5
10,61,61,54,0,5
11,61,61,54,0,5
12,61,61,54,1,5
13,61,61,54,1,5
14,61,61,54,1,5
15,62,62,54,1,5
16,62,62,54,1,5
17,62,62,54,2,5
18,62,62,55,2,5
19,62,62,55,2,5
20,62,62,55,2,5
21,63,63,55,2,5
22,63,63,55,3,5
23,64,64,55,3,5
24,64,64,55,3,5
25,64,64,55,4,5
26,64,64,55,4,5
27,64,64,56,4,5
28,64,64,56,4,5
29,64,64,56,5,5
30,65,65,56,5,5
31,65,65,56,5,5
32,65,65,56,5,5
33,66,66,57,6,5
34,66,66,57,6,5
35,66,66,57,6,5
36,66,66,57,6,5
37,66,66,58,6,5
38,66,66,58,6,5
39,66,66,58,6,5
40,66,66,59,6,5
41,66,66,59,6,5
42,66,66,59,6,5
43,66,66,59,6,5
44,66,66,59,6,5
45,66,66,60,6,5
46,66,66,60,5,5
47,66,66,60,5,5
48,66,66,60,5,5
49,66,66,60,4,5
50,65,65,60,4,5
51,65,65,61,3,5
52,65,65,61,3,5
53,65,65,61,3,5
54,65,65,61,3,5
55,65,65,61,2,5
56,65,65,61,2,5
57,64,64,61,2,5
58,64,64,61,2,5
59,64,64,61,2,5
60,64,64,61,2,5
61,64,64,61,3,5
62,64,64,61,3,5
63,63,63,61,3,5
64,63,63,61,3,5
65,63,63,60,4,5
66,62,62,60,4,5
67,60,60,60,5,5
68,58,58,60,6,5
69,56,56,59,8,5
70,53,53,58,11,5
71,49,49,58,14,5
72,45,45,57,19,4
73,38,38,55,25,4
74,31,31,54,32,4
75,25,25,52,40,4
76,19,19,50,48,4
77,14,14,47,55,4
78,10,10,45,63,4
79,8,8,42,69,4
80,6,6,39,75,4
81,5,5,37,81,4
82,3,3,34,85,4
83,2,2,31,89,4
84,1,1,28,92,4
85,0,0,25,95,4
86,0,0,22,97,3
87,0,0,19,98,3
88,1,1,16,99,3
89,5,5,13,98,3
90,9,9,11,96,3
91,15,15,8,93,3
92,21,21,6,90,4
93,26,26,5,86,4
94,31,31,3,82,4
95,35,35,2,78,4
96,40,40,1,74,4
97,44,44,0,71,4
98,48,48,0,69,4
99,52,52,0,68,4
100,55,55,0,68,4
101,56,56,0,70,4
102,58,58,1,72,4
103,59,59,1,76,4
104,59,59,3,80,4
105,60,60,4,83,5
106,60,60,6,87,5
107,60,60,8,89,5
108,61,61,11,91,5
109,61,61,13,92,5
110,62,62,16,93,5
111,63,63,19,93,5
112,64,64,21,92,5
113,64,64,24,91,5
114,65,65,27,88,5
115,67,67,30,85,5
116,67,67,33,81,5
117,68,68,37,76,6
118,69,69,40,69,6
119,69,69,43,63,6
120,70,70,45,56,6
121,71,71,48,50,5
122,72,72,50,44,5
123,72,72,53,39,5
124,73,73,55,35,5
125,74,74,56,31,5
126,75,75,58,28,5
127,76,76,59,26,5
128,77,77,61,25,5
129,78,78,62,24,5
130,79,79,63,24,5
131,81,81,64,25,5
132,82,82,65,26,4
133,83,83,66,26,4
134,84,84,68,27,4
135,85,85,69,28,4
136,87,87,70,29,4
137,88,88,71,30,4
138,90,90,73,31,4
139,91,91,74,31,4
140,92,92,75,32,4
141,93,93,77,33,4
142,95,95,78,34,3
143,95,95,80,34,3
144,96,96,81,35,3
145,97,97,83,35,3
146,98,98,84,36,3
147,98,98,85,36,3
148,98,98,87,36,3
149,98,98,88,35,3
150,99,99,89,35,3
151,98,98,91,34,3
152,98,98,92,33,3
153,97,97,93,32,3
154,96,96,94,31,2
155,95,95,95,29,2
156,94,94,96,27,2
157,93,93,97,25,2
158,91,91,97,23,2
159,90,90,98,21,2
160,88,88,98,20,2
161,86,86,98,19,2
162,84,84,99,18,2
163,83,83,98,18,2
164,81,81,98,19,2
165,79,79,98,20,2
166,77,77,98,22,2
167,76,76,97,25,2
168,74,74,96,28,2
169,73,73,95,30,2
170,72,72,95,33,2
171,71,71,93,35,1
172,70,70,92,37,1
173,69,69,91,39,1
174,68,68,90,40,1
175,68,68,88,41,1
176,67,67,87,42,1
177,67,67,86,43,1
178,66,66,84,43,1
179,66,66,83,43,1
180,66,66,81,42,1
181,66,66,80,41,1
182,65,65,78,40,1
183,65,65,77,39,1
184,65,65,75,37,1
185,65,65,74,36,1
186,65,65,72,33,1
187,65,65,71,31,1
188,64,64,70,29,1
189,64,64,69,27,1
190,64,64,68,24,1
191,64,64,67,22,1
192,64,64,66,20,1
193,64,64,65,18,1
194,64,64,64,16,0
195,64,64,63,14,0
196,64,64,63,12,0
197,64,64,62,10,0
198,64,64,62,9,0
199,64,64,61,8,0
200,64,64,61,7,0
201,64,64,61,6,0
202,64,64,60,5,0
203,64,64,60,4,0
204,64,64,60,4,0
205,64,64,60,3,0
206,63,63,59,3,0
207,63,63,59,2,0
208,63,63,59,2,0
209,63,63,59,2,0
210,63,63,59,2,1
211,64,64,59,2,2
212,63,63,59,1,3
213,63,63,59,1,4
214,63,63,59,1,5
215,63,63,59,1,6
216,63,63,58,1,6
217,63,63,58,1,8
218,63,63,58,1,9
219,63,63,58,1,10
220,63,63,58,1,11
221,63,63,58,1,12
222,63,63,58,0,13
223,63,63,58,0,13
224,63,63,58,0,13
225,63,63,58,0,15
226,63,63,58,0,16
227,63,63,58,0,17
228,63,63,58,0,18
229,63,63,58,0,19
230,63,63,58,0,20
231,63,63,58,0,21
232,63,63,58,0,22
233,63,63,58,0,23
234,63,63,58,0,24
235,63,63,58,0,24
236,63,63,58,0,26
237,63,63,58,0,27
238,63,63,58,0,27
239,63,63,58,0,29
240,63,63,58,0,29
241,63,63,58,0,29
242,63,63,58,0,29
243,63,63,58,0,29
244,63,63,58,0,29
245,63,63,58,0,29
246,63,63,58,0,29
247,63,63,58,0,30
248,63,63,58,0,30
249,63,63,57,0,30
250,63,63,57,0,30
251,63,63,57,0,30
252,63,63,57,0,30
253,63,63,57,0,30
254,63,63,57,0,30
255,63,63,57,0,30
256,63,63,57,0,30
257,63,63,57,0,30
258,63,63,57,0,30
259,63,63,57,0,30
260,63,63,57,0,30
261,63,63,57,0,30
262,63,63,57,0,30
