time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,43,43,31,0,1
1,45,45,33,4,1
2,45,45,33,3,1
3,45,45,33,3,1
4,45,45,33,2,1
5,45,45,34,3,1
6,46,46,34,3,1
7,46,46,34,3,1
8,46,46,34,3,1
9,46,46,35,3,1
10,47,47,35,4,1
11,48,48,35,5,1
12,51,51,36,7,1
13,54,54,37,11,1
14,55,55,38,13,1
15,57,57,38,16,1
16,57,57,39,17,1
17,57,57,40,19,1
18,59,59,41,20,1
19,60,60,42,22,1
20,62,62,43,24,1
21,63,63,43,25,1
22,63,63,44,27,1
23,64,64,45,28,1
24,69,69,46,30,1
25,73,73,47,34,1
26,78,78,49,38,1
27,81,81,50,42,1
28,83,83,51,46,1
29,85,85,53,50,1
30,87,87,55,53,1
31,88,88,57,56,1
32,89,89,60,59,1
33,90,90,62,61,1
34,90,90,64,62,1
35,90,90,66,63,1
36,93,93,69,64,1
37,96,96,71,65,1
38,99,99,74,66,1
39,99,99,77,66,1
40,98,98,79,66,1
41,97,97,82,65,1
42,96,96,84,64,1
43,96,96,86,62,1
44,95,95,88,61,1
45,91,91,90,58,1
46,87,87,92,55,1
47,84,84,93,52,1
48,81,81,94,49,1
49,83,83,95,45,1
50,84,84,96,42,1
51,80,80,97,39,1
52,76,76,98,35,1
53,74,74,98,32,1
54,71,71,99,32,1
55,67,67,98,33,1
56,64,64,98,37,1
57,63,63,97,40,1
58,62,62,96,44,1
59,60,60,94,47,1
60,59,59,93,51,1
61,60,60,91,54,1
62,59,59,90,56,1
63,56,56,88,59,1
64,54,54,86,61,1
65,54,54,85,63,1
66,54,54,83,64,1
67,54,54,80,65,1
68,54,54,78,64,1
69,54,54,76,63,1
70,53,53,73,61,2
71,51,51,71,60,2
72,52,52,69,57,2
73,54,54,67,54,2
74,54,54,65,50,2
75,52,52,63,47,2
76,51,51,61,44,2
77,51,51,59,42,2
78,52,52,58,39,2
79,53,53,56,36,2
80,53,53,55,31,2
81,52,52,53,27,2
82,51,51,52,24,2
83,51,51,51,20,2
84,51,51,50,17,2
85,51,51,49,15,2
86,51,51,48,13,2
87,51,51,48,12,3
88,46,46,47,11,3
89,42,42,46,13,3
90,44,44,45,14,4
91,45,45,44,14,5
92,42,42,44,14,6
93,39,39,43,16,6
94,33,33,42,21,8
95,27,27,40,26,9
96,27,27,39,30,10
97,27,27,37,33,11
98,20,20,36,38,12
99,15,15,34,44,13
100,17,17,32,48,13
101,22,22,30,50,15
102,34,34,30,50,16
103,47,47,29,49,17
104,63,63,30,51,18
105,77,77,31,57,19
106,87,87,33,65,20
107,87,87,34,72,21
108,76,76,36,75,22
109,57,57,36,75,23
110,31,31,35,76,24
111,12,12,33,80,26
112,0,0,30,86,27
113,0,0,28,91,27
114,7,7,25,94,29
115,14,14,23,95,30
116,19,19,22,96,30
117,21,21,20,96,32
118,21,21,19,96,33
119,21,21,18,96,34
120,19,19,17,97,34
121,19,19,15,97,34
122,19,19,14,97,34
123,18,18,13,97,34
124,16,16,12,98,34
125,19,19,12,98,34
126,24,24,12,99,35
127,27,27,12,99,35
128,30,30,12,98,35
129,33,33,13,97,35
130,36,36,14,97,35
131,33,33,15,97,35
132,31,31,14,97,35
