time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,1,1,0,0,1
1,1,1,0,1,1
2,1,1,0,1,1
3,1,1,0,2,1
4,1,1,0,2,1
5,0,0,0,2,1
6,0,0,0,2,1
7,0,0,0,2,1
8,0,0,0,2,1
9,0,0,0,2,1
10,0,0,0,2,1
11,1,1,0,2,1
12,1,1,0,2,1
13,1,1,0,2,1
14,2,2,0,3,1
15,2,2,0,4,1
16,3,3,0,5,1
17,3,3,0,6,1
18,4,4,0,8,1
19,5,5,0,9,1
20,5,5,1,11,1
21,6,6,1,12,1
22,7,7,1,14,1
23,8,8,1,17,1
24,9,9,2,19,1
25,10,10,2,21,1
26,11,11,2,24,1
27,12,12,2,26,1
28,13,13,3,29,1
29,14,14,3,31,1
30,15,15,4,34,1
31,16,16,4,37,1
32,17,17,5,40,1
33,18,18,5,42,1
34,19,19,6,45,1
35,21,21,7,48,1
36,22,22,7,51,1
37,23,23,8,53,1
38,24,24,9,55,1
39,25,25,10,58,1
40,26,26,11,59,1
41,28,28,12,61,1
42,29,29,13,63,1
43,30,30,14,65,1
44,32,32,15,66,1
45,33,33,16,68,1
46,34,34,17,69,1
47,35,35,18,71,1
48,36,36,19,72,1
49,37,37,20,73,1
50,38,38,21,73,1
51,39,39,22,74,1
52,40,40,24,74,1
53,41,41,25,74,1
54,42,42,26,74,1
55,43,43,27,74,1
56,44,44,28,74,1
57,45,45,29,73,1
58,46,46,30,73,1
59,47,47,32,72,1
60,48,48,33,71,1
61,48,48,34,71,1
62,49,49,35,70,1
63,50,50,36,69,1
64,51,51,37,68,1
65,52,52,38,67,1
66,53,53,39,66,1
67,54,54,40,65,1
68,55,55,41,64,1
69,56,56,42,63,1
70,56,56,44,62,1
71,57,57,45,61,1
72,58,58,46,60,1
73,59,59,47,59,1
74,59,59,47,58,1
75,60,60,48,57,1
76,61,61,49,57,1
77,62,62,50,56,1
78,63,63,51,56,1
79,64,64,52,56,1
80,65,65,53,56,1
81,66,66,54,56,1
82,67,67,55,56,1
83,68,68,56,56,1
84,69,69,57,56,1
85,70,70,58,56,1
86,71,71,59,57,1
87,73,73,60,57,1
88,74,74,61,58,1
89,75,75,62,59,1
90,75,75,63,59,1
91,76,76,63,59,1
92,77,77,64,60,1
93,77,77,65,60,1
94,78,78,66,60,1
95,78,78,67,60,1
96,79,79,68,59,1
97,79,79,69,59,1
98,80,80,70,58,1
99,81,81,71,58,1
100,81,81,72,57,1
101,82,82,72,56,1
102,83,83,73,56,1
103,84,84,74,55,1
104,84,84,75,54,1
105,85,85,76,53,1
106,86,86,77,52,1
107,87,87,78,51,1
108,87,87,78,50,1
109,88,88,79,49,1
110,89,89,80,48,1
111,89,89,81,47,1
112,90,90,82,46,1
113,91,91,83,45,1
114,92,92,83,45,1
115,93,93,84,45,1
116,94,94,85,45,1
117,95,95,86,46,1
118,96,96,86,46,1
119,96,96,87,47,1
120,97,97,88,47,1
121,97,97,89,48,1
122,98,98,89,48,1
123,98,98,90,48,1
124,98,98,91,48,1
125,98,98,92,47,1
126,98,98,92,47,1
127,99,99,93,46,1
128,99,99,93,44,1
129,98,98,94,43,1
130,98,98,95,41,1
131,98,98,95,39,1
132,98,98,96,37,1
133,97,97,96,35,1
134,97,97,97,33,1
135,97,97,97,30,1
136,96,96,97,28,1
137,95,95,98,25,0
138,95,95,98,23,0
139,94,94,98,21,0
140,93,93,98,19,0
141,93,93,98,17,0
142,92,92,99,16,0
143,91,91,98,17,0
144,90,90,98,18,0
145,89,89,98,20,0
146,88,88,98,23,0
147,87,87,98,26,0
148,86,86,97,29,0
149,85,85,97,32,0
150,81,81,96,36,1
151,87,87,96,37,2
152,77,77,95,43,3
153,80,80,95,45,3
154,76,76,94,50,4
155,80,80,93,51,5
156,87,87,93,50,6
157,83,83,92,50,6
158,85,85,92,49,8
159,69,69,91,55,8
160,76,76,90,56,9
161,66,66,89,61,10
162,76,76,88,61,11
163,75,75,87,61,12
164,82,82,87,59,13
165,80,80,86,57,13
166,76,76,86,55,13
167,67,67,85,58,15
168,66,66,84,59,16
169,53,53,82,68,17
170,65,65,81,69,18
171,55,55,80,74,19
172,74,74,79,71,19
173,72,72,79,69,20
174,65,65,78,69,21
175,61,61,77,70,22
176,64,64,76,69,23
177,74,74,76,67,24
178,71,71,75,65,24
179,56,56,74,67,24
180,60,60,73,69,26
181,49,49,72,72,26
182,59,59,72,73,27
183,60,60,71,73,27
184,61,61,70,73,27
185,41,41,69,80,27
186,56,56,68,77,27
187,44,44,67,80,29
188,47,47,65,78,29
189,55,55,65,79,30
190,50,50,64,79,30
191,45,45,63,83,30
192,50,50,62,82,30
193,57,57,62,79,30
194,39,39,60,79,32
195,32,32,58,81,32
196,33,33,57,83,33
197,34,34,56,86,33
198,35,35,55,89,34
199,44,44,54,90,34
200,23,23,53,97,35
201,40,40,52,99,35
202,31,31,51,97,35
203,45,45,50,93,36
204,29,29,49,94,36
