time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,46,46,18,0,30
1,46,46,18,0,30
2,46,46,18,0,30
3,46,46,18,0,30
4,46,46,19,1,30
5,46,46,19,1,30
6,47,47,19,1,30
7,47,47,20,2,30
8,47,47,20,2,30
9,48,48,21,3,30
10,48,48,21,4,30
11,48,48,22,4,30
12,49,49,22,5,30
13,50,50,23,6,30
14,51,51,24,7,30
15,52,52,25,9,30
16,54,54,26,10,30
17,54,54,28,12,30
18,55,55,29,14,30
19,57,57,30,15,30
20,57,57,31,17,30
21,57,57,33,18,30
22,58,58,34,19,30
23,57,57,35,20,30
24,55,55,36,20,30
25,54,54,36,19,30
26,52,52,36,19,30
27,50,50,36,19,30
28,49,49,36,18,30
29,48,48,36,18,30
30,48,48,36,18,30
31,47,47,36,18,30
32,47,47,36,18,30
33,47,47,36,17,30
34,47,47,36,17,30
35,47,47,36,17,30
36,47,47,36,17,30
37,47,47,36,17,30
38,47,47,36,17,30
39,47,47,36,17,30
40,47,47,36,18,30
41,47,47,36,18,30
42,47,47,36,18,30
43,47,47,35,18,30
44,48,48,35,18,30
45,48,48,34,18,30
46,48,48,34,18,30
47,48,48,33,18,30
48,48,48,32,17,30
49,48,48,31,16,30
50,48,48,30,15,30
51,48,48,29,14,30
52,48,48,28,11,30
53,48,48,27,9,30
54,48,48,26,7,30
55,48,48,25,5,30
56,48,48,25,3,30
57,48,48,25,2,30
58,48,48,24,2,30
59,48,48,24,2,30
60,48,48,24,2,30
61,48,48,25,2,29
62,48,48,25,2,29
63,48,48,25,2,27
64,48,48,25,2,27
65,49,49,25,2,27
66,48,48,25,2,26
67,48,48,26,2,26
68,48,48,26,2,24
69,50,50,26,2,24
70,49,49,26,2,24
71,49,49,27,2,23
72,49,49,27,1,23
73,49,49,27,1,22
74,48,48,27,1,21
75,48,48,27,1,21
76,50,50,27,1,20
77,51,51,28,2,20
78,52,52,28,4,19
79,52,52,29,5,18
80,52,52,29,5,18
81,53,53,30,6,17
82,58,58,31,9,17
83,65,65,33,16,16
84,68,68,35,21,15
85,53,53,36,21,15
86,25,25,33,30,13
87,6,6,28,47,13
88,0,0,22,63,13
89,0,0,17,74,12
90,6,6,12,81,13
91,15,15,8,84,15
92,21,21,4,86,17
93,28,28,2,87,18
94,34,34,0,87,20
95,42,42,0,86,21
96,48,48,0,86,22
97,51,51,0,86,24
98,53,53,0,87,24
99,54,54,1,87,27
100,54,54,1,88,27
101,54,54,2,88,30
102,56,56,3,89,30
103,55,55,4,89,32
104,56,56,4,90,34
105,56,56,5,90,35
106,57,57,6,91,37
107,57,57,7,92,38
108,58,58,8,92,40
109,59,59,8,93,41
110,60,60,9,94,42
111,63,63,10,95,44
112,63,63,11,95,45
113,65,65,11,95,47
114,67,67,11,95,48
115,69,69,13,97,49
116,73,73,18,99,51
117,76,76,27,95,53
118,80,80,36,89,54
119,83,83,46,82,55
120,86,86,55,75,54
121,88,88,64,70,53
122,89,89,72,67,51
123,88,88,79,64,49
124,86,86,85,62,49
125,82,82,90,61,48
126,77,77,93,59,46
127,72,72,96,57,45
128,67,67,97,56,44
129,62,62,98,55,42
130,57,57,99,54,41
131,54,54,98,55,40
132,51,51,98,56,38
133,48,48,97,57,37
134,47,47,96,59,36
135,46,46,95,61,34
136,44,44,93,63,33
137,44,44,92,66,32
138,44,44,90,68,30
139,44,44,89,70,29
140,43,43,87,72,27
141,44,44,84,75,26
142,44,44,82,77,24
143,43,43,80,79,24
144,43,43,77,80,22
145,43,43,74,82,21
146,43,43,70,83,20
147,43,43,66,83,19
148,43,43,62,82,17
149,43,43,57,80,16
150,43,43,52,77,15
151,43,43,47,72,15
152,42,42,41,66,13
153,42,42,36,59,13
154,42,42,31,51,13
155,42,42,26,43,13
156,42,42,22,35,12
157,42,42,18,27,12
158,43,43,16,21,11
159,42,42,13,16,11
160,43,43,12,12,10
161,43,43,10,9,10
162,43,43,10,6,9
163,43,43,9,5,8
164,43,43,8,3,8
165,43,43,8,3,6
166,43,43,8,2,6
167,43,43,8,2,6
168,44,44,8,2,6
169,44,44,8,2,5
170,44,44,8,2,5
171,43,43,8,2,4
172,43,43,8,2,4
173,44,44,8,2,3
174,44,44,8,2,3
175,44,44,8,2,2
