time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,39,39,30,0,39
1,39,39,30,0,39
2,39,39,29,1,39
3,39,39,28,1,39
4,39,39,28,1,39
5,39,39,28,1,39
6,38,38,28,1,39
7,37,37,27,3,39
8,38,38,27,3,39
9,38,38,27,3,39
10,38,38,26,2,39
11,37,37,26,3,39
12,37,37,25,3,39
13,38,38,25,3,39
14,37,37,25,4,39
15,37,37,25,4,39
16,37,37,24,4,39
17,37,37,24,4,39
18,37,37,24,4,39
19,37,37,24,4,39
20,36,36,23,4,39
21,36,36,23,5,39
22,36,36,23,5,39
23,35,35,22,5,39
24,36,36,22,5,39
25,36,36,22,6,39
26,34,34,21,6,39
27,35,35,21,6,39
28,36,36,21,6,39
29,37,37,21,6,39
30,38,38,20,6,39
31,40,40,21,6,39
32,41,41,21,7,39
33,42,42,21,8,39
34,44,44,22,10,39
35,46,46,23,13,39
36,47,47,24,15,39
37,46,46,26,17,39
38,46,46,27,18,39
39,44,44,28,19,39
40,39,39,28,19,39
41,37,37,28,19,39
42,35,35,27,19,39
43,34,34,27,20,39
44,35,35,27,20,39
45,33,33,26,20,39
46,32,32,25,21,39
47,32,32,25,22,39
48,34,34,24,22,39
49,36,36,24,22,39
50,36,36,24,22,39
51,41,41,25,23,39
52,55,55,28,27,39
53,62,62,31,34,39
54,56,56,34,37,39
55,28,28,33,39,39
56,8,8,29,49,39
57,0,0,24,61,39
58,14,14,21,65,39
59,28,28,20,65,39
60,33,33,19,65,40
61,35,35,19,65,41
62,37,37,18,65,42
63,37,37,17,65,43
64,37,37,16,65,44
65,39,39,15,64,45
66,38,38,14,63,46
67,39,39,13,63,47
68,40,40,12,62,48
69,41,41,12,61,49
70,41,41,12,62,49
71,41,41,13,62,51
72,41,41,13,62,52
73,42,42,14,62,53
74,43,43,16,63,54
75,44,44,17,63,55
76,45,45,19,63,55
77,46,46,21,64,57
78,47,47,23,64,58
79,47,47,24,65,59
80,51,51,27,66,60
81,53,53,28,67,61
82,54,54,28,67,61
83,59,59,28,66,63
84,62,62,29,68,64
85,65,65,34,71,65
86,70,70,42,69,67
87,71,71,52,61,68
88,74,74,61,60,69
89,75,75,68,62,70
90,76,76,74,66,68
91,76,76,79,68,66
92,73,73,84,70,64
93,68,68,89,70,61
94,63,63,92,69,61
95,56,56,95,67,59
96,51,51,97,65,57
97,48,48,98,64,55
98,44,44,98,63,53
99,41,41,99,63,52
100,40,40,98,63,49
101,39,39,98,64,48
102,39,39,98,64,46
103,39,39,97,65,44
104,38,38,97,66,42
105,37,37,96,67,41
106,38,38,95,68,39
107,39,39,94,70,37
108,39,39,92,71,35
109,38,38,91,72,33
110,39,39,89,73,32
111,40,40,88,75,30
112,40,40,85,76,27
113,39,39,83,76,26
114,38,38,79,77,24
115,38,38,75,76,23
116,39,39,71,75,21
117,39,39,67,72,19
118,38,38,62,68,17
119,39,39,56,63,15
120,38,38,51,57,15
121,38,38,46,48,13
122,39,39,41,38,13
123,39,39,37,29,13
124,37,37,33,21,13
125,39,39,31,15,12
126,39,39,29,11,12
127,38,38,28,7,11
128,39,39,27,4,11
129,37,37,26,3,10
130,38,38,26,3,10
131,39,39,26,3,9
132,39,39,26,3,9
133,39,39,26,3,8
134,39,39,26,3,8
135,39,39,26,3,6
136,39,39,27,3,6
137,39,39,27,3,6
138,39,39,27,3,6
139,39,39,27,3,5
140,41,41,27,3,5
141,40,40,27,3,4
142,41,41,27,4,4
143,43,43,28,6,3
144,44,44,29,7,3
145,46,46,30,10,2
146,48,48,31,12,2
147,49,49,33,15,1
148,49,49,34,17,1
149,49,49,36,19,0
150,49,49,37,20,2
151,46,46,38,20,5
152,49,49,40,21,6
153,70,70,44,33,10
154,99,99,53,61,12
155,94,94,60,76,13
156,57,57,63,76,17
157,29,29,62,78,19
158,23,23,59,80,22
159,22,22,57,83,24
160,24,24,55,85,27
161,28,28,54,87,29
162,30,30,53,88,30
163,24,24,51,89,34
164,24,24,48,91,36
165,21,21,46,93,39
166,24,24,44,95,41
167,29,29,43,96,43
168,32,32,42,96,46
169,30,30,40,97,48
170,31,31,39,97,51
171,33,33,38,98,53
172,33,33,37,98,55
173,34,34,35,98,58
174,33,33,34,98,60
175,33,33,32,99,63
176,34,34,30,98,65
177,34,34,28,98,67
178,34,34,26,98,70
179,36,36,24,97,72
180,38,38,23,97,70
181,39,39,22,96,68
182,39,39,20,96,66
183,40,40,16,90,65
184,42,42,8,68,63
185,45,45,1,38,61
186,46,46,0,33,59
187,49,49,2,36,57
188,51,51,6,39,55
189,55,55,11,42,53
