time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,90,90,94,0,0
1,89,89,94,1,0
2,88,88,93,3,0
3,86,86,92,6,0
4,84,84,91,9,0
5,81,81,90,13,0
6,78,78,88,17,0
7,75,75,87,22,0
8,71,71,85,27,0
9,67,67,83,33,0
10,63,63,81,38,0
11,59,59,79,44,0
12,55,55,77,50,0
13,52,52,75,55,0
14,50,50,73,60,0
15,49,49,71,63,0
16,48,48,69,65,0
17,47,47,67,67,0
18,47,47,66,69,0
19,47,47,65,70,0
20,46,46,64,70,0
21,46,46,63,71,0
22,46,46,62,71,0
23,46,46,61,72,0
24,46,46,60,72,0
25,45,45,59,72,0
26,45,45,58,72,0
27,45,45,58,71,0
28,44,44,57,71,0
29,44,44,56,71,0
30,44,44,54,68,0
31,43,43,52,64,0
32,43,43,51,59,0
33,43,43,49,54,0
34,42,42,47,48,0
35,42,42,45,43,0
36,42,42,44,37,0
37,42,42,43,31,0
38,41,41,41,26,0
39,41,41,40,21,0
40,41,41,39,17,0
41,41,41,39,14,0
42,41,41,38,12,0
43,40,40,38,11,0
44,40,40,37,10,0
45,40,40,37,10,0
46,40,40,36,10,0
47,40,40,36,9,0
48,40,40,36,9,0
49,40,40,36,9,0
50,40,40,35,9,0
51,40,40,35,8,0
52,40,40,35,8,0
53,40,40,35,7,0
54,40,40,34,7,0
55,40,40,34,6,0
56,40,40,34,6,0
57,41,41,34,5,0
58,41,41,34,5,0
59,41,41,34,4,0
60,41,41,33,4,2
61,42,42,33,3,4
62,42,42,33,3,6
63,42,42,33,3,6
64,43,43,33,3,9
65,43,43,33,3,11
66,44,44,33,4,13
67,44,44,34,5,15
68,45,45,34,5,17
69,46,46,34,6,19
70,46,46,34,7,20
71,47,47,34,8,22
72,47,47,35,9,24
73,48,48,35,10,26
74,49,49,35,11,27
75,49,49,36,12,30
76,50,50,36,13,30
77,50,50,37,14,33
78,51,51,37,15,35
79,51,51,37,16,37
80,52,52,38,17,39
81,52,52,38,17,41
82,53,53,39,18,43
83,53,53,39,18,44
84,53,53,40,19,46
85,54,54,41,19,48
86,54,54,41,19,49
87,54,54,42,19,52
88,54,54,42,19,54
89,54,54,43,19,55
90,54,54,43,18,54
91,54,54,44,18,53
92,54,54,44,17,51
93,54,54,45,16,49
94,54,54,45,15,48
95,54,54,46,15,47
96,54,54,46,14,45
97,54,54,47,13,44
98,54,54,47,12,42
99,54,54,47,11,41
100,54,54,48,10,40
101,54,54,48,9,38
102,54,54,48,8,37
103,54,54,49,7,35
104,53,53,49,6,34
105,53,53,49,5,32
106,53,53,49,4,30
107,53,53,49,4,29
108,53,53,49,3,27
109,52,52,49,3,26
110,52,52,49,3,24
111,52,52,49,3,24
112,51,51,49,3,22
113,51,51,49,4,21
114,50,50,49,5,19
115,49,49,49,6,18
116,48,48,49,7,16
117,47,47,48,8,15
118,45,45,48,10,13
119,44,44,47,12,12
120,42,42,47,14,15
121,40,40,46,17,18
122,37,37,46,20,21
123,35,35,45,23,23
124,32,32,44,27,26
125,28,28,43,32,29
126,24,24,41,36,32
127,20,20,40,42,35
128,17,17,39,47,38
129,13,13,37,53,41
130,10,10,35,58,44
131,7,7,33,64,47
132,5,5,31,69,49
133,3,3,29,73,53
134,1,1,27,77,55
135,0,0,25,80,58
136,0,0,22,83,61
137,0,0,20,85,64
138,0,0,18,86,67
139,0,0,16,87,70
140,1,1,14,87,73
141,2,2,12,86,76
142,3,3,10,84,79
143,5,5,8,82,82
144,8,8,6,78,84
145,11,11,4,75,87
146,15,15,3,70,90
147,19,19,2,66,93
148,23,23,1,62,96
149,27,27,0,58,99
150,31,31,0,55,99
151,35,35,0,54,98
152,38,38,0,54,98
153,41,41,0,56,97
154,44,44,0,59,97
155,46,46,1,63,97
156,48,48,2,68,96
157,50,50,3,73,96
158,51,51,5,78,96
159,53,53,6,82,95
160,55,55,8,87,95
161,57,57,10,90,94
162,58,58,12,93,94
163,60,60,15,96,94
164,61,61,17,98,93
165,62,62,20,98,93
166,63,63,22,99,93
167,64,64,25,98,92
168,65,65,28,96,92
169,66,66,31,94,91
170,67,67,33,92,91
171,67,67,36,88,91
172,68,68,39,84,90
173,70,70,41,80,90
174,71,71,44,75,90
175,72,72,47,70,89
176,73,73,49,66,89
177,74,74,51,61,88
178,76,76,53,57,88
179,77,77,56,54,88
180,78,78,57,51,87
181,80,80,59,49,86
182,81,81,61,48,85
183,82,82,63,46,85
184,83,83,64,45,84
185,85,85,66,45,83
186,86,86,68,44,82
187,87,87,69,44,81
188,89,89,71,44,81
189,90,90,72,44,80
190,91,91,74,44,79
191,92,92,75,44,78
192,93,93,77,44,78
193,94,94,78,45,77
194,95,95,80,45,76
195,96,96,81,45,75
196,97,97,82,45,74
197,98,98,84,45,74
198,98,98,85,45,73
199,98,98,87,45,72
200,99,99,88,44,71
201,99,99,89,43,71
202,98,98,90,42,70
203,98,98,92,40,69
204,97,97,93,38,68
205,97,97,94,36,67
206,96,96,95,34,67
207,95,95,96,32,66
208,94,94,96,29,65
209,93,93,97,27,64
210,91,91,98,25,64
211,90,90,98,22,64
212,88,88,98,21,65
213,87,87,98,19,65
214,85,85,99,19,65
215,84,84,98,19,65
216,82,82,98,20,65
217,80,80,98,22,65
218,79,79,98,25,65
219,77,77,97,27,65
220,76,76,96,30,65
221,74,74,96,33,65
222,73,73,95,36,65
223,72,72,94,39,65
224,70,70,93,41,66
225,69,69,92,43,66
226,68,68,91,45,66
227,67,67,89,47,66
228,67,67,88,48,66
229,66,66,87,49,66
230,65,65,85,49,66
231,65,65,84,49,66
232,64,64,82,49,66
233,64,64,81,49,66
234,63,63,80,48,66
235,63,63,78,47,66
236,63,63,77,46,67
237,62,62,75,44,67
238,62,62,74,42,67
239,62,62,73,40,67
240,61,61,72,38,65
241,61,61,70,36,64
242,61,61,69,34,63
243,61,61,68,32,61
244,60,60,67,30,60
245,60,60,66,27,58
246,60,60,65,25,57
247,60,60,64,23,55
248,60,60,64,21,54
249,59,59,63,20,53
250,59,59,62,18,51
251,59,59,62,16,49
252,58,58,61,15,48
253,58,58,60,14,47
254,58,58,60,13,46
255,58,58,59,12,44
256,58,58,59,11,43
257,57,57,59,11,41
258,57,57,58,10,40
259,57,57,58,10,39
260,57,57,57,10,37
261,56,56,57,9,36
262,56,56,57,9,34
263,56,56,56,9,33
264,56,56,56,9,32
265,56,56,56,9,30
266,56,56,56,9,29
267,55,55,55,8,27
268,55,55,55,8,26
269,55,55,55,8,24
270,55,55,54,8,26
271,55,55,54,8,27
272,55,55,54,8,29
273,55,55,54,7,30
274,54,54,53,7,30
275,54,54,53,7,33
276,54,54,53,7,34
277,54,54,53,7,35
278,54,54,52,6,37
279,54,54,52,6,38
280,54,54,52,6,40
281,54,54,52,6,41
282,53,53,52,6,42
283,53,53,51,5,44
284,53,53,51,5,45
285,53,53,51,5,46
286,53,53,51,5,48
287,52,52,51,5,49
288,52,52,50,5,49
289,52,52,50,5,52
290,52,52,50,5,53
291,51,51,50,5,55
292,51,51,50,6,55
293,51,51,49,6,57
294,50,50,49,6,59
295,50,50,49,6,60
296,50,50,49,6,61
297,50,50,48,7,63
298,49,49,48,7,64
299,49,49,48,7,65
