time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,11,11,8,0,65
1,12,12,8,1,65
2,14,14,9,2,65
3,15,15,10,3,65
4,17,17,11,5,65
5,19,19,13,7,65
6,21,21,14,9,65
7,24,24,16,11,65
8,27,27,17,13,65
9,29,29,19,15,65
10,32,32,20,17,65
11,34,34,22,19,65
12,37,37,24,21,65
13,39,39,25,23,65
14,42,42,27,25,65
15,44,44,29,27,65
16,46,46,30,29,65
17,48,48,32,30,65
18,49,49,33,32,65
19,50,50,35,33,65
20,52,52,36,34,65
21,52,52,37,35,65
22,53,53,39,36,65
23,53,53,40,36,65
24,53,53,41,37,65
25,52,52,42,37,65
26,52,52,43,37,65
27,51,51,43,37,65
28,50,50,44,37,65
29,48,48,44,37,65
30,46,46,46,35,65
31,44,44,48,32,65
32,42,42,49,30,65
33,40,40,50,28,65
34,38,38,51,25,65
35,35,35,52,23,65
36,34,34,52,21,65
37,32,32,53,20,65
38,30,30,53,19,65
39,28,28,53,19,65
40,26,26,53,20,65
41,24,24,52,22,65
42,23,23,51,23,65
43,21,21,51,25,65
44,20,20,50,27,65
45,18,18,48,29,65
46,17,17,47,31,65
47,16,16,45,32,65
48,14,14,44,34,65
49,13,13,42,35,65
50,12,12,40,36,65
51,12,12,39,36,65
52,11,11,37,36,65
53,10,10,35,36,65
54,10,10,33,36,65
55,9,9,31,35,65
56,9,9,29,34,65
57,9,9,27,33,65
58,8,8,25,32,65
59,8,8,23,30,65
60,8,8,21,29,63
61,8,8,20,27,61
62,8,8,18,25,58
63,8,8,17,23,55
64,8,8,15,22,54
65,8,8,14,20,52
66,9,9,13,18,49
67,9,9,12,17,48
68,9,9,11,15,45
69,9,9,10,13,43
70,10,10,9,12,41
71,10,10,9,10,39
72,10,10,8,9,37
73,11,11,7,8,35
74,11,11,7,6,32
75,12,12,7,5,30
76,12,12,7,5,27
77,13,13,6,4,26
78,13,13,6,4,24
79,14,14,6,4,22
80,14,14,7,4,19
81,14,14,7,5,17
82,15,15,7,5,15
83,15,15,7,5,13
84,15,15,7,6,11
85,15,15,8,6,9
86,16,16,8,6,6
87,16,16,8,7,4
88,16,16,9,7,2
89,16,16,9,7,0
90,16,16,9,7,1
91,16,16,10,7,2
92,16,16,10,7,2
93,16,16,10,7,3
94,16,16,11,7,4
95,16,16,11,6,5
96,16,16,11,6,6
97,15,15,12,6,6
98,15,15,12,5,6
99,15,15,12,5,8
100,14,14,12,4,9
101,14,14,13,4,10
102,13,13,13,3,10
103,12,12,13,3,11
104,12,12,13,3,12
105,12,12,13,3,13
106,11,11,13,3,13
107,10,10,13,4,13
108,9,9,12,4,15
109,9,9,12,5,16
110,7,7,12,6,17
111,7,7,12,6,18
112,7,7,11,7,18
113,5,5,11,8,19
114,5,5,10,9,20
115,4,4,10,9,21
116,3,3,9,10,22
117,3,3,9,11,22
118,2,2,8,11,23
119,1,1,7,12,24
120,1,1,7,12,24
121,0,0,6,13,24
122,0,0,5,13,24
123,0,0,4,13,24
124,0,0,4,13,24
125,0,0,3,13,24
126,0,0,2,13,24
127,0,0,1,13,24
128,1,1,1,13,24
129,3,3,0,12,24
130,5,5,0,11,24
131,8,8,0,11,24
132,12,12,0,11,24
133,16,16,0,11,24
134,22,22,0,13,24
135,28,28,1,16,24
136,35,35,2,21,24
137,42,42,3,26,24
138,49,49,5,32,24
139,56,56,7,38,24
140,62,62,10,45,24
141,69,69,13,52,24
142,75,75,16,59,24
143,80,80,19,65,24
144,85,85,23,71,24
145,90,90,27,77,24
146,93,93,31,82,24
147,96,96,35,87,24
148,98,98,40,91,24
149,99,99,44,94,24
150,99,99,49,97,27
151,97,97,53,98,29
152,96,96,58,99,30
153,93,93,62,98,32
154,89,89,66,97,34
155,85,85,70,94,35
156,80,80,74,91,37
157,75,75,77,87,38
158,70,70,80,82,40
159,66,66,83,77,42
160,61,61,86,72,43
161,56,56,88,66,45
162,52,52,90,61,47
163,47,47,91,56,48
164,43,43,92,53,49
165,39,39,93,51,52
166,35,35,93,51,53
167,32,32,92,53,55
168,29,29,92,55,57
169,27,27,90,58,58
170,24,24,88,62,60
171,22,22,86,66,61
172,20,20,84,69,63
173,19,19,81,72,65
174,17,17,78,74,67
175,16,16,74,76,68
176,14,14,71,77,70
177,14,14,67,77,72
178,13,13,63,76,73
179,12,12,59,75,75
180,12,12,55,73,73
181,11,11,51,70,71
182,11,11,47,67,69
183,10,10,43,63,66
184,15,15,40,59,64
185,15,15,37,54,61
186,16,16,34,50,60
187,18,18,31,45,58
188,19,19,29,40,55
189,22,22,27,36,53
190,26,26,25,32,51
191,30,30,24,28,49
192,33,33,23,25,47
193,38,38,23,23,45
194,43,43,23,23,43
195,48,48,23,25,40
196,53,53,24,28,38
197,57,57,25,32,36
198,63,63,27,36,34
199,67,67,28,41,32
200,71,71,31,46,30
201,76,76,33,51,27
202,80,80,36,56,24
203,83,83,39,60,23
204,85,85,42,64,21
205,89,89,45,68,19
206,91,91,49,71,17
207,92,92,52,73,15
208,93,93,56,75,12
209,94,94,60,77,10
210,93,93,64,77,11
211,93,93,67,77,13
212,92,92,71,76,13
213,91,91,75,74,15
214,89,89,78,72,16
215,86,86,81,70,17
216,83,83,85,66,18
217,79,79,87,62,20
218,76,76,90,58,21
219,72,72,92,53,22
220,68,68,94,49,23
221,64,64,96,44,24
222,61,61,97,41,24
223,57,57,98,38,27
224,53,53,98,36,27
225,50,50,99,36,29
226,46,46,98,37,30
227,43,43,98,39,30
228,39,39,96,42,32
229,36,36,95,45,34
230,33,33,93,49,35
231,30,30,91,53,36
232,27,27,89,56,37
233,25,25,86,59,38
234,23,23,83,62,39
235,20,20,80,65,41
236,18,18,77,66,42
237,16,16,73,68,43
238,15,15,70,69,44
239,13,13,66,69,45
240,12,12,62,68,45
241,11,11,58,68,45
242,9,9,55,67,44
243,9,9,51,65,44
244,8,8,47,63,44
245,7,7,43,60,44
246,7,7,40,58,43
247,7,7,37,55,43
248,7,7,33,52,43
249,7,7,30,49,43
250,6,6,28,46,42
251,7,7,25,43,42
252,6,6,22,40,42
253,7,7,20,36,41
254,7,7,18,33,41
255,8,8,16,30,41
256,8,8,14,27,41
257,8,8,13,24,40
258,8,8,11,22,40
259,9,9,10,19,40
260,9,9,9,17,39
261,10,10,8,14,39
262,10,10,7,12,39
263,11,11,7,10,39
264,11,11,6,8,38
265,12,12,6,7,38
266,12,12,5,6,38
267,12,12,5,5,37
268,13,13,5,5,37
269,13,13,5,5,37
270,14,14,5,5,39
