time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,39,39,41,0,69
1,27,27,31,20,69
2,26,26,27,20,69
3,22,22,24,22,69
4,16,16,20,25,69
5,16,16,17,26,69
6,5,5,12,34,69
7,4,4,9,37,69
8,7,7,6,38,69
9,0,0,3,41,69
10,1,1,1,41,69
11,6,6,0,41,69
12,15,15,0,39,69
13,23,23,1,38,69
14,29,29,2,39,69
15,36,36,4,41,69
16,43,43,7,46,69
17,47,47,10,50,69
18,53,53,13,55,69
19,56,56,16,60,69
20,61,61,19,65,69
21,61,61,21,68,69
22,61,61,24,71,69
23,59,59,26,73,69
24,59,59,28,74,69
25,59,59,30,75,69
26,56,56,31,75,69
27,52,52,33,75,69
28,49,49,33,74,69
29,47,47,34,74,69
30,47,47,35,74,69
31,43,43,36,74,69
32,41,41,37,74,69
33,36,36,37,73,69
34,33,33,38,72,69
35,29,29,39,71,69
36,25,25,40,68,69
37,21,21,41,66,69
38,18,18,42,64,69
39,13,13,43,61,69
40,10,10,43,59,69
41,7,7,43,59,69
42,5,5,43,60,69
43,5,5,42,63,69
44,9,9,40,66,69
45,17,17,39,67,69
46,28,28,39,67,69
47,35,35,38,67,69
48,42,42,37,66,69
49,46,46,37,65,69
50,52,52,36,64,69
51,56,56,36,63,69
52,59,59,36,63,69
53,63,63,36,64,69
54,66,66,36,65,69
55,67,67,37,66,69
56,63,63,37,67,69
57,60,60,38,68,69
58,60,60,38,70,69
59,59,59,39,71,69
60,60,60,40,72,69
61,56,56,41,73,68
62,52,52,41,73,68
63,48,48,42,73,68
64,46,46,43,73,68
65,42,42,43,73,68
66,39,39,44,73,68
67,34,34,45,72,68
68,31,31,46,71,68
69,26,26,46,69,68
70,23,23,47,67,68
71,21,21,48,64,68
72,14,14,48,63,68
73,10,10,49,61,68
74,5,5,48,62,67
75,5,5,48,65,67
76,6,6,46,68,67
77,12,12,45,70,67
78,22,22,44,72,67
79,32,32,43,72,67
80,41,41,43,71,67
81,48,48,42,70,67
82,54,54,42,70,67
83,58,58,41,69,67
84,64,64,41,69,67
85,68,68,41,69,67
86,71,71,42,70,66
87,72,72,43,72,66
88,72,72,43,74,66
89,71,71,44,76,66
90,71,71,44,77,66
91,68,68,45,78,66
92,64,64,46,79,66
93,62,62,47,80,66
94,61,61,47,81,66
95,61,61,48,82,66
96,58,58,50,83,66
97,54,54,51,83,66
98,50,50,52,82,66
99,48,48,53,81,65
100,45,45,54,80,65
101,41,41,55,78,65
102,38,38,57,76,65
103,34,34,58,72,65
104,30,30,60,68,65
105,27,27,61,63,65
106,24,24,62,59,65
107,20,20,62,57,65
108,16,16,62,58,65
109,16,16,61,61,65
110,20,20,60,64,65
111,28,28,59,65,64
112,39,39,58,65,64
113,51,51,57,65,64
114,62,62,57,65,64
115,69,69,57,65,64
116,77,77,58,66,64
117,80,80,58,67,64
118,87,87,59,70,64
119,90,90,60,73,64
120,94,94,61,77,63
121,94,94,63,81,63
122,92,92,64,85,63
123,91,91,66,88,61
124,91,91,68,91,61
125,87,87,69,93,61
126,84,84,71,95,61
127,80,80,72,96,61
128,81,81,74,97,60
129,81,81,76,98,60
130,77,77,78,99,60
131,74,74,79,98,59
132,68,68,81,97,59
133,65,65,83,95,58
134,62,62,85,93,58
135,57,57,86,90,58
136,54,54,88,86,57
137,49,49,90,81,57
138,46,46,91,76,57
139,42,42,93,70,55
140,37,37,94,66,55
141,33,33,94,65,55
142,30,30,94,67,55
143,28,28,92,71,55
144,31,31,91,74,54
145,38,38,89,77,54
146,49,49,87,77,54
147,61,61,86,77,53
148,68,68,85,75,53
149,76,76,84,74,52
150,79,79,84,72,53
151,86,86,83,71,54
152,88,88,83,70,55
153,92,92,83,71,55
154,95,95,83,71,57
155,99,99,84,73,58
156,99,99,85,75,59
