time_step,sensor_1,value,rolling_mean_30,rolling_std_30,stft_centroid_30
0,28,28,41,0,42
1,26,26,38,3,42
2,24,24,34,5,42
3,21,21,31,7,42
4,19,19,28,9,42
5,18,18,25,10,42
6,16,16,22,11,42
7,14,14,20,12,42
8,12,12,17,14,42
9,10,10,15,15,42
10,10,10,12,16,42
11,9,9,10,17,42
12,8,8,9,17,42
13,7,7,7,18,42
14,5,5,5,19,42
15,4,4,3,19,42
16,3,3,1,20,42
17,4,4,0,21,42
18,32,32,2,23,42
19,69,69,10,39,42
20,89,89,19,57,42
21,93,93,28,69,42
22,87,87,36,77,42
23,84,84,42,81,42
24,82,82,48,85,42
25,80,80,53,87,42
26,77,77,58,88,42
27,71,71,61,89,42
28,65,65,64,88,42
29,57,57,66,87,42
30,47,47,68,87,42
31,37,37,69,87,42
32,33,33,69,87,42
33,31,31,70,86,42
34,31,31,71,86,42
35,30,30,72,85,42
36,30,30,74,85,42
37,28,28,75,84,42
38,25,25,76,83,42
39,23,23,77,82,42
40,21,21,78,81,42
41,19,19,79,80,42
42,18,18,80,79,42
43,16,16,81,78,42
44,14,14,82,78,42
45,12,12,82,77,42
46,11,11,83,76,42
47,9,9,84,75,42
48,8,8,81,77,42
49,7,7,76,78,42
50,6,6,68,76,42
51,5,5,60,72,42
52,4,4,53,69,42
53,3,3,45,65,42
54,2,2,38,61,42
55,2,2,31,56,42
56,22,22,26,49,42
57,61,61,25,47,42
58,84,84,27,52,42
59,91,91,30,60,42
60,86,86,33,66,43
61,81,81,37,71,44
62,80,80,42,76,45
63,78,78,46,80,46
64,74,74,50,83,46
65,69,69,53,85,47
66,64,64,56,86,48
67,57,57,59,87,49
68,47,47,61,87,49
69,37,37,62,86,49
70,32,32,63,86,51
71,30,30,64,86,52
72,30,30,65,85,53
73,30,30,67,85,54
74,29,29,68,84,55
75,27,27,69,83,55
76,25,25,71,82,55
77,22,22,72,81,57
78,20,20,73,80,58
79,18,18,74,79,59
80,17,17,75,78,60
81,15,15,76,77,60
82,14,14,77,76,61
83,12,12,78,75,61
84,10,10,78,74,63
85,9,9,79,73,64
86,8,8,78,75,65
87,7,7,73,76,65
88,6,6,66,74,66
89,5,5,58,71,67
90,4,4,50,67,67
91,4,4,43,64,67
92,3,3,36,59,67
93,3,3,29,55,67
94,25,25,25,48,67
95,63,63,24,47,67
96,85,85,26,53,67
97,93,93,30,61,67
98,88,88,33,68,67
99,83,83,38,73,67
100,82,82,42,78,67
101,80,80,47,82,67
102,77,77,51,85,67
103,72,72,55,87,67
104,66,66,58,89,67
105,59,59,61,89,67
106,49,49,63,89,67
107,39,39,65,89,67
108,35,35,66,89,67
109,33,33,68,88,67
110,33,33,69,88,67
111,34,34,71,87,67
112,33,33,73,86,67
113,32,32,74,85,67
114,29,29,76,84,68
115,27,27,78,82,68
116,25,25,79,81,68
117,23,23,81,79,68
118,22,22,82,78,68
119,20,20,84,76,68
120,18,18,85,75,69
121,16,16,86,73,70
122,16,16,87,72,71
123,31,31,90,69,72
124,66,66,94,69,73
125,89,89,96,71,74
126,98,98,97,73,75
127,94,94,97,73,76
128,89,89,97,73,77
129,87,87,98,74,78
130,85,85,98,74,79
131,83,83,98,75,80
132,79,79,98,75,81
133,73,73,98,75,82
134,66,66,99,75,83
135,56,56,98,75,84
136,44,44,98,75,85
137,37,37,98,75,86
138,35,35,98,75,87
139,35,35,98,75,89
140,35,35,98,75,90
141,35,35,98,75,91
142,33,33,98,75,92
143,31,31,98,75,93
144,28,28,98,75,94
145,26,26,98,75,95
146,24,24,98,75,96
147,21,21,97,75,97
148,20,20,97,75,98
149,18,18,97,75,99
150,17,17,97,76,96
151,15,15,97,76,92
152,12,12,97,76,89
153,10,10,95,78,86
154,9,9,89,80,82
155,8,8,82,79,79
156,7,7,74,76,76
157,6,6,65,72,73
158,5,5,58,69,69
159,4,4,50,66,66
160,3,3,43,61,63
161,2,2,35,56,59
162,0,0,28,51,55
163,0,0,21,45,53
164,21,21,17,39,49
165,65,65,18,41,46
166,90,90,22,53,43
167,99,99,28,65,40
168,93,93,33,73,36
169,88,88,38,79,33
170,89,89,43,85,30
171,87,87,48,89,26
172,83,83,52,93,23
173,77,77,57,95,20
174,72,72,61,97,16
175,67,67,64,98,13
176,57,57,67,99,10
177,46,46,70,98,6
178,38,38,71,98,3
179,35,35,73,97,0
180,33,33,74,97,1
181,33,33,76,96,2
182,32,32,78,95,3
183,31,31,80,93,5
184,29,29,82,92,6
185,27,27,83,91,6
186,24,24,85,89,8
187,22,22,86,88,9
188,20,20,88,86,10
189,18,18,89,85,11
190,16,16,90,84,12
191,15,15,91,82,13
192,13,13,93,80,15
193,11,11,94,79,16
194,10,10,93,80,17
195,9,9,88,82,18
196,8,8,80,80,19
197,7,7,72,77,20
198,6,6,64,74,22
199,5,5,56,71,23
200,4,4,49,66,24
201,2,2,41,61,24
202,5,5,34,56,26
203,37,37,30,49,27
204,73,73,30,50,27
205,89,89,32,56,29
